年号,登場人物,史実名,解説,関連史実,関連分野,難易度
607年,聖徳太子が斑鳩宮の近くに法隆寺を建立。現存する世界最古の木造建築として有名。飛鳥文化を代表する寺院で、金堂や五重塔が残る。仏教美術の傑作が多数保存されている。,法隆寺の建立,世界最古の木造建築。飛鳥文化の象徴,飛鳥文化:仏教文化; 金堂:本堂; 五重塔:仏塔,文化,2
718年,大宝律令を改正して養老律令を制定。律令国家の法体系をさらに整備。757年に施行され、以後の律令の基準となった。藤原不比等が中心となって編纂。,養老律令の制定,大宝律令の改訂版。藤原不比等が編纂,大宝律令:前身; 藤原不比等:編纂者; 757年:施行年,その他,3
741年,聖武天皇が全国に国分寺・国分尼寺の建立を命じる。仏教の力で国家を守護しようとする政策。各国に一寺ずつ建てられ、総国分寺として東大寺が置かれた。,国分寺建立の詔,全国に国分寺を配置。東大寡が総本山,国分寺:各国に設置; 東大寺:総国分寺; 国分尼寺:尼僧の寺,文化,2
743年,人口増加で田が不足。開墾を奨励するため、新しく開墾した土地の永久私有を認める法律を制定。公地公民制が崩れ、貴族や寺社が私有地（荘園）を拡大するきっかけとなった。,墾田永年私財法の制定,墾田永年私財法。荘園発生の原因,公地公民制:崩壊; 荘園:私有地; 開墾:土地開発,その他,2
784年,桓武天皇が平城京から長岡京に遷都。奈良の寺院勢力から離れるため。しかし造営責任者の藤原種継が暗殺され、計画が頓挫。わずか10年で平安京に再遷都した。,長岡京遷都,短命の都（10年）。藤原種継暗殺事件,桓武天皇:遷都実施; 藤原種継:暗殺被害者; 平安京:次の都,地理,2
805年,最澄が唐から帰国し、比叡山延暦寺を拠点に天台宗を開く。法華経を重視し、すべての人が仏になれると説く。比叡山は後に多くの名僧を輩出する「日本仏教の母山」となった。,最澄が天台宗を開く,最澄は天台宗。比叡山延暦寺を開く,天台宗:仏教宗派; 比叡山:寺の所在地; 法華経:経典,文化,2
806年,空海が唐から帰国し、高野山金剛峯寺を拠点に真言宗を開く。密教を伝え、即身成仏を説く。書道や土木技術にも優れ、綜芸種智院という学校も開設。多才な僧として知られる。,空海が真言宗を開く,空海は真言宗。高野山金剛峯寺を開く,真言宗:仏教宗派; 高野山:寺の所在地; 密教:秘密の教え,文化,2
810年,平城上皇が桓武天皇の子・嵯峨天皇と対立。藤原薬子らが平城上皇を擁立してクーデターを企てるが失敗。嵯峨天皇が勝利し、上皇の政治介入が制限された。,薬子の変,薬子の変。上皇のクーデター失敗,平城上皇:クーデター首謀; 嵯峨天皇:鎮圧; 藤原薬子:関与者,その他,2
866年,平安京の応天門が放火される事件。大納言伴善男が左大臣源信を陥れようとしたが、藤原良房が真相を暴いて伴善男を流罪に。藤原氏が他の貴族を排除し、権力を独占するきっかけとなった。,応天門の変,応天門の変。藤原氏の権力拡大,藤原良房:真相解明; 伴善男:犯人; 応天門:宮門,その他,2
935年,関東の豪族平将門が、朝廷の支配に反発して独立を宣言。「新皇」を名乗り関東を支配。しかし940年に平貞盛らに討たれる。地方武士の反乱として、武士の台頭を示す事件。,平将門の乱,平将門の乱（935-940年）。関東で独立宣言,平将門:新皇を名乗る; 平貞盛:討伐; 関東:反乱地,その他,2
939年,瀬戸内海の海賊を率いる藤原純友が反乱。瀬戸内海の交易を妨害し、朝廷に対抗。941年に鎮圧される。平将門の乱と同時期で、中央政府の権威低下を示す。,藤原純友の乱,藤原純友の乱（939-941年）。瀬戸内海の反乱,藤原純友:海賊の首領; 瀬戸内海:反乱地; 941年:鎮圧,その他,2
1016年,藤原道長が摂政となり、藤原氏の摂関政治が絶頂期を迎える。3人の娘を天皇の后とし、「この世をば わが世とぞ思ふ 望月の 欠けたることも なしと思へば」と詠んだ。,藤原道長が摂政に就任,藤原道長「この世をば わが世とぞ思ふ」。摂関政治の全盛,摂関政治:藤原氏の政治; 望月:満月の歌; 后:天皇の妻,その他,2
1053年,藤原頼通が宇治に平等院鳳凰堂を建立。阿弥陀如来像を安置し、極楽浄土を表現。浄土信仰の広がりを示す。10円硬貨のデザインとしても有名。,平等院鳳凰堂の完成,平等院鳳凰堂。10円硬貨のデザイン,藤原頼通:建立者; 阿弥陀如来:本尊; 浄土信仰:極楽往生,文化,2
1086年,白河天皇が幼い堀河天皇に譲位し、上皇として政治の実権を握る。院政の始まり。摂関家を抑えて天皇家が権力を取り戻す。荘園を集積し、経済的基盤も強化した。,白河上皇が院政を開始,院政の始まり。白河上皇が実権,院政:上皇の政治; 白河上皇:創始者; 荘園:経済基盤,その他,2
1167年,平清盛が武士として初めて太政大臣となる。平氏政権の全盛期。日宋貿易で富を蓄え、娘を天皇の后として権力を握る。しかし平氏の専横に反発が高まり、源氏挙兵のきっかけとなった。,平清盛が太政大臣に就任,平清盛が太政大臣。武士初の最高位,平氏政権:武家の政権; 日宋貿易:収入源; 太政大臣:最高官職,その他,2
1175年,法然が念仏を唱えれば誰でも極楽浄土に往生できると説き、浄土宗を開く。貴族だけでなく庶民にも広まる。専修念仏を主張し、他宗派から批判されるが、鎌倉新仏教の先駆けとなった。,法然が浄土宗を開く,法然は浄土宗。念仏で救われる,浄土宗:仏教宗派; 念仏:南無阿弥陀仏; 専修念仏:念仏のみ,文化,2
1185年,源義経率いる源氏軍が、壇ノ浦（山口県）で平氏を破る。平家は安徳天皇とともに海に沈み、滅亡。源平合戦の最終決戦。源頼朝が武家政権を樹立する基盤ができた。,壇ノ浦の戦いで平氏滅亡,壇ノ浦の戦い。平氏滅亡,源義経:源氏の武将; 安徳天皇:平氏と入水; 壇ノ浦:山口県,その他,2
1185年,源頼朝が朝廷に要求し、全国に守護・地頭を設置する権限を得る。守護は国ごとに置かれ、地頭は荘園や公領に置かれた。武士が全国支配の基盤を固め、幕府体制の基礎となった。,守護・地頭の設置,守護・地頭の設置。武士の全国支配,守護:国の軍事・警察; 地頭:荘園管理; 1185年:設置年,その他,2
1191年,栄西が宋から帰国し、座禅修行を重視する臨済宗を開く。武士の間で広まり、鎌倉幕府の保護を受ける。喫茶の習慣も伝え、『喫茶養生記』を著した。禅宗の一派として定着。,栄西が臨済宗を開く,栄西は臨済宗。座禅と喫茶を伝える,臨済宗:禅宗; 座禅:瞑想修行; 喫茶養生記:茶の本,文化,2
1203年,源頼朝の死後、御家人の権力争いが激化。北条時政が有力御家人を排除し、執権として幕府の実権を握る。以後、北条氏が代々執権を世襲し、鎌倉幕府を支配した。,北条時政が執権に就任,執権政治の始まり。北条氏が実権,執権:幕府の最高職; 北条時政:初代執権; 御家人:武士,その他,2
1224年,親鸞が法然の弟子として浄土真宗（一向宗）を開く。「悪人正機説」を唱え、悪人こそ救われると説く。妻帯を認め、庶民に広まる。『教行信証』を著し、念仏信仰を深化させた。,親鸞が浄土真宗を開く,親鸞は浄土真宗。悪人正機説,浄土真宗:一向宗; 悪人正機:悪人が正客; 教行信証:主著,文化,2
1232年,北条泰時が執権として、武士の慣習法をまとめて御成敗式目を制定。51箇条からなる武家法で、裁判の基準となった。公平な裁判を目指し、御家人の支持を得た。武家法の最初の体系的法典。,御成敗式目（貞永式目）の制定,御成敗式目（貞永式目）。武家の法律,北条泰時:制定者; 51箇条:条文数; 武家法:武士の法,その他,2
1253年,日蓮が法華経こそ真実の教えだと主張し、日蓮宗（法華宗）を開く。「南無妙法蓮華経」の題目を唱えることを重視。他宗を激しく批判し、幕府から弾圧されるが、信念を曲げなかった。,日蓮が日蓮宗を開く,日蓮は日蓮宗。南無妙法蓮華経,日蓮宗:法華宗; 法華経:経典; 題目:南無妙法蓮華経,文化,2
1227年,道元が宋から帰国し、只管打坐（ただひたすら座禅）を説く曹洞宗を開く。越前（福井県）に永平寺を建立。臨済宗が公案を重視するのに対し、曹洞宗は座禅そのものを重視。地方の武士や農民に広まった。,道元が曹洞宗を開く,道元は曹洞宗。只管打坐（座禅）,曹洞宗:禅宗; 永平寺:本山; 只管打坐:ひたすら座禅,文化,2
1297年,御家人の困窮が深刻化。借金で土地を失う御家人が続出。北条貞時が永仁の徳政令を発布し、御家人の借金を帳消しにした。しかし御家人は信用を失い、かえって困窮。幕府の権威も低下した。,永仁の徳政令,永仁の徳政令。借金帳消し,御家人:武士; 徳政令:借金帳消し; 北条貞時:執権,その他,2
1334年,後醍醐天皇が鎌倉幕府を倒し、天皇親政を開始。公家中心の政治に戻そうとするが、武士を冷遇。武士の不満が高まり、わずか2年で崩壊。足利尊氏が反旗を翻し、室町幕府が成立した。,建武の新政,建武の新政（1334-1336年）。短命政権,後醍醐天皇:天皇親政; 公家:冷遇された; 武士:不満,その他,2
1338年,足利尊氏が後醍醐天皇に反旗を翻し、光明天皇を擁立。征夷大将軍に任命され、京都に室町幕府を開く。後醍醐天皇は吉野に逃れ、南北朝の分裂が始まる。約60年間、朝廷が二つに分かれた。,足利尊氏が征夷大将軍に就任,室町幕府成立。南北朝時代の始まり,足利尊氏:初代将軍; 光明天皇:北朝; 後醍醐天皇:南朝,その他,2
1392年,足利義満が南朝の後亀山天皇と北朝の後小松天皇を説得し、南北朝を統一。約60年続いた分裂が終わる。義満の権力が頂点に達し、室町幕府の基礎が固まった。,南北朝の合一,南北朝の合一。足利義満の功績,足利義満:3代将軍; 後亀山天皇:南朝; 後小松天皇:北朝,その他,2
1404年,足利義満が明との正式な貿易を開始。勘合符という証明書を使い、倭寇と区別。銅銭や生糸、陶磁器などを輸入し、刀剣や硫黄などを輸出。幕府の重要な収入源となった。,勘合貿易の開始,勘合貿易。明との公式貿易,勘合符:証明書; 明:中国王朝; 倭寇:海賊と区別,その他,2
1428年,近江国で徳政を求める農民の一揆が発生。借金の帳消しを要求し、土倉や酒屋を襲撃。「正長元年」の年号から正長の土一揆と呼ばれる。農民の自立と団結を示す最初の大規模一揆。,正長の土一揆,正長の土一揆。最初の大規模農民一揆,徳政:借金帳消し; 土倉:高利貸し; 酒屋:金融業者,その他,2
1467年,足利将軍家の跡継ぎ争いと、細川・山名両氏の対立が重なり、京都で大規模な戦乱が勃発。東軍と西軍に分かれて11年間戦い、京都は焼け野原に。将軍の権威は失墜し、戦国時代が始まった。,応仁の乱の開始,応仁の乱（1467-1477年）。戦国時代の始まり,細川勝元:東軍; 山名宗全:西軍; 京都:戦場,その他,3
1485年,山城国（京都府南部）で国人や農民が自治組織を作り、守護大名を追放。約8年間、自治を維持した。下剋上の風潮を示す事例で、戦国時代の特徴を表す。,山城国一揆,山城国一揆。農民の自治,国人:地方武士; 守護:追放; 自治:8年間維持,その他,2
1488年,一向宗（浄土真宗）の信徒が加賀国（石川県）で守護を倒し、約100年間自治を維持。「百姓の持ちたる国」と呼ばれた。宗教勢力の強さと農民の団結力を示す。,加賀の一向一揆,加賀の一向一揆。100年の自治,一向宗:浄土真宗; 加賀:石川県; 百姓の持ちたる国:農民支配,その他,2
1549年,イエズス会の宣教師フランシスコ・ザビエルが鹿児島に上陸し、キリスト教を伝える。戦国大名の中にはキリシタン大名となる者も現れ、南蛮貿易と結びついて広まった。,キリスト教の伝来,ザビエルがキリスト教を伝来,フランシスコ・ザビエル:宣教師; イエズス会:修道会; キリシタン大名:改宗大名,文化,2
1560年,織田信長が今川義元の大軍を桶狭間で奇襲し、討ち取る。圧倒的に不利な状況での勝利で、信長の名が全国に知れ渡る。天下統一への第一歩となった。,桶狭間の戦い,桶狭間の戦い。信長の逆転勝利,織田信長:勝者; 今川義元:敗者; 桶狭間:愛知県,その他,2
1573年,織田信長が15代将軍足利義昭を京都から追放し、室町幕府が滅亡。約240年続いた室町幕府が終わり、信長の天下統一事業が本格化した。,室町幕府の滅亡,室町幕府滅亡。信長が義昭を追放,足利義昭:最後の将軍; 織田信長:追放; 1573年:滅亡年,その他,2
1575年,織田信長・徳川家康連合軍が武田勝頼を破る。鉄砲3000丁を三段構えで使用し、武田の騎馬隊を壊滅させた。鉄砲戦術の革新性を示す戦い。,長篠の戦い,長篠の戦い。鉄砲三段撃ち,織田信長:連合軍; 武田勝頼:騎馬隊; 鉄砲:3000丁,その他,2
1576年,織田信長が琵琶湖畔に安土城を築城。天守閣を持つ近世城郭の先駆け。豪華な装飾で権力を誇示。楽市楽座や関所の廃止など、革新的な経済政策も実施した。,安土城の築城,安土城。天守閣の先駆け,織田信長:築城; 天守閣:高層建築; 楽市楽座:自由市場,その他,2
1582年,豊臣秀吉が全国の土地を測量し、収穫高を石高で統一。土地と農民を直接把握し、年貢徴収を確実にした。大名の石高も確定し、幕藩体制の基礎となった。,太閤検地の開始,太閤検地。石高制の確立,豊臣秀吉:実施者; 石高:収穫量単位; 年貢:税,その他,2
1587年,豊臣秀吉がキリスト教の布教を禁止し、宣教師の国外追放を命じる。キリシタン大名が寺社を破壊したことや、奴隷貿易に反発したため。ただし南蛮貿易は継続され、徹底されなかった。,バテレン追放令,バテレン追放令。宣教師追放,豊臣秀吉:発布; バテレン:宣教師; キリシタン:信徒,その他,2
1588年,豊臣秀吉が農民から刀や槍などの武器を没収。武士と農民の身分を明確に分離（兵農分離）。一揆を防ぎ、社会秩序を安定させる狙い。武器は方広寺の大仏建立に使うとされた。,刀狩令,刀狩令。兵農分離,豊臣秀吉:発布; 兵農分離:武士と農民分離; 一揆:防止,その他,2
1592年,豊臣秀吉が明征服を目指し、朝鮮に大軍を派遣。当初は優勢だったが、朝鮮水軍の亀甲船や明の援軍に苦戦。講和交渉が決裂し、1597年に慶長の役として再出兵。秀吉の死で撤退した。,文禄の役（朝鮮出兵）,文禄の役（1592年）。朝鮮出兵,豊臣秀吉:出兵; 李舜臣:朝鮮水軍; 亀甲船:装甲船,その他,3
1597年,文禄の役の講和が決裂し、豊臣秀吉が再び朝鮮に出兵。しかし戦況は膠着し、1598年に秀吉が死去。各大名は撤退を開始し、朝鮮出兵は失敗に終わった。国内経済も疲弊した。,慶長の役（朝鮮再出兵）,慶長の役（1597-1598年）。秀吉死去で撤退,豊臣秀吉:1598年死去; 朝鮮出兵:失敗; 撤退:秀吉死後,その他,3
1227年,道元が宋から帰国し、只管打坐（ただひたすら座禅）を説く曹洞宗を開く。越前（福井県）に永平寺を建立。臨済宗が公案を重視するのに対し、曹洞宗は座禅そのものを重視。地方の武士や農民に広まった。,道元が曹洞宗を開く,道元は曹洞宗。只管打坐（座禅）,曹洞宗:禅宗; 永平寺:本山; 只管打坐:ひたすら座禅,文化,2
1297年,御家人の困窮が深刻化。借金で土地を失う御家人が続出。北条貞時が永仁の徳政令を発布し、御家人の借金を帳消しにした。しかし御家人は信用を失い、かえって困窮。幕府の権威も低下した。,永仁の徳政令,永仁の徳政令。借金帳消し,御家人:武士; 徳政令:借金帳消し; 北条貞時:執権,その他,2
1334年,後醍醐天皇が鎌倉幕府を倒し、天皇親政を開始。公家中心の政治に戻そうとするが、武士を冷遇。武士の不満が高まり、わずか2年で崩壊。足利尊氏が反旗を翻し、室町幕府が成立した。,建武の新政,建武の新政（1334-1336年）。短命政権,後醍醐天皇:天皇親政; 公家:冷遇された; 武士:不満,その他,2
1338年,足利尊氏が後醍醐天皇に反旗を翻し、光明天皇を擁立。征夷大将軍に任命され、京都に室町幕府を開く。後醍醐天皇は吉野に逃れ、南北朝の分裂が始まる。約60年間、朝廷が二つに分かれた。,足利尊氏が征夷大将軍に就任,室町幕府成立。南北朝時代の始まり,足利尊氏:初代将軍; 光明天皇:北朝; 後醍醐天皇:南朝,その他,2
1392年,足利義満が南朝の後亀山天皇と北朝の後小松天皇を説得し、南北朝を統一。約60年続いた分裂が終わる。義満の権力が頂点に達し、室町幕府の基礎が固まった。,南北朝の合一,南北朝の合一。足利義満の功績,足利義満:3代将軍; 後亀山天皇:南朝; 後小松天皇:北朝,その他,2
1404年,足利義満が明との正式な貿易を開始。勘合符という証明書を使い、倭寇と区別。銅銭や生糸、陶磁器などを輸入し、刀剣や硫黄などを輸出。幕府の重要な収入源となった。,勘合貿易の開始,勘合貿易。明との公式貿易,勘合符:証明書; 明:中国王朝; 倭寇:海賊と区別,その他,2
1428年,近江国で徳政を求める農民の一揆が発生。借金の帳消しを要求し、土倉や酒屋を襲撃。「正長元年」の年号から正長の土一揆と呼ばれる。農民の自立と団結を示す最初の大規模一揆。,正長の土一揆,正長の土一揆。最初の大規模農民一揆,徳政:借金帳消し; 土倉:高利貸し; 酒屋:金融業者,その他,2
1485年,山城国（京都府南部）で国人や農民が自治組織を作り、守護大名を追放。約8年間、自治を維持した。下剋上の風潮を示す事例で、戦国時代の特徴を表す。,山城国一揆,山城国一揆。農民の自治,国人:地方武士; 守護:追放; 自治:8年間維持,その他,2
1488年,一向宗（浄土真宗）の信徒が加賀国（石川県）で守護を倒し、約100年間自治を維持。「百姓の持ちたる国」と呼ばれた。宗教勢力の強さと農民の団結力を示す。,加賀の一向一揆,加賀の一向一揆。100年の自治,一向宗:浄土真宗; 加賀:石川県; 百姓の持ちたる国:農民支配,その他,2
1549年,イエズス会の宣教師フランシスコ・ザビエルが鹿児島に上陸し、キリスト教を伝える。戦国大名の中にはキリシタン大名となる者も現れ、南蛮貿易と結びついて広まった。,キリスト教の伝来,ザビエルがキリスト教を伝来,フランシスコ・ザビエル:宣教師; イエズス会:修道会; キリシタン大名:改宗大名,文化,2
1560年,織田信長が今川義元の大軍を桶狭間で奇襲し、討ち取る。圧倒的に不利な状況での勝利で、信長の名が全国に知れ渡る。天下統一への第一歩となった。,桶狭間の戦い,桶狭間の戦い。信長の逆転勝利,織田信長:勝者; 今川義元:敗者; 桶狭間:愛知県,その他,2
1573年,織田信長が15代将軍足利義昭を京都から追放し、室町幕府が滅亡。約240年続いた室町幕府が終わり、信長の天下統一事業が本格化した。,室町幕府の滅亡,室町幕府滅亡。信長が義昭を追放,足利義昭:最後の将軍; 織田信長:追放; 1573年:滅亡年,その他,2
1575年,織田信長・徳川家康連合軍が武田勝頼を破る。鉄砲3000丁を三段構えで使用し、武田の騎馬隊を壊滅させた。鉄砲戦術の革新性を示す戦い。,長篠の戦い,長篠の戦い。鉄砲三段撃ち,織田信長:連合軍; 武田勝頼:騎馬隊; 鉄砲:3000丁,その他,2
1576年,織田信長が琵琶湖畔に安土城を築城。天守閣を持つ近世城郭の先駆け。豪華な装飾で権力を誇示。楽市楽座や関所の廃止など、革新的な経済政策も実施した。,安土城の築城,安土城。天守閣の先駆け,織田信長:築城; 天守閣:高層建築; 楽市楽座:自由市場,その他,2
1587年,豊臣秀吉がキリスト教の布教を禁止し、宣教師の国外追放を命じる。キリシタン大名が寺社を破壊したことや、奴隷貿易に反発したため。ただし南蛮貿易は継続され、徹底されなかった。,バテレン追放令,バテレン追放令。宣教師追放,豊臣秀吉:発布; バテレン:宣教師; キリシタン:信徒,その他,2
1588年,豊臣秀吉が農民から刀や槍などの武器を没収。武士と農民の身分を明確に分離（兵農分離）。一揆を防ぎ、社会秩序を安定させる狙い。武器は方広寺の大仏建立に使うとされた。,刀狩令,刀狩令。兵農分離,豊臣秀吉:発布; 兵農分離:武士と農民分離; 一揆:防止,その他,2
1592年,豊臣秀吉が明征服を目指し、朝鮮に大軍を派遣。当初は優勢だったが、朝鮮水軍の亀甲船や明の援軍に苦戦。講和交渉が決裂し、1597年に慶長の役として再出兵。秀吉の死で撤退した。,文禄の役（朝鮮出兵）,文禄の役（1592年）。朝鮮出兵,豊臣秀吉:出兵; 李舜臣:朝鮮水軍; 亀甲船:装甲船,その他,3
1597年,文禄の役の講和が決裂し、豊臣秀吉が再び朝鮮に出兵。しかし戦況は膠着し、1598年に秀吉が死去。各大名は撤退を開始し、朝鮮出兵は失敗に終わった。国内経済も疲弊した。,慶長の役（朝鮮再出兵）,慶長の役（1597-1598年）。秀吉死去で撤退,豊臣秀吉:1598年死去; 朝鮮出兵:失敗; 撤退:秀吉死後,その他,3
1615年,徳川家康が豊臣秀頼を大坂城で攻撃。大坂冬の陣、夏の陣で豊臣方を破り、秀頼と淀殿は自害。豊臣家が滅亡し、徳川家の天下が確定した。,大坂の陣で豊臣家滅亡,大坂の陣（1614-1615年）。豊臣家滅亡,徳川家康:勝者; 豊臣秀頼:敗者; 大坂城:陥落,その他,2
1615年,徳川家康・秀忠が大名統制のため武家諸法度を制定。大名の城の修築や婚姻を規制。参勤交代を義務化し、大名の軍事力と経済力を削ぐ。幕藩体制の基本法となった。,武家諸法度の制定,武家諸法度。大名統制の法律,徳川家康:制定; 参勤交代:義務化; 大名:統制対象,その他,2
1635年,3代将軍徳川家光が参勤交代を制度化。大名は1年ごとに江戸と領地を往復し、妻子を江戸に住まわせる。大名の経済力を削ぎ、謀反を防ぐ。しかし交通や宿場町の発展にもつながった。,参勤交代制度の確立,参勤交代制度。大名を江戸と領地往復,徳川家光:制度化; 大名:江戸往復; 妻子:江戸に人質,その他,2
1635年,徳川家光がキリスト教対策として、日本人の海外渡航と帰国を全面禁止。海外にいる日本人も帰国できなくなった。鎖国体制の強化策の一つ。,日本人の海外渡航禁止,日本人の海外渡航禁止。鎖国強化,徳川家光:発布; 海外渡航:禁止; 鎖国:強化,その他,2
1641年,長崎の平戸にあったオランダ商館を出島に移し、貿易を制限。出島だけでオランダとの貿易を認め、厳しく管理。鎖国体制の完成。オランダを通じて西洋の学問（蘭学）も入ってきた。,オランダ商館を出島に移す,出島での貿易。鎖国体制の完成,出島:長崎の人工島; オランダ:唯一の西洋貿易国; 蘭学:オランダ学問,その他,2
1669年,アイヌ民族の首長シャクシャインが、松前藩の圧政に反発して蜂起。多くのアイヌが団結して戦ったが、鎮圧された。アイヌの抵抗を示す重要な事件。,シャクシャインの戦い,シャクシャインの戦い。アイヌの抵抗,シャクシャイン:アイヌ首長; 松前藩:圧政; アイヌ:先住民族,その他,2
1685年,5代将軍徳川綱吉が動物愛護の法令を発布。特に犬を保護し、違反者を厳しく罰した。犬公方と呼ばれた。民衆の反発を招いたが、生命尊重の思想を示した面もある。,生類憐みの令,生類憐みの令。犬公方,徳川綱吉:発布; 犬:特に保護; 犬公方:綱吉の渾名,その他,2
1716年,8代将軍徳川吉宗が財政難を解決するため、享保の改革を実施。新田開発、上げ米の制、公事方御定書の制定など。倹約を奨励し、幕府財政の立て直しを図った。,享保の改革,享保の改革。徳川吉宗の改革,徳川吉宗:8代将軍; 新田開発:増収策; 公事方御定書:法典,その他,2
1774年,杉田玄白と前野良沢がオランダの医学書を翻訳し、『解体新書』として刊行。日本で初めて西洋医学を体系的に紹介。蘭学の発展に大きく貢献した。,杉田玄白らが『解体新書』を刊行,解体新書。西洋医学の翻訳,杉田玄白:翻訳者; 前野良沢:翻訳者; 蘭学:オランダ学問,文化,2
1782年,浅間山噴火や冷害で東北地方を中心に大飢饉が発生。数十万人が餓死し、百姓一揆や打ちこわしが頻発。幕府の支配力が弱まり、寛政の改革につながった。,天明の大飢饉,天明の大飢饉（1782-1787年）。大規模飢饉,浅間山:噴火; 東北:飢饉; 百姓一揆:頻発,その他,2
1787年,老中松平定信が幕政改革を実施。財政再建、風俗取締り、朱子学以外の学問禁止（寛政異学の禁）。倹約を強要し、民衆の反発を招いた。,寛政の改革,寛政の改革。松平定信の改革,松平定信:老中; 寛政異学の禁:朱子学以外禁止; 倹約:強制,その他,2
1804年,ロシアの使節レザノフが長崎に来航し、通商を要求。幕府は拒否したが、ロシアの南下政策が明確になった。北方警備の必要性が高まった。,レザノフが来航,レザノフ来航。ロシアの通商要求,レザノフ:ロシア使節; 通商:拒否; 北方:警備強化,その他,2
1825年,外国船が日本近海に接近することが増え、幕府は異国船打払令を発布。無二念打ち払うことを命じた。しかしモリソン号事件（1837年）で批判され、1842年に薪水給与令に緩和。,異国船打払令,異国船打払令。外国船を打ち払う,幕府:発布; 外国船:打ち払い; 1842年:緩和,その他,2
1833年,冷害や水害で天保の大飢饉が発生。全国で飢餓が広がり、百姓一揆や打ちこわしが激増。大坂で大塩平八郎の乱が起こるなど、幕府への不満が爆発した。,天保の大飢饉,天保の大飢饉（1833-1839年）。全国規模の飢饉,冷害:原因; 百姓一揆:激増; 大塩平八郎の乱:大坂,その他,2
1837年,大坂町奉行所の元与力大塩平八郎が、飢饉で苦しむ民衆を救うため挙兵。幕府を批判し、豪商を襲撃。半日で鎮圧されたが、幕府の権威失墜を示した。,大塩平八郎の乱,大塩平八郎の乱。元役人の反乱,大塩平八郎:元与力; 大坂:反乱地; 飢饉:背景,その他,2
1841年,老中水野忠邦が幕政改革を実施。株仲間の解散、上知令（大名・旗本の領地を幕府に返還）など。しかし大名の反発で失敗し、忠邦は罷免された。,天保の改革,天保の改革。水野忠邦の改革,水野忠邦:老中; 株仲間:解散; 上知令:失敗,その他,2
1854年,江戸を大地震が襲い、多数の死者が出る。翌年には安政の大津波も発生。幕府の対応の遅れが批判され、社会不安が高まった。,安政の大地震,安政の大地震。江戸を襲う,江戸:被災地; 地震:大規模; 社会不安:高まる,地理,2
1858年,大老井伊直弼が日米修好通商条約に反対する尊王攘夷派を弾圧。吉田松陰、橋本左内らを処刑。100人以上が処罰され、幕府への反発が強まった。,安政の大獄,安政の大獄。反対派を大量弾圧,井伊直弼:大老; 吉田松陰:処刑; 尊王攘夷派:弾圧対象,その他,3
1860年,井伊直弼が江戸城桜田門外で水戸藩の浪士に暗殺される。安政の大獄への報復。大老が白昼堂々と殺され、幕府の権威は地に落ちた。,桜田門外の変,桜田門外の変。井伊直弼暗殺,井伊直弼:暗殺; 水戸藩:浪士; 桜田門:江戸城,その他,3
1862年,横浜近郊の生麦村で、薩摩藩の行列を横切ったイギリス人が斬られる事件。翌年、イギリスが報復として薩英戦争を起こす。攘夷の限界を薩摩が認識するきっかけとなった。,生麦事件,生麦事件。イギリス人殺傷,薩摩藩:加害; イギリス人:被害; 薩英戦争:報復,その他,3
1863年,生麦事件の報復としてイギリス艦隊が鹿児島を砲撃。薩摩藩は応戦するが敗北。西洋の軍事力を痛感し、攘夷から開国・近代化へと方針を転換した。,薩英戦争,薩英戦争。薩摩とイギリスの戦い,薩摩藩:敗北; イギリス:勝利; 攘夷:限界認識,その他,3
1863年,長州藩が関門海峡を通る外国船を砲撃（攘夷実行）。翌1864年、イギリス・フランス・アメリカ・オランダの4国連合艦隊が報復攻撃。長州は敗北し、攘夷の不可能を悟った。,下関戦争,下関戦争。長州藩の攘夷実行,長州藩:砲撃; 四国連合艦隊:報復; 攘夷:不可能,その他,3
1866年,土佐藩の坂本龍馬の仲介で、薩摩藩と長州藩が同盟を結ぶ。犬猿の仲だった両藩が協力し、倒幕へ向けて動き出す。明治維新の原動力となった。,薩長同盟,薩長同盟。坂本龍馬が仲介,坂本龍馬:仲介; 薩摩藩:西郷隆盛; 長州藩:木戸孝允,その他,3
1867年,15代将軍徳川慶喜が政権を朝廷に返上。260年続いた江戸幕府が終わる。しかし実権を維持しようとしたため、薩長は武力討幕を決意。戊辰戦争へとつながった。,大政奉還,大政奉還。政権を朝廷に返上,徳川慶喜:15代将軍; 朝廷:政権返上先; 薩長:不満,その他,3
1867年,薩摩藩・長州藩が朝廷を動かし、王政復古の大号令を発する。天皇親政への復帰を宣言し、幕府・摂政・関白の廃止を決定。新政府の樹立が宣言された。,王政復古の大号令,王政復古の大号令。新政府樹立,天皇親政:宣言; 幕府:廃止; 新政府:樹立,その他,3
1868年,鳥羽・伏見の戦いで旧幕府軍と新政府軍が衝突。新政府軍が勝利し、江戸城は無血開城。旧幕府勢力は東北・函館で抵抗を続けたが、1869年に箱館戦争で終結した。,戊辰戦争の開始,戊辰戦争（1868-1869年）。新政府軍の勝利,鳥羽・伏見:初戦; 江戸城:無血開城; 箱館戦争:最終戦,その他,3
1869年,明治政府が大名に領地（版）と人民（籍）を天皇に返還させる。藩主は知藩事として藩政を継続するが、中央集権化の第一歩となった。,版籍奉還,版籍奉還。領地を天皇に返還,版:領地; 籍:人民; 知藩事:藩主,その他,3
