語句,読み,意味,詳細解説,関連事項,関連分野,種別,source,grade
東条英機,とうじょうひでき,太平洋戦争時の首相,東条英機は太平洋戦争時の首相兼陸軍大臣。軍部の中心人物として戦争を主導したが、戦況悪化で辞職。戦後、A級戦犯として極東国際軍事裁判で死刑判決を受けた。,太平洋戦争|A級戦犯|極東国際軍事裁判|軍部,歴史-近代,人物名,,3
吉田茂,よしだしげる,戦後復興を主導した首相,吉田茂は戦後の首相。サンフランシスコ平和条約と日米安全保障条約に調印し、日本の独立を回復した。経済復興を優先する「吉田ドクトリン」で戦後日本の方向性を決めた。,サンフランシスコ平和条約|日米安保条約|戦後復興|吉田ドクトリン,歴史-現代,人物名,,3
マッカーサー,まっかーさー,GHQ最高司令官,ダグラス・マッカーサーは連合国軍最高司令官(GHQ)として日本の占領政策を主導した。日本国憲法の制定、農地改革、財閥解体などの民主化政策を実施した。,GHQ|占領政策|日本国憲法|民主化,歴史-現代,人物名,,3
鳩山一郎,はとやまいちろう,日ソ共同宣言に調印した首相,鳩山一郎は戦後の首相。1956年に日ソ共同宣言に調印し、ソ連との国交を回復した。これにより日本の国連加盟が実現した。保守合同で自由民主党を結成した。,日ソ共同宣言|国交回復|国連加盟|保守合同,歴史-現代,人物名,,3
岸信介,きしのぶすけ,安保改定を行った首相,岸信介は戦後の首相。1960年に日米安全保障条約の改定を強行採決し、安保闘争を引き起こした。条約成立後に退陣したが、日米関係の基礎を固めた。,安保改定|安保闘争|日米安保条約|60年安保,歴史-現代,人物名,,3
佐藤栄作,さとうえいさく,非核三原則を宣言した首相,佐藤栄作は戦後最長の首相。1967年に非核三原則を宣言し、1972年に沖縄返還を実現した。ノーベル平和賞を受賞したが、核密約の存在が後に明らかになった。,非核三原則|沖縄返還|ノーベル平和賞|核密約,歴史-現代,人物名,,3
田中角栄,たなかかくえい,日中国交正常化を実現した首相,田中角栄は戦後の首相。1972年に日中共同声明に調印し、中国との国交正常化を実現した。「日本列島改造論」を唱えたが、ロッキード事件で逮捕された。,日中国交正常化|日中共同声明|日本列島改造論|ロッキード事件,歴史-現代,人物名,,3
湯川秀樹,ゆかわひでき,日本初のノーベル賞受賞者,湯川秀樹は理論物理学者。1935年に中間子理論を発表し、1949年に日本人初のノーベル物理学賞を受賞した。戦後日本に希望を与え、科学立国の象徴となった。,中間子理論|ノーベル物理学賞|理論物理学|戦後,歴史-現代,人物名,,3
野口英世,のぐちひでよ,黄熱病研究で知られる細菌学者,野口英世は細菌学者。アメリカで黄熱病や梅毒の研究に従事し、世界的な業績を上げた。アフリカで黄熱病の研究中に自らも感染して死去。千円札の肖像にもなった。,黄熱病|細菌学|千円札|医学者,歴史-近代,人物名,,3
手塚治虫,てづかおさむ,漫画の神様,手塚治虫は漫画家。「鉄腕アトム」「ブラック・ジャック」など多数の作品を残し、「漫画の神様」と呼ばれた。ストーリー漫画の手法を確立し、日本の漫画文化を世界レベルに引き上げた。,鉄腕アトム|ブラック・ジャック|漫画|戦後文化,歴史-現代,人物名,,3
黒澤明,くろさわあきら,世界的な映画監督,黒澤明は映画監督。「羅生門」「七人の侍」などの作品で国際的な評価を得た。ヴェネチア国際映画祭で金獅子賞、アカデミー名誉賞を受賞し、世界の映画界に影響を与えた。,七人の侍|羅生門|映画監督|戦後文化,歴史-現代,人物名,,3
緒方貞子,おがたさだこ,国連難民高等弁務官,緒方貞子は国連難民高等弁務官(UNHCR)を務めた外交官。1991年から10年間、世界各地の難民支援を指揮した。「人間の安全保障」の概念を広め、国際的に高く評価された。,UNHCR|難民支援|人間の安全保障|国際貢献,歴史-現代,人物名,,3
青森県,あおもりけん,本州最北端の県,青森県は本州最北端に位置する。りんご生産量日本一で、津軽平野では稲作も盛ん。三内丸山遺跡などの縄文遺跡があり、ねぶた祭りで有名。,津軽平野|りんご|三内丸山遺跡|ねぶた祭り,地理-日本,地名,,1|2
岩手県,いわてけん,面積が広い東北の県,岩手県は本州で最も面積が広い県。南部鉄器や漆器などの伝統工芸が盛ん。リアス海岸が発達し、三陸沖は好漁場。世界遺産の平泉がある。,リアス海岸|三陸沖|南部鉄器|平泉,地理-日本,地名,,1|2
宮城県,みやぎけん,東北地方の中心都市,宮城県は東北地方の中心的な県で、県庁所在地は仙台市。仙台平野で稲作が盛ん。松島は日本三景の一つ。2011年の東日本大震災で大きな被害を受けた。,仙台市|仙台平野|松島|東日本大震災,地理-日本,地名,,1|2
秋田県,あきたけん,米どころとして有名,秋田県は米の生産が盛んで、特に秋田こまちが有名。能代平野や横手盆地で稲作が行われる。竿燈まつりやなまはげなどの伝統行事がある。,秋田こまち|能代平野|竿燈まつり|なまはげ,地理-日本,地名,,1|2
山形県,やまがたけん,さくらんぼ生産日本一,山形県はさくらんぼ生産量日本一。山形盆地や庄内平野で稲作や果樹栽培が盛ん。最上川が流れ、出羽三山などの信仰の山がある。,さくらんぼ|山形盆地|庄内平野|最上川,地理-日本,地名,,1|2
福島県,ふくしまけん,東北地方の南部に位置,福島県は東北地方の南部に位置し、会津・中通り・浜通りの3地域に分かれる。桃の生産が盛ん。2011年の原発事故で大きな影響を受けた。,会津|中通り|浜通り|原発事故,地理-日本,地名,,1|2
茨城県,いばらきけん,関東地方の北部,茨城県は関東地方の北部に位置する。関東平野の一部で、稲作や野菜栽培が盛ん。鹿島臨海工業地域では製鉄業が発達。筑波研究学園都市がある。,関東平野|鹿島|筑波研究学園都市|野菜,地理-日本,地名,,1|2
栃木県,とちぎけん,いちご生産日本一,栃木県はいちご生産量日本一。関東平野の北部に位置し、稲作や野菜栽培が盛ん。日光東照宮などの世界遺産や那須高原などの観光地がある。,いちご|関東平野|日光東照宮|那須高原,地理-日本,地名,,1|2
群馬県,ぐんまけん,内陸の工業県,群馬県は関東地方の内陸県。赤城山・榛名山・妙義山の上毛三山がある。高崎市や太田市で自動車工業が盛ん。こんにゃく芋の生産が日本一。,上毛三山|自動車工業|こんにゃく|内陸県,地理-日本,地名,,1|2
埼玉県,さいたまけん,東京に隣接する県,埼玉県は東京都に隣接し、ベッドタウンとして人口が多い。秩父山地があり、関東平野の一部では野菜栽培が盛ん。川越などの観光地もある。,ベッドタウン|関東平野|秩父|川越,地理-日本,地名,,1|2
千葉県,ちばけん,房総半島を占める県,千葉県は房総半島を占める。関東地方で唯一海に三方を囲まれる。野菜や落花生の生産が盛ん。東京湾岸に京葉工業地域が発達。成田国際空港がある。,房総半島|京葉工業地域|成田空港|落花生,地理-日本,地名,,1|2
神奈川県,かながわけん,人口第2位の県,神奈川県は東京都に次ぐ人口第2位。横浜市・川崎市を中心に京浜工業地帯が発達。横浜港は日本を代表する貿易港。鎌倉や箱根などの観光地がある。,横浜市|京浜工業地帯|横浜港|鎌倉,地理-日本,地名,,1|2
新潟県,にいがたけん,米どころで日本海側最大,新潟県は日本海側で最も人口が多い県。越後平野は日本有数の米どころで、コシヒカリが有名。信濃川が流れ、豪雪地帯として知られる。,越後平野|コシヒカリ|信濃川|豪雪地帯,地理-日本,地名,,1|2
富山県,とやまけん,北陸工業地域の中心,富山県は北陸地方に位置し、富山平野で稲作が盛ん。北陸工業地域の中心で、薬品工業が有名。立山連峰や黒部ダムなどの観光地がある。,富山平野|北陸工業地域|薬品|立山連峰,地理-日本,地名,,1|2
石川県,いしかわけん,金沢市がある県,石川県は北陸地方に位置し、県庁所在地は金沢市。加賀百万石の文化が残り、伝統工芸が盛ん。能登半島が日本海に突き出る。,金沢市|能登半島|加賀百万石|伝統工芸,地理-日本,地名,,1|2
福井県,ふくいけん,若狭湾に面する県,福井県は日本海の若狭湾に面する。原子力発電所が多く立地する。越前和紙や眼鏡枠の生産が盛ん。恐竜の化石が多数発見されている。,若狭湾|原子力発電|越前和紙|恐竜,地理-日本,地名,,1|2
山梨県,やまなしけん,桃とぶどうの産地,山梨県は内陸県で、甲府盆地で桃とぶどうの栽培が盛ん。富士山の北麓に位置し、富士五湖などの観光地がある。ワイン生産も有名。,甲府盆地|桃|ぶどう|富士山,地理-日本,地名,,1|2
長野県,ながのけん,日本アルプスがある県,長野県は内陸県で、日本アルプスに囲まれる。高原野菜や果樹栽培が盛ん。善光寺や松本城などの観光地があり、1998年に冬季五輪を開催した。,日本アルプス|高原野菜|善光寺|長野五輪,地理-日本,地名,,1|2
岐阜県,ぎふけん,内陸工業県,岐阜県は内陸県で、飛騨山脈と美濃地方に分かれる。輸送機械工業が盛ん。白川郷の合掌造り集落は世界遺産。長良川で鵜飼いが行われる。,飛騨山脈|美濃|白川郷|鵜飼い,地理-日本,地名,,1|2
静岡県,しずおかけん,お茶とみかんの産地,静岡県は東海地方に位置し、お茶とみかんの生産が盛ん。富士山の南麓に位置し、温暖な気候。輸送機械工業や楽器製造業が発達。,富士山|お茶|みかん|輸送機械,地理-日本,地名,,1|2
三重県,みえけん,伊勢神宮がある県,三重県は東海地方に位置し、伊勢神宮がある。志摩半島はリアス海岸で、真珠の養殖が盛ん。四日市市は石油化学コンビナートが発達。,伊勢神宮|志摩半島|真珠養殖|四日市,地理-日本,地名,,1|2
滋賀県,しがけん,琵琶湖がある県,滋賀県は近畿地方の内陸県で、日本最大の湖・琵琶湖がある。京都・大阪の水源として重要。東海道と中山道が交わる交通の要衝。近江商人の出身地。,琵琶湖|内陸県|近江商人|水源,地理-日本,地名,,1|2
京都府,きょうとふ,古都として有名,京都府は近畿地方に位置し、京都市は794年から1000年以上都だった。寺院や神社が多く、世界遺産が17か所ある。伝統工芸や観光業が盛ん。,古都|世界遺産|平安京|伝統工芸,地理-日本,地名,,1|2
兵庫県,ひょうごけん,阪神工業地帯の中心,兵庫県は近畿地方に位置し、神戸市は日本を代表する港湾都市。阪神工業地帯の中心で、製鉄業や造船業が盛ん。1995年の阪神・淡路大震災で大きな被害を受けた。,神戸市|阪神工業地帯|阪神淡路大震災|港湾都市,地理-日本,地名,,1|2
奈良県,なら けん,奈良時代の都,奈良県は近畿地方の内陸県。710年から平城京が置かれた古都。東大寺や法隆寺など多くの世界遺産がある。吉野杉などの林業も盛ん。,平城京|東大寺|法隆寺|古都,地理-日本,地名,,1|2
和歌山県,わかやまけん,紀伊半島南部の県,和歌山県は紀伊半島の南部に位置する。みかんや梅の生産が盛ん。高野山や熊野古道など世界遺産がある。黒潮の影響で温暖多雨の気候。,紀伊半島|みかん|梅|高野山,地理-日本,地名,,1|2
鳥取県,とっとりけん,人口最少の県,鳥取県は中国地方の日本海側に位置し、人口が最も少ない県。鳥取砂丘が有名。二十世紀梨の産地として知られる。,鳥取砂丘|二十世紀梨|人口最少|日本海,地理-日本,地名,,1|2
島根県,しまねけん,出雲大社がある県,島根県は中国地方の日本海側に位置する。出雲大社や石見銀山などの歴史的遺産がある。宍道湖ではしじみ漁が盛ん。,出雲大社|石見銀山|宍道湖|しじみ,地理-日本,地名,,1|2
岡山県,おかやまけん,晴れの国,岡山県は中国地方の瀬戸内海側に位置する。瀬戸内の温暖少雨の気候で「晴れの国」と呼ばれる。桃やぶどうの栽培が盛ん。水島臨海工業地域がある。,瀬戸内気候|桃|水島|晴れの国,地理-日本,地名,,1|2
広島県,ひろしまけん,原爆ドームがある県,広島県は中国地方最大の都市。1945年に原爆が投下され、原爆ドームは世界遺産。瀬戸内海の牡蠣養殖が盛ん。呉市では造船業が発達。,原爆ドーム|牡蠣|呉|平和記念公園,地理-日本,地名,,1|2
山口県,やまぐちけん,本州最西端の県,山口県は本州最西端に位置する。関門海峡で九州と接する。瀬戸内工業地域の一部で、石油化学工業が盛ん。萩や下関などの歴史的な町がある。,関門海峡|瀬戸内工業地域|萩|下関,地理-日本,地名,,1|2
徳島県,とくしまけん,阿波踊りで有名,徳島県は四国地方の東部に位置する。阿波踊りで有名。吉野川が流れ、鳴門海峡の渦潮が観光名所。すだちの生産が日本一。,阿波踊り|鳴門海峡|吉野川|すだち,地理-日本,地名,,1|2
香川県,かがわけん,面積最小の県,香川県は日本で最も面積が小さい県。讃岐平野で米や麦が栽培され、讃岐うどんが有名。瀬戸大橋で本州とつながる。ため池が多い。,讃岐平野|讃岐うどん|瀬戸大橋|面積最小,地理-日本,地名,,1|2
高知県,こうちけん,土佐藩の地,高知県は四国地方の南部、太平洋側に位置する。黒潮の影響で温暖多雨。促成栽培によるなすやピーマンの生産が盛ん。坂本龍馬の出身地。,黒潮|促成栽培|なす|坂本龍馬,地理-日本,地名,,1|2
佐賀県,さがけん,有田焼の産地,佐賀県は九州地方の北部に位置する。有田焼や伊万里焼などの陶磁器が有名。筑紫平野で稲作が盛ん。有明海では海苔の養殖が行われる。,有田焼|筑紫平野|有明海|海苔,地理-日本,地名,,1|2
長崎県,ながさきけん,原爆が投下された県,長崎県は九州地方の西部に位置する。1945年に原爆が投下された。五島列島や対馬などの離島が多い。造船業が盛ん。江戸時代は出島で唯一西洋との貿易が行われた。,原爆|五島列島|対馬|出島,地理-日本,地名,,1|2
熊本県,くまもとけん,熊本城と阿蘇山,熊本県は九州地方の中央部に位置する。熊本城や阿蘇山が有名。筑紫平野や熊本平野で稲作が盛ん。トマトやすいかの生産も多い。,熊本城|阿蘇山|筑紫平野|トマト,地理-日本,地名,,1|2
大分県,おおいたけん,温泉県,大分県は九州地方の東部に位置する。別府温泉や湯布院など温泉が多く「温泉県」と呼ばれる。椎茸の生産が盛ん。北部では製鉄業が発達。,別府温泉|湯布院|椎茸|温泉県,地理-日本,地名,,1|2
宮崎県,みやざきけん,温暖な気候の県,宮崎県は九州地方の東南部、太平洋側に位置する。温暖な気候を利用した促成栽培が盛ん。きゅうりやピーマンの生産が多い。高千穂などの観光地がある。,促成栽培|きゅうり|ピーマン|高千穂,地理-日本,地名,,1|2
鹿児島県,かごしまけん,桜島がある県,鹿児島県は九州地方の南部に位置する。活火山の桜島があり、シラス台地が広がる。さつまいもや茶の生産が盛ん。種子島や屋久島などの離島がある。,桜島|シラス台地|さつまいも|屋久島,地理-日本,地名,,1|2
富士山,ふじさん,日本最高峰の山,富士山は標高3776mの日本最高峰。静岡県と山梨県にまたがる活火山。日本の象徴として親しまれ、2013年に世界文化遺産に登録された。,標高3776m|世界遺産|活火山|日本最高峰,地理-日本,地名,,1|2
信濃川,しなのがわ,日本最長の川,信濃川は長野県と新潟県を流れる日本最長の川(367km)。長野県内では千曲川と呼ばれる。越後平野を潤し、水力発電にも利用される。,日本最長|367km|越後平野|千曲川,地理-日本,地名,,1|2
利根川,とねがわ,関東平野を流れる川,利根川は関東平野を流れる日本第2位の長さ(322km)の川。首都圏の重要な水源で、坂東太郎とも呼ばれる。江戸時代に流路が変更された。,関東平野|322km|水源|坂東太郎,地理-日本,地名,,1|2
琵琶湖,びわこ,日本最大の湖,琵琶湖は滋賀県にある日本最大の湖(面積約670㎢)。京都・大阪の水源として重要。古くから交通・漁業の場として栄えた。ラムサール条約登録湿地。,日本最大|滋賀県|水源|670㎢,地理-日本,地名,,1|2
筑紫平野,つくしへいや,九州最大の平野,筑紫平野は福岡県南部から佐賀県にかけて広がる九州最大の平野。筑後川が流れ、米の二期作が行われる。クリークと呼ばれる水路がある。,九州最大|筑後川|二期作|クリーク,地理-日本,地名,,1|2
十勝平野,とかちへいや,北海道の畑作地帯,十勝平野は北海道東部にある日本有数の畑作地帯。小麦・じゃがいも・てんさい・大豆などが栽培される。酪農も盛ん。,畑作|小麦|じゃがいも|酪農,地理-日本,地名,,1|2
釧路湿原,くしろしつげん,日本最大の湿原,釧路湿原は北海道東部にある日本最大の湿原(約26000ha)。特別天然記念物のタンチョウが生息する。ラムサール条約登録湿地で、国立公園に指定されている。,日本最大|湿原|タンチョウ|ラムサール条約,地理-日本,地名,,1|2
白神山地,しらかみさんち,世界自然遺産の山地,白神山地は青森県と秋田県にまたがる山地。世界最大級のブナの原生林があり、1993年に世界自然遺産に登録された。多様な動植物が生息する。,世界自然遺産|ブナ林|原生林|青森秋田,地理-日本,地名,,1|2
知床半島,しれとこはんとう,世界自然遺産の半島,知床半島は北海道東部の半島。貴重な自然が残り、2005年に世界自然遺産に登録された。ヒグマやシマフクロウなど希少動物が生息する。,世界自然遺産|北海道|ヒグマ|原生自然,地理-日本,地名,,1|2
小笠原諸島,おがさわらしょとう,東京都の亜熱帯の島々,小笠原諸島は東京から南に約1000kmの太平洋上にある島々。独自の生態系を持ち、2011年に世界自然遺産に登録された。東京都に属する。,世界自然遺産|東京都|亜熱帯|固有種,地理-日本,地名,,1|2
やませ,やませ,東北地方の冷たい風,やませは初夏に東北地方の太平洋側に吹く冷たく湿った北東風。梅雨期に発生し、気温を下げて日照不足を招く。冷害の原因となり、稲作に大きな被害を与える。,冷害|東北|北東風|日照不足,地理-日本,その他,,1|2
フェーン現象,ふぇーんげんしょう,山を越える風が乾燥し高温化,フェーン現象は湿った空気が山を越える時、風下側で乾燥し高温になる現象。日本海側から太平洋側に吹く風で、春や夏に気温が異常に上昇することがある。,高温|乾燥|山越え|異常気象,地理-日本,その他,,1|2
太平洋ベルト,たいへいようべると,工業が集中する地帯,太平洋ベルトは関東から九州北部まで太平洋側に連なる工業地帯・地域の総称。日本の工業生産の大部分を占め、人口も集中している。,工業地帯|人口集中|太平洋側|経済中心,地理-日本,その他,,1|2
過疎,かそ,人口が減少し活力が失われること,過疎は人口が減少し、地域社会の活力が失われる現象。山間部や離島などで進行し、学校や病院の閉鎖、公共交通の廃止などが起こる。高齢化も深刻。,人口減少|高齢化|山間部|地域問題,地理-日本,その他,,1|2
過密,かみつ,人口が集中しすぎること,過密は都市部に人口が集中しすぎる現象。住宅不足、交通渋滞、環境悪化などの問題が発生する。東京圏など大都市圏で深刻。過疎の反対概念。,人口集中|都市問題|交通渋滞|大都市,地理-日本,その他,,1|2
中華人民共和国,ちゅうかじんみんきょうわこく,世界最多の人口を持つ国,中華人民共和国(中国)は人口約14億人で世界最多。面積は日本の約26倍。1949年に成立した社会主義国だが、改革開放政策で経済成長を遂げた。,人口最多|社会主義|改革開放|経済成長,地理-世界,地名,,1
アメリカ合衆国,あめりかがっしゅうこく,世界最大の経済大国,アメリカ合衆国は50州からなる連邦国家。世界最大の経済大国で軍事大国。移民の国で多様な文化を持つ。シリコンバレーなど先端技術の中心地。,経済大国|50州|移民|先端技術,地理-世界,地名,,1
ブラジル連邦共和国,ぶらじるれんぽうきょうわこく,南アメリカ最大の国,ブラジルは南アメリカ最大の国で、面積は日本の約23倍。アマゾン川流域に熱帯雨林が広がる。コーヒー豆や鉄鉱石の生産が盛ん。ポルトガル語を公用語とする。,南米最大|アマゾン川|コーヒー|ポルトガル語,地理-世界,地名,,1
オーストラリア連邦,おーすとらりあれんぽう,南半球の大陸国家,オーストラリアは南半球にある大陸国家。面積は日本の約20倍。鉱物資源が豊富で、鉄鉱石や石炭の輸出が盛ん。羊の飼育数が多く、羊毛の輸出国。,南半球|鉱物資源|羊毛|鉄鉱石,地理-世界,地名,,1
インド共和国,いんどきょうわこく,人口第2位の国,インドは人口約14億人で世界第2位。IT産業が発達し、経済成長が著しい。ヒンドゥー教徒が多数を占める。米や小麦の生産が盛んで、紅茶の産地としても有名。,人口第2位|IT産業|ヒンドゥー教|経済成長,地理-世界,地名,,1
ドイツ連邦共和国,どいつれんぽうきょうわこく,ヨーロッパ最大の経済国,ドイツはヨーロッパ最大の経済国。自動車工業や機械工業が発達。EU(ヨーロッパ連合)の中心国で、ベルリンが首都。第二次世界大戦後、東西に分裂していたが1990年に統一。,EU|自動車工業|ベルリン|統一,地理-世界,地名,,1
イギリス,いぎりす,産業革命発祥の国,イギリスは正式名称をグレートブリテン及び北アイルランド連合王国という。18世紀に世界初の産業革命が起こった。ロンドンは世界的な金融センター。2020年にEUから離脱した。,産業革命|ロンドン|金融|EU離脱,地理-世界,地名,,1
フランス共和国,ふらんすきょうわこく,農業国で観光大国,フランスは西ヨーロッパの国で、農業が盛ん。小麦の生産量が多く、ワインやチーズで有名。パリのエッフェル塔など観光資源が豊富で、観光客数世界一。,農業|ワイン|パリ|観光,地理-世界,地名,,1
ロシア連邦,ろしあれんぽう,世界最大の面積を持つ国,ロシアは世界最大の面積を持つ国(日本の約45倍)。石油・天然ガスなどの資源が豊富。シベリアの広大な森林や永久凍土が広がる。首都はモスクワ。,世界最大|資源|シベリア|モスクワ,地理-世界,地名,,1
サウジアラビア王国,さうじあらびあおうこく,石油埋蔵量世界有数,サウジアラビアは中東の国で、石油埋蔵量が世界有数。イスラム教の聖地メッカとメディナがある。砂漠気候で、石油輸出で経済が成り立っている。,石油|メッカ|イスラム教|砂漠,地理-世界,地名,,1
アマゾン川,あまぞんがわ,世界最大の流域面積,アマゾン川は南アメリカのブラジルを流れる川。流域面積は世界最大で、熱帯雨林が広がる。多様な生物が生息し「地球の肺」と呼ばれる。近年、開発で森林減少が問題。,流域面積最大|熱帯雨林|ブラジル|環境問題,地理-世界,地名,,1
ナイル川,ないるがわ,世界最長の川,ナイル川はアフリカ大陸を流れる世界最長の川(約6650km)。エジプトなど11か国を流れる。古代エジプト文明を育んだ。下流域では灌漑農業が行われる。,世界最長|6650km|エジプト|古代文明,地理-世界,地名,,1
サハラ砂漠,さはらさばく,世界最大の砂漠,サハラ砂漠はアフリカ北部に広がる世界最大の砂漠。面積は約900万㎢でアメリカ合衆国とほぼ同じ。乾燥気候で、近年は砂漠化が進行している。,世界最大|アフリカ|乾燥|砂漠化,地理-世界,地名,,1
ヒマラヤ山脈,ひまらやさんみゃく,世界最高峰の山脈,ヒマラヤ山脈はアジアにある世界最高峰の山脈。エベレスト(標高8849m)など8000m級の山々が連なる。インドプレートとユーラシアプレートの衝突で形成された。,世界最高峰|エベレスト|プレート|8849m,地理-世界,地名,,1
大日本帝国憲法,だいにほんていこくけんぽう,明治時代の憲法,大日本帝国憲法は1889年に発布された日本初の近代憲法。天皇主権で、天皇は神聖不可侵とされた。議会は帝国議会と呼ばれ、選挙権は制限されていた。,天皇主権|帝国議会|明治憲法|伊藤博文,公民-政治,制度概念,,3
憲法第9条,けんぽうだいきゅうじょう,戦争放棄を定めた条文,憲法第9条は戦争放棄、戦力不保持、交戦権否認を定める。「戦争と、武力による威嚇又は武力の行使は、永久にこれを放棄する」と宣言。自衛隊の存在と解釈が議論されている。,戦争放棄|戦力不保持|平和主義|自衛隊,公民-政治,制度概念,,3
天皇,てんのう,日本国の象徴,天皇は日本国憲法で「日本国の象徴であり日本国民統合の象徴」と定められている。政治的権力を持たず、国事行為のみを行う。世襲制で、皇室典範で継承が定められる。,象徴|国事行為|世襲|皇室典範,公民-政治,制度概念,,3
国事行為,こくじこうい,天皇が行う公的な仕事,国事行為は天皇が憲法に基づいて行う公的な行為。国会の召集、法律の公布、国務大臣の任免の認証など。すべて内閣の助言と承認が必要で、政治的責任は内閣が負う。,天皇|内閣|助言と承認|憲法,公民-政治,制度概念,,3
自由権,じゆうけん,国家権力から自由でいる権利,自由権は国家権力の干渉を受けずに自由に行動できる権利。精神の自由・身体の自由・経済活動の自由に分けられる。「国家からの自由」とも呼ばれる。,基本的人権|精神の自由|身体の自由|経済活動,公民-政治,制度概念,,3
平等権,びょうどうけん,差別されない権利,平等権は法の下の平等を保障する権利。憲法第14条で、人種・信条・性別・社会的身分などによる差別を禁止。男女平等や部落差別解消などの基礎となる。,法の下の平等|差別禁止|憲法第14条|人権,公民-政治,制度概念,,3
社会権,しゃかいけん,人間らしい生活を求める権利,社会権は人間らしい生活を国家に求める権利。生存権・教育を受ける権利・勤労の権利・労働基本権がある。「国家による自由」とも呼ばれる20世紀型の人権。,生存権|教育権|勤労権|労働基本権,公民-政治,制度概念,,3
参政権,さんせいけん,政治に参加する権利,参政権は国民が政治に参加する権利。選挙権と被選挙権が中心。国民投票や最高裁判所裁判官の国民審査も含まれる。民主主義の基本となる権利。,選挙権|被選挙権|国民投票|民主主義,公民-政治,制度概念,,3
請求権,せいきゅうけん,権利を守るための権利,請求権は他の権利が侵害された時に救済を求める権利。裁判を受ける権利、国家賠償請求権、刑事補償請求権、請願権がある。「権利のための権利」と呼ばれる。,裁判を受ける権利|国家賠償|刑事補償|請願権,公民-政治,制度概念,,3
生存権,せいぞんけん,健康で文化的な最低限度の生活を送る権利,生存権は憲法第25条で保障される権利。「すべて国民は、健康で文化的な最低限度の生活を営む権利を有する」と定める。生活保護制度などの根拠となる。,憲法第25条|社会権|生活保護|最低限度,公民-政治,制度概念,,3
労働三権,ろうどうさんけん,労働者の権利,労働三権は労働者を保護するための権利。団結権(労働組合を作る権利)、団体交渉権(使用者と交渉する権利)、団体行動権(ストライキなどをする権利)の3つ。憲法第28条で保障。,団結権|団体交渉権|団体行動権|憲法第28条,公民-政治,制度概念,,3
公共の福祉,こうきょうのふくし,人権を制限する原理,公共の福祉は社会全体の利益のこと。個人の人権も無制限ではなく、他人の人権と衝突する時は「公共の福祉」によって制限される。人権相互の調整原理。,人権制限|調整原理|社会全体|基本的人権,公民-政治,制度概念,,3
国会,こっかい,国権の最高機関,国会は憲法第41条で「国権の最高機関」「国の唯一の立法機関」と定められる。衆議院と参議院からなる二院制。法律の制定、予算の議決、内閣総理大臣の指名などを行う。,立法機関|二院制|衆議院|参議院,公民-政治,制度概念,,3
予算の先議権,よさんのせんぎけん,衆議院が予算を先に審議する権利,予算の先議権は衆議院が予算案を先に審議する権利。予算は必ず衆議院から先に提出される。参議院より衆議院の権限が強い根拠の一つ。,衆議院|参議院|予算|衆議院の優越,公民-政治,制度概念,,3
衆議院の優越,しゅうぎいんのゆうえつ,衆議院が参議院より強い権限を持つこと,衆議院の優越は衆議院が参議院より強い権限を持つこと。法律案・予算・条約承認・内閣総理大臣指名で衆議院の議決が優先される。解散があり民意をより反映するため。,衆議院|参議院|二院制|民意,公民-政治,制度概念,,3
内閣,ないかく,行政権を担う機関,内閣は行政権を担う最高機関。内閣総理大臣と国務大臣で構成される。法律の執行、予算案の作成、外交、条約の締結などを行う。議院内閣制のもとで国会に対して連帯責任を負う。,行政権|内閣総理大臣|国務大臣|議院内閣制,公民-政治,制度概念,,3
議院内閣制,ぎいんないかくせい,内閣が議会に責任を負う制度,議院内閣制は内閣が議会(国会)に対して責任を負う制度。内閣総理大臣は国会議員の中から国会が指名する。衆議院は内閣不信任決議ができ、内閣は衆議院を解散できる。,内閣|国会|内閣不信任|解散,公民-政治,制度概念,,3
内閣不信任決議,ないかくふしんにんけつぎ,衆議院が内閣を信任しないと議決すること,内閣不信任決議は衆議院が内閣を信任しないと議決すること。可決されると内閣は10日以内に衆議院を解散するか、総辞職しなければならない。議院内閣制の重要な仕組み。,衆議院|内閣|解散|総辞職,公民-政治,制度概念,,3
司法権,しほうけん,裁判を行う権利,司法権は具体的な争いについて法を適用し裁判を行う権利。裁判所が担当する。法律や命令が憲法に違反していないかを審査する違憲立法審査権を持つ。,裁判所|違憲立法審査権|三権分立|最高裁判所,公民-政治,制度概念,,3
違憲立法審査権,いけんりっぽうしんさけん,法律が憲法に違反していないか審査する権限,違憲立法審査権は法律や命令が憲法に違反していないかを審査する権限。最高裁判所を頂点とするすべての裁判所が持つ。最高裁判所は「憲法の番人」と呼ばれる。,最高裁判所|憲法の番人|司法権|三権分立,公民-政治,制度概念,,3
裁判員制度,さいばんいんせいど,国民が刑事裁判に参加する制度,裁判員制度は2009年に始まった国民が刑事裁判に参加する制度。重大な刑事事件で、裁判官3人と裁判員6人(国民から選ばれる)が一緒に有罪・無罪や刑の重さを決める。,国民参加|刑事裁判|2009年|司法,公民-政治,制度概念,,3
地方自治,ちほうじち,地方公共団体が自主的に政治を行うこと,地方自治は都道府県や市区町村が国から独立して自主的に政治を行うこと。「民主主義の学校」と呼ばれる。首長と議会議員は住民が直接選挙で選ぶ。,地方公共団体|首長|地方議会|住民自治,公民-政治,制度概念,,3
