語句,発音（カタカナ）,和訳,語源等解説や覚え方（日本語）,関連語（英語）と意味（日本語）,関連分野（日本語）,難易度
keep up,Keep Up,保つ/持ち続ける 上へ,keep + up の結合でできる慣用表現。動作の完了,keep:保つ/持ち続ける,日常,2
keep down,Keep Down,保つ/持ち続ける 下へ,keep + down の結合でできる慣用表現。動作の停止・解除,keep:保つ/持ち続ける,日常,2
keep on,Keep On,保つ/持ち続ける ～の上に/作動,keep + on の結合でできる慣用表現。作動や継続を示す,keep:保つ/持ち続ける,日常,2
keep off,Keep Off,保つ/持ち続ける ～から離れて/停止,keep + off の結合でできる慣用表現。停止や除去を示す,keep:保つ/持ち続ける,日常,2
keep in,Keep In,保つ/持ち続ける 中に,keep + in の結合でできる慣用表現。内への動作,keep:保つ/持ち続ける,日常,2
keep out,Keep Out,保つ/持ち続ける 外へ,keep + out の結合でできる慣用表現。外への動作,keep:保つ/持ち続ける,日常,2
keep back,Keep Back,保つ/持ち続ける 戻る,keep + back の結合でできる慣用表現。復帰・逆戻り,keep:保つ/持ち続ける,日常,2
keep away,Keep Away,保つ/持ち続ける 離れて,keep + away の結合でできる慣用表現。離脱を示す,keep:保つ/持ち続ける,日常,2
keep over,Keep Over,保つ/持ち続ける 越えて/再度,keep + over の結合でできる慣用表現。完了や繰り返し,keep:保つ/持ち続ける,日常,2
keep about,Keep About,保つ/持ち続ける 約/～について,keep + about の結合でできる慣用表現。おおよその意や話題,keep:保つ/持ち続ける,日常,2
keep after,Keep After,保つ/持ち続ける 後に/世話,keep + after の結合でできる慣用表現。時の後続や世話を表す,keep:保つ/持ち続ける,日常,2
keep for,Keep For,保つ/持ち続ける ～のために/目的,keep + for の結合でできる慣用表現。目的を示す,keep:保つ/持ち続ける,日常,2
keep with,Keep With,保つ/持ち続ける ～と一緒に,keep + with の結合でできる慣用表現。同行や付帯,keep:保つ/持ち続ける,日常,2
keep into,Keep Into,保つ/持ち続ける ～の中へ,keep + into の結合でできる慣用表現。内部への移動,keep:保つ/持ち続ける,日常,2
keep through,Keep Through,保つ/持ち続ける 通して,keep + through の結合でできる慣用表現。貫通・通過,keep:保つ/持ち続ける,日常,2
keep away from,Keep Away From,保つ/持ち続ける ～から離れて,keep + away from の結合でできる慣用表現。起点からの離脱,keep:保つ/持ち続ける,日常,2
keep around,Keep Around,保つ/持ち続ける 周りに/だいたい,keep + around の結合でできる慣用表現。周辺やおおむね,keep:保つ/持ち続ける,日常,2
keep across,Keep Across,保つ/持ち続ける 横切って,keep + across の結合でできる慣用表現。横断,keep:保つ/持ち続ける,日常,2
keep along,Keep Along,保つ/持ち続ける 沿って,keep + along の結合でできる慣用表現。沿って移動,keep:保つ/持ち続ける,日常,2
keep throughout,Keep Throughout,保つ/持ち続ける 全体に,keep + throughout の結合でできる慣用表現。全域を通じて,keep:保つ/持ち続ける,日常,2
make up,Make Up,作る 上へ,make + up の結合でできる慣用表現。動作の完了,make:作る,日常,2
make down,Make Down,作る 下へ,make + down の結合でできる慣用表現。動作の停止・解除,make:作る,日常,2
make on,Make On,作る ～の上に/作動,make + on の結合でできる慣用表現。作動や継続を示す,make:作る,日常,2
make off,Make Off,作る ～から離れて/停止,make + off の結合でできる慣用表現。停止や除去を示す,make:作る,日常,2
make in,Make In,作る 中に,make + in の結合でできる慣用表現。内への動作,make:作る,日常,2
make out,Make Out,作る 外へ,make + out の結合でできる慣用表現。外への動作,make:作る,日常,2
make back,Make Back,作る 戻る,make + back の結合でできる慣用表現。復帰・逆戻り,make:作る,日常,2
make away,Make Away,作る 離れて,make + away の結合でできる慣用表現。離脱を示す,make:作る,日常,2
make over,Make Over,作る 越えて/再度,make + over の結合でできる慣用表現。完了や繰り返し,make:作る,日常,2
make about,Make About,作る 約/～について,make + about の結合でできる慣用表現。おおよその意や話題,make:作る,日常,2
make after,Make After,作る 後に/世話,make + after の結合でできる慣用表現。時の後続や世話を表す,make:作る,日常,2
make for,Make For,作る ～のために/目的,make + for の結合でできる慣用表現。目的を示す,make:作る,日常,2
make with,Make With,作る ～と一緒に,make + with の結合でできる慣用表現。同行や付帯,make:作る,日常,2
make into,Make Into,作る ～の中へ,make + into の結合でできる慣用表現。内部への移動,make:作る,日常,2
make through,Make Through,作る 通して,make + through の結合でできる慣用表現。貫通・通過,make:作る,日常,2
make away from,Make Away From,作る ～から離れて,make + away from の結合でできる慣用表現。起点からの離脱,make:作る,日常,2
