語句,読み,意味,語源等解説,関連語,関連分野,難易度
I have 4 keys.,I have 4 keys.,会話表現: I have 4 keys. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 4 towels.,I have 4 towels.,会話表現: I have 4 towels. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 4 forks.,I have 4 forks.,会話表現: I have 4 forks. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 4 spoons.,I have 4 spoons.,会話表現: I have 4 spoons. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 4 knifes.,I have 4 knifes.,会話表現: I have 4 knifes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 4 bags.,I have 4 bags.,会話表現: I have 4 bags. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 4 postcards.,I have 4 postcards.,会話表現: I have 4 postcards. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 5 tickets.,I have 5 tickets.,会話表現: I have 5 tickets. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 5 bottle of waters.,I have 5 bottle オブ waters.,会話表現: I have 5 bottle of waters. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 5 cup of coffees.,I have 5 cup オブ coffees.,会話表現: I have 5 cup of coffees. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 5 slice of pizzas.,I have 5 slice オブ pizzas.,会話表現: I have 5 slice of pizzas. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 5 piece of cakes.,I have 5 piece オブ cakes.,会話表現: I have 5 piece of cakes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 5 rooms.,I have 5 rooms.,会話表現: I have 5 rooms. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 5 keys.,I have 5 keys.,会話表現: I have 5 keys. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 5 towels.,I have 5 towels.,会話表現: I have 5 towels. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 5 forks.,I have 5 forks.,会話表現: I have 5 forks. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 5 spoons.,I have 5 spoons.,会話表現: I have 5 spoons. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 5 knifes.,I have 5 knifes.,会話表現: I have 5 knifes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 5 bags.,I have 5 bags.,会話表現: I have 5 bags. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 5 postcards.,I have 5 postcards.,会話表現: I have 5 postcards. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 6 tickets.,I have 6 tickets.,会話表現: I have 6 tickets. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 6 bottle of waters.,I have 6 bottle オブ waters.,会話表現: I have 6 bottle of waters. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 6 cup of coffees.,I have 6 cup オブ coffees.,会話表現: I have 6 cup of coffees. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 6 slice of pizzas.,I have 6 slice オブ pizzas.,会話表現: I have 6 slice of pizzas. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 6 piece of cakes.,I have 6 piece オブ cakes.,会話表現: I have 6 piece of cakes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 6 rooms.,I have 6 rooms.,会話表現: I have 6 rooms. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 6 keys.,I have 6 keys.,会話表現: I have 6 keys. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 6 towels.,I have 6 towels.,会話表現: I have 6 towels. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 6 forks.,I have 6 forks.,会話表現: I have 6 forks. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 6 spoons.,I have 6 spoons.,会話表現: I have 6 spoons. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 6 knifes.,I have 6 knifes.,会話表現: I have 6 knifes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 6 bags.,I have 6 bags.,会話表現: I have 6 bags. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 6 postcards.,I have 6 postcards.,会話表現: I have 6 postcards. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 7 tickets.,I have 7 tickets.,会話表現: I have 7 tickets. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 7 bottle of waters.,I have 7 bottle オブ waters.,会話表現: I have 7 bottle of waters. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 7 cup of coffees.,I have 7 cup オブ coffees.,会話表現: I have 7 cup of coffees. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 7 slice of pizzas.,I have 7 slice オブ pizzas.,会話表現: I have 7 slice of pizzas. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 7 piece of cakes.,I have 7 piece オブ cakes.,会話表現: I have 7 piece of cakes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 7 rooms.,I have 7 rooms.,会話表現: I have 7 rooms. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 7 keys.,I have 7 keys.,会話表現: I have 7 keys. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 7 towels.,I have 7 towels.,会話表現: I have 7 towels. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 7 forks.,I have 7 forks.,会話表現: I have 7 forks. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 7 spoons.,I have 7 spoons.,会話表現: I have 7 spoons. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 7 knifes.,I have 7 knifes.,会話表現: I have 7 knifes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 7 bags.,I have 7 bags.,会話表現: I have 7 bags. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 7 postcards.,I have 7 postcards.,会話表現: I have 7 postcards. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 8 tickets.,I have 8 tickets.,会話表現: I have 8 tickets. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 8 bottle of waters.,I have 8 bottle オブ waters.,会話表現: I have 8 bottle of waters. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 8 cup of coffees.,I have 8 cup オブ coffees.,会話表現: I have 8 cup of coffees. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 8 slice of pizzas.,I have 8 slice オブ pizzas.,会話表現: I have 8 slice of pizzas. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 8 piece of cakes.,I have 8 piece オブ cakes.,会話表現: I have 8 piece of cakes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 8 rooms.,I have 8 rooms.,会話表現: I have 8 rooms. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 8 keys.,I have 8 keys.,会話表現: I have 8 keys. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 8 towels.,I have 8 towels.,会話表現: I have 8 towels. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 8 forks.,I have 8 forks.,会話表現: I have 8 forks. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 8 spoons.,I have 8 spoons.,会話表現: I have 8 spoons. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 8 knifes.,I have 8 knifes.,会話表現: I have 8 knifes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 8 bags.,I have 8 bags.,会話表現: I have 8 bags. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 8 postcards.,I have 8 postcards.,会話表現: I have 8 postcards. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 9 tickets.,I have 9 tickets.,会話表現: I have 9 tickets. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 9 bottle of waters.,I have 9 bottle オブ waters.,会話表現: I have 9 bottle of waters. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 9 cup of coffees.,I have 9 cup オブ coffees.,会話表現: I have 9 cup of coffees. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 9 slice of pizzas.,I have 9 slice オブ pizzas.,会話表現: I have 9 slice of pizzas. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 9 piece of cakes.,I have 9 piece オブ cakes.,会話表現: I have 9 piece of cakes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 9 rooms.,I have 9 rooms.,会話表現: I have 9 rooms. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 9 keys.,I have 9 keys.,会話表現: I have 9 keys. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 9 towels.,I have 9 towels.,会話表現: I have 9 towels. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 9 forks.,I have 9 forks.,会話表現: I have 9 forks. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 9 spoons.,I have 9 spoons.,会話表現: I have 9 spoons. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 9 knifes.,I have 9 knifes.,会話表現: I have 9 knifes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 9 bags.,I have 9 bags.,会話表現: I have 9 bags. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 9 postcards.,I have 9 postcards.,会話表現: I have 9 postcards. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 10 tickets.,I have 10 tickets.,会話表現: I have 10 tickets. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 10 bottle of waters.,I have 10 bottle オブ waters.,会話表現: I have 10 bottle of waters. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 10 cup of coffees.,I have 10 cup オブ coffees.,会話表現: I have 10 cup of coffees. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 10 slice of pizzas.,I have 10 slice オブ pizzas.,会話表現: I have 10 slice of pizzas? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 10 piece of cakes.,I have 10 piece オブ cakes.,会話表現: I have 10 piece of cakes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 10 rooms.,I have 10 rooms.,会話表現: I have 10 rooms. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 10 keys.,I have 10 keys.,会話表現: I have 10 keys. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 10 towels.,I have 10 towels.,会話表現: I have 10 towels. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 10 forks.,I have 10 forks.,会話表現: I have 10 forks. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 10 spoons.,I have 10 spoons.,会話表現: I have 10 spoons. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 10 knifes.,I have 10 knifes.,会話表現: I have 10 knifes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 10 bags.,I have 10 bags.,会話表現: I have 10 bags. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 10 postcards.,I have 10 postcards.,会話表現: I have 10 postcards. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a ATM near here?,Is there a ATM near here?,会話表現: Is there a ATM near here? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a pharmacy near here?,Is there a pharmacy near here?,会話表現: Is there a pharmacy near here? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a bakery near here?,Is there a bakery near here?,会話表現: Is there a bakery near here? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a subway station near here?,Is there a subway ステーション near here?,会話表現: Is there a subway station near here? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a parking lot near here?,Is there a parking lot near here?,会話表現: Is there a parking lot near here? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a taxi stand near here?,Is there a taxi stand near here?,会話表現: Is there a taxi stand near here? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a bus stop near here?,Is there a バス stop near here?,会話表現: Is there a bus stop near here? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a convenience store near here?,Is there a convenience store near here?,会話表現: Is there a convenience store near here? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a supermarket near here?,Is there a supermarket near here?,会話表現: Is there a supermarket near here? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a park near here?,Is there a park near here?,会話表現: Is there a park near here? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a bank near here?,Is there a bank near here?,会話表現: Is there a bank near here? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a post office near here?,Is there a post office near here?,会話表現: Is there a post office near here? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a restroom near here?,Is there a restroom near here?,会話表現: Is there a restroom near here? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy a ticket?,Where can I buy a ticket?,会話表現: Where can I buy a ticket? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy a map?,Where can I buy a map?,会話表現: Where can I buy a map? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy a SIM card?,Where can I buy a SIM card?,会話表現: Where can I buy a SIM card? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy an adapter?,Where can I buy an adapter?,会話表現: Where can I buy an adapter? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy an umbrella?,Where can I buy an umbrella?,会話表現: Where can I buy an umbrella? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy a souvenir?,Where can I buy a souvenir?,会話表現: Where can I buy a souvenir? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy some water?,Where can I buy some water?,会話表現: Where can I buy some water? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy a postcard?,Where can I buy a postcard?,会話表現: Where can I buy a postcard? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy stamps?,Where can I buy stamps?,会話表現: Where can I buy stamps? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy a charger?,Where can I buy a charger?,会話表現: Where can I buy a charger? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy medicine?,Where can I buy medicine?,会話表現: Where can I buy medicine? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy a train pass?,Where can I buy a トレイン pass?,会話表現: Where can I buy a train pass? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy a bus ticket?,Where can I buy a バス ticket?,会話表現: Where can I buy a bus ticket? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy a room?,Where can I buy a room?,会話表現: Where can I buy a room? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy a table?,Where can I buy a table?,会話表現: Where can I buy a table? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy a taxi?,Where can I buy a taxi?,会話表現: Where can I buy a taxi? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy my ticket?,Where can I buy my ticket?,会話表現: Where can I buy my ticket? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy my seat?,Where can I buy my seat?,会話表現: Where can I buy my seat? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where can I buy my bag?,Where can I buy my bag?,会話表現: Where can I buy my bag? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Hello,ハロー,こんにちは,挨拶の基本表現。世界共通の挨拶語。,Hi;Good morning;Good afternoon,挨拶;日常生活,1
Hi,ハイ,やあ・こんにちは,カジュアルな挨拶表現。,Hello;Hey;What's up,挨拶;日常生活,1
Good morning,グッド モーニング,おはよう（ございます）,午前中の挨拶。formal/informalで使い分け。,Hello;Hi;Morning,挨拶;日常生活,1
Good afternoon,グッド アフタヌーン,こんにちは,午後の挨拶。12時以降に使用。,Hello;Hi;Afternoon,挨拶;日常生活,1
Good evening,グッド イブニング,こんばんは,夕方以降の挨拶。6時頃から使用。,Hello;Hi;Evening,挨拶;日常生活,1
Good night,グッド ナイト,おやすみなさい,就寝時の挨拶。別れ際に使用。,Sleep well;Sweet dreams,挨拶;日常生活,1
Nice to meet you,ナイス トゥ ミート ユー,はじめまして,初対面の挨拶。自己紹介時の定型句。,Pleased to meet you;Great to meet you,挨拶;自己紹介,1
How are you?,ハウ アー ユー,元気ですか？,相手の調子を尋ねる基本表現。,How's it going;How do you do,挨拶;日常生活,1
I'm fine,アイム ファイン,元気です,How are you?への返答。,I'm good;I'm okay;I'm well,挨拶;日常生活,1
Thank you,サンキュー,ありがとう,感謝の基本表現。,Thanks;Thank you very much,感謝;日常生活,1
Thanks,サンクス,ありがとう,カジュアルな感謝表現。,Thank you;Cheers,感謝;日常生活,1
You're welcome,ユア ウェルカム,どういたしまして,Thank youへの返答。,No problem;My pleasure,感謝;日常生活,1
Excuse me,エクスキューズ ミー,すみません,注意を引く時や謝罪時に使用。,Sorry;Pardon me,謝罪;日常生活,1
I'm sorry,アイム ソーリー,ごめんなさい,謝罪の基本表現。,Sorry;My apologies,謝罪;日常生活,1
What's your name?,ワッツ ユア ネーム,お名前は何ですか？,名前を尋ねる基本表現。,May I have your name,自己紹介;日常生活,1
My name is...,マイ ネーム イズ,私の名前は...です,自己紹介の基本表現。,I'm...;I am...,自己紹介;日常生活,1
Where are you from?,ウェア アー ユー フロム,どちらの出身ですか？,出身地を尋ねる表現。,Where do you come from,自己紹介;日常生活,1
I'm from Japan,アイム フロム ジャパン,日本出身です,出身地を答える表現。,I come from Japan,自己紹介;日常生活,1
How old are you?,ハウ オールド アー ユー,何歳ですか？,年齢を尋ねる表現。,What's your age,自己紹介;日常生活,1
I'm ... years old,アイム ... イヤーズ オールド,私は...歳です,年齢を答える表現。,I am ... years old,自己紹介;日常生活,1
What do you do?,ワット ドゥ ユー ドゥ,お仕事は何ですか?,職業を尋ねる表現。,What's your job,自己紹介;仕事,1
I'm a student,アイム ア ステューデント,学生です,職業を答える表現。,I am a student,自己紹介;学校,1
I'm a teacher,アイム ア ティーチャー,教師です,職業を答える表現。,I am a teacher,自己紹介;仕事,1
What time is it now?,ワット タイム イズ イット ナウ,今何時ですか？,現在時刻を尋ねる表現。,What's the time,時間;日常生活,1
It's three o'clock,イッツ スリー オクロック,3時です,時刻を答える表現。,It is three o'clock,時間;日常生活,1
What day is it today?,ワット デイ イズ イット トゥデイ,今日は何曜日ですか？,曜日を尋ねる表現。,What day is today,時間;日常生活,1
Today is Monday,トゥデイ イズ マンデイ,今日は月曜日です,曜日を答える表現。,It's Monday today,時間;日常生活,1
What's the weather like?,ワッツ ザ ウェザー ライク,天気はどうですか？,天気を尋ねる表現。,How's the weather,天気;日常生活,1
It's sunny,イッツ サニー,晴れです,天気を答える表現。,It's a sunny day,天気;日常生活,1
It's rainy,イッツ レイニー,雨です,天気を答える表現。,It's raining,天気;日常生活,1
It's cloudy,イッツ クラウディー,曇りです,天気を答える表現。,It's overcast,天気;日常生活,1
What's your hobby?,ワッツ ユア ホビー,趣味は何ですか？,趣味を尋ねる表現。,What do you like to do,趣味;日常生活,1
I like reading,アイ ライク リーディング,読書が好きです,趣味を答える表現。,I enjoy reading,趣味;日常生活,1
I like music,アイ ライク ミュージック,音楽が好きです,趣味を答える表現。,I love music,趣味;日常生活,1
I like sports,アイ ライク スポーツ,スポーツが好きです,趣味を答える表現。,I enjoy sports,趣味;日常生活,1
Do you like pizza?,ドゥ ユー ライク ピザ,ピザは好きですか？,好みを尋ねる表現。,Do you enjoy pizza,食事;日常生活,1
Yes I do,イエス アイ ドゥ,はい好きです,Yes/No質問への肯定的返答。,Yes I like it,返事;日常生活,1
No I don't,ノー アイ ドント,いいえ好きではありません,Yes/No質問への否定的返答。,No I don't like it,返事;日常生活,1
Can you speak English?,キャン ユー スピーク イングリッシュ,英語を話せますか？,能力を尋ねる表現。,Do you speak English,言語;コミュニケーション,1
Yes I can,イエス アイ キャン,はい話せます,能力に関する肯定的返答。,Yes I do,返事;言語,1
A little bit,ア リトル ビット,少しだけ,程度を表す表現。,A little;Just a little,程度;日常生活,1
I don't understand,アイ ドント アンダースタンド,分かりません,理解できない時の表現。,I don't get it,コミュニケーション;学習,1
Please speak slowly,プリーズ スピーク スローリー,ゆっくり話してください,お願いする表現。,Could you speak slowly,お願い;コミュニケーション,1
Could you repeat that?,クッド ユー リピート ザット,もう一度言ってもらえますか？,聞き返す表現。,Can you say that again,お願い;コミュニケーション,1
I'm hungry,アイム ハングリー,お腹がすきました,空腹を表す表現。,I feel hungry,感情;身体状態,1
I'm thirsty,アイム サースティー,のどが渇きました,渇きを表す表現。,I feel thirsty,感情;身体状態,1
I'm tired,アイム タイアード,疲れました,疲労を表す表現。,I feel tired,感情;身体状態,1
I'm sleepy,アイム スリーピー,眠いです,眠気を表す表現。,I feel sleepy,感情;身体状態,1
I'm happy,アイム ハッピー,うれしいです,喜びを表す表現。,I feel happy,感情;気持ち,1
I'm sad,アイム サッド,悲しいです,悲しみを表す表現。,I feel sad,感情;気持ち,1
What would you like to drink?,ワット ウッド ユー ライク トゥ ドリンク,何をお飲みになりますか？,飲み物の注文を取る表現。,What can I get you to drink,レストラン;接客,1
I'd like some water,アイド ライク サム ウォーター,お水をお願いします,飲み物を注文する表現。,I'll have some water,レストラン;注文,1
What's this?,ワッツ ディス,これは何ですか？,物について尋ねる表現。,What is this,質問;日常生活,1
This is a pen,ディス イズ ア ペン,これはペンです,物について答える表現。,It's a pen,返事;日常生活,1
Where is my bag?,ウェア イズ マイ バッグ,私のカバンはどこですか？,所在を尋ねる表現。,Where's my bag,質問;日常生活,1
It's on the table,イッツ オン ザ テーブル,テーブルの上にあります,所在を答える表現。,It's on top of the table,返事;日常生活,1
How much does it cost?,ハウ マッチ ダズ イット コスト,いくらですか？,値段を尋ねる表現。,How much is it,買い物;お金,1
It costs ten dollars,イット コスツ テン ダラーズ,10ドルです,値段を答える表現。,It's ten dollars,返事;お金,1
Can I have the bill?,キャン アイ ハブ ザ ビル,お会計をお願いします,支払いを求める表現。,Could I get the check,レストラン;支払い,1
Here you are,ヒア ユー アー,はいどうぞ,物を渡す時の表現。,Here you go,接客;日常生活,1
May I help you?,メイ アイ ヘルプ ユー,いらっしゃいませ,店での接客表現。,Can I help you,接客;買い物,1
I'm just looking,アイム ジャスト ルッキング,見ているだけです,買い物での返答。,Just browsing,買い物;返事,1
Do you have this in large?,ドゥ ユー ハブ ディス イン ラージ,これのLサイズはありますか？,サイズを尋ねる表現。,Is this available in large,買い物;サイズ,1
I'll take it,アイル テイク イット,これにします,購入を決める表現。,I'll buy it,買い物;決定,1
Where's the nearest station?,ウェアズ ザ ニアレスト ステーション,最寄りの駅はどこですか？,道を尋ねる表現。,Where is the closest station,道案内;交通,1
Go straight,ゴー ストレート,まっすぐ行ってください,道案内の表現。,Walk straight,道案内;方向,1
Turn right,ターン ライト,右に曲がってください,道案内の表現。,Go right,道案内;方向,1
Turn left,ターン レフト,左に曲がってください,道案内の表現。,Go left,道案内;方向,1
It's next to the bank,イッツ ネクスト トゥ ザ バンク,銀行の隣です,場所を説明する表現。,It's beside the bank,道案内;場所,1
Have a nice day,ハブ ア ナイス デイ,良い一日を,別れ際の挨拶。,Have a good day,挨拶;別れ,1
See you later,シー ユー レイター,また後で,別れ際の挨拶。,See you soon,挨拶;別れ,1
See you tomorrow,シー ユー トゥモロー,また明日,別れ際の挨拶。,See you next time,挨拶;別れ,1
Take care,テイク ケア,気をつけて,別れ際の挨拶。,Be careful,挨拶;別れ,1
I have to go,アイ ハブ トゥ ゴー,行かなければなりません,退席する時の表現。,I need to leave,別れ;退席,1
It was nice meeting you,イット ワズ ナイス ミーティング ユー,お会いできて良かったです,別れ際の挨拶。,Nice meeting you,挨拶;別れ,1
What's wrong?,ワッツ ロング,どうしたのですか？,心配を示す表現。,What's the matter,心配;コミュニケーション,1
Are you okay?,アー ユー オーケー,大丈夫ですか？,相手を気遣う表現。,Are you all right,心配;気遣い,1
I'm okay,アイム オーケー,大丈夫です,安心させる返答。,I'm fine,返事;安心,1
Don't worry,ドント ワーリー,心配しないで,相手を安心させる表現。,No worries,安心;励まし,1
Good luck,グッド ラック,頑張って,応援する表現。,Best of luck,励まし;応援,1
Congratulations,コングラチュレーションズ,おめでとう,祝福の表現。,Congrats,祝福;お祝い,1
Happy birthday,ハッピー バースデー,お誕生日おめでとう,誕生日の祝福。,Many happy returns,祝福;誕生日,1
Merry Christmas,メリー クリスマス,メリークリスマス,クリスマスの挨拶。,Happy Christmas,祝福;クリスマス,1
Happy New Year,ハッピー ニュー イヤー,あけましておめでとう,新年の挨拶。,Best wishes for the new year,祝福;新年,1
I'm looking for...,アイム ルッキング フォー,…を探しています,何かを探している表現。,I'm searching for,買い物;探し物,1
