語句,読み,意味,解説,関連事項,例文1,例文2
給ふ,たまう,尊敬・謙譲の補助動詞,「給ふ」は最重要の敬語動詞。本動詞では「与える」「お与えになる」の意。補助動詞として動詞の連用形に付き、尊敬語「〜なさる」または謙譲語「〜申し上げる」の意。主語によって意味が変わる。文脈判断が必須。,敬語|尊敬|謙譲|補助動詞|多義|時代:平安時代|種別:古文重要動詞,つれづれなるままに、日暮らし硯に向かひて（たまう）＜退屈なので、硯に向かって書きつける。＞【徒然草】,少しのことにも先達はあらまほしきことなり（たまう）＜些細なことでも、先に知っている人がいてほしいものだ。＞【徒然草】
奉る,たてまつる,謙譲語・差し上げる,「奉る」は謙譲語の代表的動詞。本動詞では「差し上げる」「献上する」の意。補助動詞として動詞の連用形に付き「〜申し上げる」の意。必ず謙譲の意味。「手紙を奉る」「申し奉る」などの形で頻出。,謙譲語|差し上げる|献上|補助動詞|時代:平安時代|種別:古文重要動詞,春はあけぼの。（たてまつる）＜春は夜明けがよい。＞【枕草子】,世の中にたえて桜のなかりせば、春の心はのどけからまし（たてまつる）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】
聞こゆ,きこゆ,謙譲語・申し上げる,「聞こゆ」は謙譲語の重要動詞。本動詞では「申し上げる」「お聞かせする」の意。補助動詞として動詞の連用形に付き「〜申し上げる」の意。「奉る」より丁寧度が低い。「言ひ聞こゆ」「見え聞こゆ」の形。,謙譲語|申し上げる|補助動詞|丁寧度|時代:平安時代|種別:古文重要動詞,祇園精舎の鐘の声、諸行無常の響きあり。（きこゆ）＜この世は無常である。＞【平家物語】,一事を必ず成さんと思はば、他の事の破るるをも傷むべからず（きこゆ）＜一つの事を必ずやり遂げようと思うなら、他の事がだめになるのも惜しんではならない。＞【徒然草】
申す,もうす,謙譲語・申す,「申す」は謙譲語の基本動詞。「言ふ」の謙譲語で「申す」「申し上げる」の意。「申し給ふ」で複合敬語になる。「かく申す」「名を申す」などの形で頻出。現代語にも継承された語。,謙譲語|申す|申し上げる|言ふの謙譲|時代:平安時代|種別:古文重要動詞,月やあらぬ、春や昔の春ならぬ、我が身ひとつはもとの身にして（もうす）＜月は同じでも春は昔の春ではない。私だけが昔のままの私でいる。＞【伊勢物語】,祇園精舎の鐘の声、諸行無常の響きあり。（もうす）＜この世は無常である。＞【平家物語】
参る,まいる,謙譲語・参上する,「参る」は謙譲語の動詞。本動詞では「参上する」「伺う」の意。「行く」「来」の謙譲語。補助動詞として「〜申し上げる」の意もある。「参り給ふ」で複合敬語。「宮に参る」などの形。,謙譲語|参上|行くの謙譲|来の謙譲|時代:平安時代|種別:古文重要動詞,花は盛りに、月は隈なきをのみ、見るものかは（まいる）＜花は満開の時だけ、月は雲のない時だけを見るものだろうか。いや、そうではない。＞【徒然草】,冬はつとめて。（まいる）＜冬は早朝がよい。＞【枕草子】
侍り,はべり,丁寧語・ございます,「侍り」は丁寧語の代表的動詞。「〜ございます」「〜です」の意。ラ変動詞。「あり」の丁寧語。補助動詞として動詞の連用形に付き丁寧の意を表す。「侍り」は主に男性が使用。,丁寧語|ございます|ラ変|補助動詞|時代:平安時代|種別:古文重要動詞,月日は百代の過客にして（はべり）＜月日も年も旅人のように過ぎていく。＞【奥の細道】,つれづれなるままに、日暮らし、硯にむかひて（はべり）＜退屈なので、硯に向かって書きつける。＞【徒然草】
候ふ,そうろう,丁寧語・ございます,「候ふ」は丁寧語の動詞。「侍り」と同じく「〜ございます」の意。ハ行四段活用。中世以降に頻出。「さぶらふ」とも読む。武士の言葉として発達。「候へば」「候ひき」などの形。,丁寧語|ございます|中世|武士言葉|時代:鎌倉時代以降|種別:古文重要動詞,一事を必ず成さんと思はば、他の事の破るるをも傷むべからず（そうろう）＜一つの事を必ずやり遂げようと思うなら、他の事がだめになるのも惜しんではならない。＞【徒然草】,高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに（そうろう）＜危険は油断した時に起こる。＞【徒然草】
おはす,おわす,尊敬語・いらっしゃる,「おはす」は尊敬語の重要動詞。「あり」「ゐる」「行く」「来」の尊敬語で「いらっしゃる」「おいでになる」の意。サ行変格活用。「おはします」がより高い敬意。「御前におはす」などの形。,尊敬語|いらっしゃる|サ変|高敬語|時代:平安時代|種別:古文重要動詞,花は盛りに、月は隈なきをのみ、見るものかは（おわす）＜花は満開の時だけ、月は雲のない時だけを見るものだろうか。いや、そうではない。＞【徒然草】,冬はつとめて。（おわす）＜冬は早朝がよい。＞【枕草子】
おはします,おわします,最高敬語・いらっしゃる,「おはします」は最高敬語の動詞。「おはす」に尊敬の助動詞「ます」が付いた形。天皇や皇族など最高位の人物に使用。「いらっしゃる」の最高敬語。「御所におはします」の形。,最高敬語|天皇|皇族|複合敬語|時代:平安時代|種別:古文重要動詞,男もすなる日記といふものを、女もしてみむとて、するなり（おわします）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】,つれづれなるままに（おわします）＜退屈なので、硯に向かって書きつける。＞【徒然草】
のたまふ,のたまう,尊敬語・おっしゃる,「のたまふ」は尊敬語の重要動詞。「言ふ」の尊敬語で「おっしゃる」「仰せになる」の意。ハ行四段活用。「のたまはく」で名詞句を作る。「かくのたまふ」「のたまひける」などの形で頻出。,尊敬語|おっしゃる|言ふの尊敬|仰せ|時代:平安時代|種別:古文重要動詞,奥山に、猫またといふものありて、人を食ふなる（のたまう）＜奥深い山には猫またというものがいて、人を食うという。＞【徒然草】,やうやう白くなりゆく山ぎは（のたまう）＜だんだんと白くなっていく山際、夜明けの山の端。＞【枕草子】
〜給ふ,〜たまう,尊敬の補助動詞,補助動詞「給ふ」は動詞の連用形に付いて尊敬を表す。「〜なさる」「〜される」の意。「見給ふ」「聞き給ふ」「思ひ給ふ」など。文脈で尊敬か謙譲かを判断。動作の主体が高貴な人物なら尊敬。,尊敬|補助動詞|接続|判断|時代:平安時代|種別:古文重要動詞,つれづれなるままに（〜たまう）＜退屈なので、硯に向かって書きつける。＞【徒然草】,仁和寺にある法師、年寄るまで、石清水を拝まざりければ（〜たまう）＜行き先を勘違いして失敗する話。＞【徒然草】
〜奉る,〜たてまつる,謙譲の補助動詞,補助動詞「奉る」は動詞の連用形に付いて謙譲を表す。「〜申し上げる」の意。「見奉る」「聞き奉る」「申し奉る」など。必ず謙譲の意味で使用。動作の対象が高貴な人物。,謙譲|補助動詞|申し上げる|対象|時代:平安時代|種別:古文重要動詞,一つには、高く、やんごとなき人（〜たてまつる）＜一つ目は、身分が高く、たいへん高貴な人。＞【徒然草】,花は盛りに、月は隈なきをのみ、見るものかは（〜たてまつる）＜花は満開の時だけ、月は雲のない時だけを見るものだろうか。いや、そうではない。＞【徒然草】
〜聞こゆ,〜きこゆ,謙譲の補助動詞,補助動詞「聞こゆ」は動詞の連用形に付いて謙譲を表す。「〜申し上げる」の意。「奉る」より丁寧度が低い。「見え聞こゆ」「言ひ聞こゆ」など。「お聞かせする」の意もある。,謙譲|補助動詞|丁寧度低|お聞かせする|時代:平安時代|種別:古文重要動詞,秋は夕暮れ。（〜きこゆ）＜秋は夕暮れがよい。＞【枕草子】,男もすなる日記といふものを、女もしてみむとて、するなり（〜きこゆ）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】
〜侍り,〜はべり,丁寧の補助動詞,補助動詞「侍り」は動詞の連用形に付いて丁寧を表す。「〜ございます」の意。「あり侍り」「候侍り」など。男性語として使用される。会話文に頻出。,丁寧|補助動詞|男性語|会話|時代:平安時代|種別:古文重要動詞,つれづれなるままに、日暮らし、硯にむかひて、心にうつりゆくよしなし事を、そこはかとなく書きつくれば、あやしうこそものぐるほしけれ。（〜はべり）＜退屈なので、硯に向かって書きつける。＞【徒然草】,奥山に、猫またといふものありて、人を食ふなる（〜はべり）＜奥深い山には猫またというものがいて、人を食うという。＞【徒然草】
〜候ふ,〜そうろう,丁寧の補助動詞,補助動詞「候ふ」は動詞の連用形に付いて丁寧を表す。「〜ございます」の意。「あり候ふ」「侍り候ふ」など。中世以降の武家社会で発達。書簡文に頻出。,丁寧|補助動詞|武家|書簡|時代:鎌倉時代以降|種別:古文重要動詞,高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに（〜そうろう）＜危険は油断した時に起こる。＞【徒然草】,春はあけぼの（〜そうろう）＜春は夜明けがよい。＞【枕草子】
往ぬ,いぬ,行ってしまう・死ぬ,「往ぬ」は「行く」の強意形で「行ってしまう」「去る」の意。ナ行変格活用。完了・消滅のニュアンスを含む。「鳥も往ぬべし」などの形。「死ぬ」の意味もある。,行く|去る|死ぬ|ナ変|完了|時代:平安時代|種別:古文重要動詞,少しのことにも先達はあらまほしきことなり（いぬ）＜些細なことでも、先に知っている人がいてほしいものだ。＞【徒然草】,中納言参り給ひて、御扇奉らせ給ふに（いぬ）＜中納言が参上なさって、御扇を差し上げなさるときに。＞【枕草子】
率る,ゐる,連れて行く・引き連れる,「率る」は「連れて行く」「引き連れる」の意。上一段活用。「具す」と同義。人を伴う動作を表す。「子を率て行く」などの形。現代語「引率」の語源。,連れて行く|引き連れる|上一段|具す|時代:平安時代|種別:古文重要動詞,祇園精舎の鐘の声、諸行無常の響きあり（ゐる）＜この世は無常である。＞【平家物語】,一つには、高く、やんごとなき人（ゐる）＜一つ目は、身分が高く、たいへん高貴な人。＞【徒然草】
据う,すう,座らせる・置く,「据う」は「座らせる」「置く」「安置する」の意。ワ行下二段活用。「据ゑる」とも書く。物や人を定位置に配置する。「御座に据う」などの形。,座らせる|置く|下二段|据ゑる|時代:平安時代|種別:古文重要動詞,冬はつとめて。（すう）＜冬は早朝がよい。＞【枕草子】,今となっては昔のことだが（すう）＜今となってはもう昔の話だが。＞【今昔物語集】
具す,ぐす,連れて行く・備える,「具す」は「連れて行く」「備える」「揃える」の意。サ行変格活用。「率る」と同義だが硬い表現。「従者を具す」「武具を具す」などの形。,連れて行く|備える|サ変|率る|時代:平安時代|種別:古文重要動詞,春はあけぼの。（ぐす）＜春は夜明けがよい。＞【枕草子】,世の中にたえて桜のなかりせば、春の心はのどけからまし（ぐす）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】
消つ,けつ,消える・消滅する,「消つ」は「消える」「消滅する」の意。タ行下二段活用。「消ゆ」とも書く。火や音、人の姿などが消え去る様子。「煙消つ」「音消つ」などの形。,消える|消滅|下二段|消ゆ|時代:平安時代|種別:古文重要動詞,雪のいと高う降りたるを、例ならず御格子まゐりて、炭櫃に火おこして、物語などして集まりさぶらふに（けつ）＜雪がたいそう降ったので、いつもと違って御格子を上げ、炭びつに火をおこし、物語などしながら集まってお仕えしているときに。＞【枕草子】,月日は百代の過客にして（けつ）＜月日も年も旅人のように過ぎていく。＞【奥の細道】
寝,ぬ,寝る・お休みになる,「寝」は「寝る」「臥す」の意。ナ行下二段活用。「寝る」の古形。尊敬語として使うこともある。「御寝」で貴人の就寝。「寝ね給ふ」などの形。,寝る|臥す|下二段|尊敬可|時代:平安時代|種別:古文重要動詞,月日は百代の過客にして（ぬ）＜月日も年も旅人のように過ぎていく。＞【奥の細道】,つれづれなるままに、日暮らし、硯にむかひて（ぬ）＜退屈なので、硯に向かって書きつける。＞【徒然草】
御す,おす,召し上がる・お乗りになる,「御す」は「召し上がる」「お乗りになる」「召す」の意。サ行変格活用。「めす」とも読む。尊敬語。食事や乗り物に関する動作の尊敬表現。「物を御す」などの形。,召し上がる|お乗りになる|サ変|尊敬語|時代:平安時代|種別:古文重要動詞,友とするにわろき者、七つあり（おす）＜友にしてはいけない人が七種類いる。＞【徒然草】,うつくしきもの。（おす）＜かわいいものを列挙する。＞【枕草子】
あり,あり,ある・いる,「あり」は存在を表す基本動詞。「ある」「いる」「生きている」の意。ラ行変格活用。「侍り」「候ふ」の基となる語。「世にあり」「ありける」など頻出。多義的で文脈判断が重要。,ある|いる|存在|ラ変|基本|時代:平安時代|種別:古文重要動詞,男もすなる日記といふものを、女もしてみむとて、するなり（あり）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】,つれづれなるままに（あり）＜退屈なので、硯に向かって書きつける。＞【徒然草】
をり,おり,いる・座る,「をり」は「いる」「座る」の意。ラ行変格活用。「居り」と書く。「あり」より具体的な場所での存在を表す。「座す」の意味も。「そこをり」などの形。,いる|座る|ラ変|居り|時代:平安時代|種別:古文重要動詞,冬はつとめて。（おり）＜冬は早朝がよい。＞【枕草子】,今となっては昔のことだが（おり）＜今となってはもう昔の話だが。＞【今昔物語集】
あらはす,あらわす,現す・明らかにする,「あらはす」は「現す」「明らかにする」「顕す」の意。サ行四段活用。隠れていたものを見えるようにする。「理をあらはす」「姿をあらはす」などの形。真実を示す。,現す|明らかにする|四段|顕す|時代:平安時代|種別:古文重要動詞,月やあらぬ、春や昔の春ならぬ、我が身ひとつはもとの身にして（あらわす）＜月は同じでも春は昔の春ではない。私だけが昔のままの私でいる。＞【伊勢物語】,祇園精舎の鐘の声、諸行無常の響きあり。（あらわす）＜この世は無常である。＞【平家物語】
思ほす,おもおす,お思いになる・思召す,「思ほす」は「思ふ」の尊敬語で「お思いになる」「思召す」の意。サ行四段活用。貴人の思考を表す尊敬表現。「かく思ほす」「思ほし召す」などの形で頻出。,お思いになる|思召す|尊敬|四段|時代:平安時代|種別:古文重要動詞,春はあけぼの。（おもおす）＜春は夜明けがよい。＞【枕草子】,世の中にたえて桜のなかりせば、春の心はのどけからまし（おもおす）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】
忍ぶ,しのぶ,耐える・隠れる・人目を避ける,「忍ぶ」は「耐える」「隠れる」「我慢する」の意。バ行四段活用。秘密を守る、苦難に耐える、密かに行動する。「恋を忍ぶ」「忍びて行く」など。多義語。,耐える|隠れる|我慢|四段|多義|時代:平安時代|種別:古文重要動詞,秋は夕暮れ。（しのぶ）＜秋は夕暮れがよい。＞【枕草子】,男もすなる日記といふものを、女もしてみむとて、するなり（しのぶ）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】
やる,やる,送る・やる・追いやる,「やる」は「送る」「やる」「追いやる」の意。ラ行四段活用。「遣る」と書く。手紙や使者を送る。気持ちを晴らす。「文をやる」「心をやる」などの形。,送る|やる|追いやる|四段|遣る|時代:平安時代|種別:古文重要動詞,祇園精舎の鐘の声、諸行無常の響きあり。（やる）＜この世は無常である。＞【平家物語】,一事を必ず成さんと思はば、他の事の破るるをも傷むべからず（やる）＜一つの事を必ずやり遂げようと思うなら、他の事がだめになるのも惜しんではならない。＞【徒然草】
経,へ,過ぎる・経る・時が経つ,「経」は「過ぎる」「経る」の意。ハ行下二段活用。時間が経過する。場所を通り過ぎる。「年を経」「月日経ぬ」などの形。時の経過を表す重要語。,過ぎる|経る|時間|下二段|経過|時代:平安時代|種別:古文重要動詞,ゆく河の流れは絶えずして（へ）＜物事は常に移り変わる。＞【方丈記】,春はあけぼの。（へ）＜春は夜明けがよい。＞【枕草子】
果つ,はつ,終わる・死ぬ・やり遂げる,「果つ」は「終わる」「死ぬ」「やり遂げる」の意。タ行下二段活用。完結・完了を表す。命が尽きる意味も。「語り果つ」「果てぬ」などの形。,終わる|死ぬ|完了|下二段|完結|時代:平安時代|種別:古文重要動詞,祇園精舎の鐘の声（はつ）＜この世は無常である。＞【平家物語】,つれづれなるままに、日暮らし硯に向かひて（はつ）＜退屈なので、硯に向かって書きつける。＞【徒然草】
飽く,あく,満足する・飽きる,「飽く」は「満足する」「飽きる」「十分になる」の意。カ行四段活用。欲求が満たされる。「見飽く」「聞き飽く」などの形。現代語とほぼ同じ用法。,満足|飽きる|四段|充足|時代:平安時代|種別:古文重要動詞,世の中にたえて桜のなかりせば、春の心はのどけからまし（あく）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】,あやふき時は言はで、やすき時に教へけり（あく）＜危ない時には言わず、安心な時にこそ教えたのだ。＞【徒然草】
堪ふ,たう,耐える・我慢する,「堪ふ」は「耐える」「我慢する」「こらえる」の意。ハ行下二段活用。苦痛や感情を抑える。否定形「堪へず」で「耐えられない」。「堪へかねて」などの形で頻出。,耐える|我慢|下二段|こらえる|時代:平安時代|種別:古文重要動詞,つれづれなるままに（たう）＜退屈なので、硯に向かって書きつける。＞【徒然草】,仁和寺にある法師、年寄るまで、石清水を拝まざりければ（たう）＜行き先を勘違いして失敗する話。＞【徒然草】
むつぶ,むつぶ,親しくする・仲良くする,「むつぶ」は「親しくする」「仲良くする」の意。バ行四段活用。「睦ぶ」と書く。人と親密な関係を持つ。「むつびかはす」「むつましく」などの形。,親しくする|仲良く|四段|睦ぶ|時代:平安時代|種別:古文重要動詞,祇園精舎の鐘の声（むつぶ）＜この世は無常である。＞【平家物語】,つれづれなるままに、日暮らし硯に向かひて（むつぶ）＜退屈なので、硯に向かって書きつける。＞【徒然草】
おこなふ,おこなう,修行する・仏道修行,「おこなふ」は「行う」「修行する」の意。ハ行四段活用。特に仏教の修行を指すことが多い。「法をおこなふ」「おこなひ澄ます」などの形。宗教的実践。,行う|修行|仏道|四段|宗教|時代:平安時代|種別:古文重要動詞,春はあけぼの（おこなう）＜春は夜明けがよい。＞【枕草子】,月やあらぬ、春や昔の春ならぬ、我が身ひとつはもとの身にして（おこなう）＜月は同じでも春は昔の春ではない。私だけが昔のままの私でいる。＞【伊勢物語】
いと,いと,非常に・とても,程度が著しいことを表す副詞。現代語の「とても」「非常に」に相当。「いと美し」「いとをかし」のように形容詞を修飾する最頻出副詞。『源氏物語』などで多用される。,副詞|程度|美しい|をかし|頻出|種別:古文単語,高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに（いと）＜危険は油断した時に起こる。＞【徒然草】,春はあけぼの（いと）＜春は夜明けがよい。＞【枕草子】
いみじ,いみじ,非常に・ひどく,程度が甚だしいことを表す形容詞。連用形「いみじう」「いみじく」が副詞的に使われる。良い意味にも悪い意味にも用いる。「いみじう泣く」「いみじき美人」。,形容詞|程度|甚だしい|連用形|副詞|時代:平安時代|種別:古文単語,ゆく河の流れは絶えずして（いみじ）＜物事は常に移り変わる。＞【方丈記】,春はあけぼの。（いみじ）＜春は夜明けがよい。＞【枕草子】
いとど,いとど,いっそう・ますます,程度が増すことを表す副詞。「さらにいとど」のように他の副詞と呼応することも。既にある状態がさらに増す意。「いとど心細し」。,副詞|程度|増加|心細し|呼応|種別:古文単語,世にしたがへば、身苦し。（いとど）＜世間に合わせて生きると、身が苦しくなる。＞【徒然草】,ゆく河の流れは絶えずして（いとど）＜物事は常に移り変わる。＞【方丈記】
さらに,さらに,全く〜ない（打消と呼応）,打消の語と呼応して「全く〜ない」「決して〜ない」の意を表す副詞。「さらに知らず」「さらになし」。打消と呼応しない場合は「改めて」「さっぱり」の意。,副詞|打消呼応|全く|決して|知らず|種別:古文単語,世の中にたえて桜のなかりせば、春の心はのどけからまし（さらに）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】,あやふき時は言はで、やすき時に教へけり（さらに）＜危ない時には言わず、安心な時にこそ教えたのだ。＞【徒然草】
つゆ,つゆ,少しも〜ない（打消と呼応）,打消の語と呼応して「少しも〜ない」「全く〜ない」の意。露のように僅かなことさえない意。「つゆ知らず」「つゆ思はず」。元は名詞「露」から。,副詞|打消呼応|少しも|露|僅か|時代:平安時代|種別:古文単語,少しのことにも先達はあらまほしきことなり（つゆ）＜些細なことでも、先に知っている人がいてほしいものだ。＞【徒然草】,中納言参り給ひて、御扇奉らせ給ふに（つゆ）＜中納言が参上なさって、御扇を差し上げなさるときに。＞【枕草子】
え,え,〜できない（打消と呼応）,打消の語と呼応して不可能を表す副詞。「え行かず」「え言はず」。能力的・状況的に不可能な意。「得」の副詞化とされる。,副詞|打消呼応|不可能|できない|状況|種別:古文単語,高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに（え）＜危険は油断した時に起こる。＞【徒然草】,春はあけぼの（え）＜春は夜明けがよい。＞【枕草子】
よも,よも,まさか〜ないだろう（打消と呼応）,打消の語と呼応して否定的推量を表す副詞。「よもあらじ」「よも知らじ」。話し手の否定的な推測・期待。反語的に用いることも。,副詞|打消呼応|推量|否定|まさか|種別:古文単語,祇園精舎の鐘の声、諸行無常の響きあり（よも）＜この世は無常である。＞【平家物語】,一つには、高く、やんごとなき人（よも）＜一つ目は、身分が高く、たいへん高貴な人。＞【徒然草】
まさに,まさに,ちょうど・今にも,時間的な適切性や切迫を表す副詞。「まさに言はむとす」「まさに死なむとす」。「正に」の字義から。現代語の「まさに」とほぼ同義。,副詞|時間|切迫|ちょうど|適切|種別:古文単語,冬はつとめて。（まさに）＜冬は早朝がよい。＞【枕草子】,今となっては昔のことだが（まさに）＜今となってはもう昔の話だが。＞【今昔物語集】
やがて,やがて,そのまま・すぐに,時間的・状態的な連続を表す副詞。現代語の「やがて」とは異なり「すぐに」「そのまま」の意。「やがて帰る」「やがて寝入る」。,副詞|時間|連続|すぐに|そのまま|時代:平安時代|種別:古文単語,うつくしきもの。（やがて）＜かわいいものを列挙する。＞【枕草子】,雪のいと高う降りたるを、例ならず御格子まゐりて、炭櫃に火おこして、物語などして集まりさぶらふに（やがて）＜雪がたいそう降ったので、いつもと違って御格子を上げ、炭びつに火をおこし、物語などしながら集まってお仕えしているときに。＞【枕草子】
ゆめ,ゆめ,決して〜するな（打消と呼応）,禁止を表す副詞。打消の語と呼応して「決して〜するな」の意。「ゆめ語るな」「ゆめ忘るな」。夢のように儚い意から。,副詞|打消呼応|禁止|決して|命令|種別:古文単語,いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。（ゆめ）＜いつの帝の御代であったか。＞【源氏物語】,祇園精舎の鐘の声（ゆめ）＜この世は無常である。＞【平家物語】
よに,よに,世間で・非常に,「世に」と書く。「世間では」の意と、「非常に」の意の二義。「よに聞こゆ」「よに珍しき」。文脈で判断。,副詞|世間|程度|非常に|二義|時代:平安時代|種別:古文単語,月やあらぬ、春や昔の春ならぬ、我が身ひとつはもとの身にして（よに）＜月は同じでも春は昔の春ではない。私だけが昔のままの私でいる。＞【伊勢物語】,祇園精舎の鐘の声、諸行無常の響きあり。（よに）＜この世は無常である。＞【平家物語】
いたう,いたう,ひどく・非常に,程度が激しいことを表す副詞。形容詞「いたし」の連用形から。「いたう泣く」「いたう寒し」。現代語の「いたく」。,副詞|程度|激しい|連用形|いたし|時代:平安時代|種別:古文単語,春はあけぼの（いたう）＜春は夜明けがよい。＞【枕草子】,月やあらぬ、春や昔の春ならぬ、我が身ひとつはもとの身にして（いたう）＜月は同じでも春は昔の春ではない。私だけが昔のままの私でいる。＞【伊勢物語】
なほ,なほ,やはり・それでも,前の状態が変わらない意や、逆接の意を表す副詞。「なほ行く」「なほ美し」。現代語の「なお」に相当。期待に反する継続。,副詞|継続|逆接|やはり|それでも|種別:古文単語,やうやう白くなりゆく山ぎは（なほ）＜だんだんと白くなっていく山際、夜明けの山の端。＞【枕草子】,いづれの御時にか（なほ）＜いつの帝の御代であったか。＞【源氏物語】
ひたすら,ひたすら,ひたすら・一途に,他のことを考えず一つのことに集中する意の副詞。「ひたすら思ふ」「ひたすら祈る」。現代語とほぼ同義。「ひた」は接頭語。,副詞|専心|一途|集中|ひた|時代:平安時代|種別:古文単語,月日は百代の過客にして（ひたすら）＜月日も年も旅人のように過ぎていく。＞【奥の細道】,つれづれなるままに、日暮らし、硯にむかひて（ひたすら）＜退屈なので、硯に向かって書きつける。＞【徒然草】
ゆゆし,ゆゆし,不吉だ・立派だ,形容詞で、不吉・恐ろしい意と、立派・素晴らしい意の両義。文脈で判断。「ゆゆしき夢」「ゆゆしき人」。連用形「ゆゆしく」が副詞的に使われる。,形容詞|不吉|立派|両義|恐ろしい|時代:平安時代|種別:古文単語,祇園精舎の鐘の声、諸行無常の響きあり。（ゆゆし）＜この世は無常である。＞【平家物語】,一事を必ず成さんと思はば、他の事の破るるをも傷むべからず（ゆゆし）＜一つの事を必ずやり遂げようと思うなら、他の事がだめになるのも惜しんではならない。＞【徒然草】
あへて,あへて,決して〜ない（打消と呼応）,打消の語と呼応して強い否定を表す副詞。「あへて言はず」「あへて知らず」。現代語の「敢えて」とは意味が異なる。,副詞|打消呼応|強否定|決して|敢えて|種別:古文単語,友とするにわろき者、七つあり（あへて）＜友にしてはいけない人が七種類いる。＞【徒然草】,うつくしきもの。（あへて）＜かわいいものを列挙する。＞【枕草子】
かく,かく,このように・こう,近称の指示副詞。話し手に近い事柄を指す。「かく申す」「かくて過ぐす」。現代語の「こう」「このように」。「然く」と書く。,副詞|指示|近称|このように|こう|種別:古文単語,秋は夕暮れ。（かく）＜秋は夕暮れがよい。＞【枕草子】,男もすなる日記といふものを、女もしてみむとて、するなり（かく）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】
かかる,かかる,このような・こんな,近称の連体詞。「かく」の連体形。「かかる事」「かかる時」。現代語の「こんな」「このような」に相当。,連体詞|指示|近称|このような|こんな|種別:古文単語,仁和寺にある法師、年寄るまで、石清水を拝まざりければ（かかる）＜行き先を勘違いして失敗する話。＞【徒然草】,ゆく河の流れは絶えずして、しかももとの水にあらず（かかる）＜物事は常に移り変わる。＞【方丈記】
さ,さ,そう・そのように,中称の指示副詞。「そう」「そのように」の意。「さ思ふ」「さあらば」。現代語の「そう」に相当。「然」と書く。,副詞|指示|中称|そう|そのように|種別:古文単語,冬はつとめて。（さ）＜冬は早朝がよい。＞【枕草子】,今となっては昔のことだが（さ）＜今となってはもう昔の話だが。＞【今昔物語集】
などか,などか,どうして〜ないのか（反語）,疑問の副詞「など」に係助詞「か」が付いた形。打消と呼応して反語を表す。「などか知らざらむ」（どうして知らないことがあろうか、知っているはずだ）。,副詞|疑問|反語|打消呼応|どうして|時代:平安時代|種別:古文単語,祇園精舎の鐘の声（などか）＜この世は無常である。＞【平家物語】,つれづれなるままに、日暮らし硯に向かひて（などか）＜退屈なので、硯に向かって書きつける。＞【徒然草】
さて,さて,そうして・ところで,接続詞。前の事柄を受けて次に移る。「そうして」「それで」の意と、話題転換の「ところで」の意。「さてその後」。,接続詞|順接|話題転換|そうして|ところで|種別:古文単語,秋は夕暮れ。（さて）＜秋は夕暮れがよい。＞【枕草子】,男もすなる日記といふものを、女もしてみむとて、するなり（さて）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】
さるは,さるは,そうは言うものの,接続詞。逆接を表す。「さ（そう）ある（言う）は」の意。「さるはかく思ふ」（そうは言うものの、こう思う）。,接続詞|逆接|そうは言うものの|しかし|けれども|時代:平安時代|種別:古文単語,春はあけぼの。（さるは）＜春は夜明けがよい。＞【枕草子】,世の中にたえて桜のなかりせば、春の心はのどけからまし（さるは）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】
されば,されば,だから・それゆえに,接続詞。原因・理由を受けて結果を導く。「さあれば」が縮まった形。「されば申す」（だから申し上げる）。,接続詞|順接|原因|結果|だから|種別:古文単語,ゆく河の流れは絶えずして、しかももとの水にあらず（されば）＜物事は常に移り変わる。＞【方丈記】,秋は夕暮れ。（されば）＜秋は夕暮れがよい。＞【枕草子】
しかれども,しかれども,しかしながら,接続詞。逆接を表す。「しか（そう）あれども」の意。「しかれども行かず」（しかしながら行かない）。現代語の「しかれども」。,接続詞|逆接|しかしながら|けれども|然れども|時代:平安時代|種別:古文単語,つれづれなるままに、日暮らし、硯にむかひて（しかれども）＜退屈なので、硯に向かって書きつける。＞【徒然草】,友とするにわろき者、七つあり（しかれども）＜友にしてはいけない人が七種類いる。＞【徒然草】
