語句,読み,意味,解説,関連事項,例文1,例文2
つれづれなるままに日暮らし,つれづれなるままにひぐらし,徒然草の心境,徒然草冒頭の一節。「つれづれなるままに、日暮らし、硯にむかひて」と続く。退屈な日々を硯に向かって過ごす兼好法師の姿。随筆執筆の動機を率直に述べる。,徒然草|兼好法師|退屈|執筆|動機|時代:鎌倉時代末期|種別:名文句,今となっては昔のことだが（つれづれなるままにひぐらし）＜今となってはもう昔の話だが。＞【今昔物語集】,祇園精舎の鐘の声、諸行無常の響きあり（つれづれなるままにひぐらし）＜この世は無常である。＞【平家物語】
世にしたがへば,よにしたがえば,徒然草の処世訓,「世にしたがへば、身苦し。したがはねば、狂へるに似たり」という処世訓。世間に従えば窮屈、従わねば変人扱い。どちらを選ぶかの苦悩。兼好の人生観を示す。,徒然草|兼好法師|処世|人生観|苦悩|時代:鎌倉時代末期|種別:名文句,つれづれなるままに、日暮らし、硯にむかひて（よにしたがえば）＜退屈なので、硯に向かって書きつける。＞【徒然草】,友とするにわろき者、七つあり（よにしたがえば）＜友にしてはいけない人が七種類いる。＞【徒然草】
一事を必ず成さんと思はば,いちじをかならずなさんとおもわば,徒然草の教訓,「一事を必ず成さんと思はば、他の事の破るるをも傷むべからず」という教訓。一つのことを成し遂げようと思うなら、他のことが損なわれても気にするな。専念の重要性。,徒然草|兼好法師|教訓|専念|集中|時代:鎌倉時代末期|種別:名文句,月日は百代の過客にして（いちじをかならずなさんとおもわば）＜月日も年も旅人のように過ぎていく。＞【奥の細道】,つれづれなるままに、日暮らし、硯にむかひて（いちじをかならずなさんとおもわば）＜退屈なので、硯に向かって書きつける。＞【徒然草】
友とするにわろき者,ともとするにわろきもの,徒然草の人物論,「友とするにわろき者、七つあり」で始まる段。悪い友人の特徴を列挙。「一つには、高く、やんごとなき人」など七項目。友人選びの基準を示す。,徒然草|兼好法師|友人|人物論|基準|時代:鎌倉時代末期|種別:名文句,祇園精舎の鐘の声、諸行無常の響きあり（ともとするにわろきもの）＜この世は無常である。＞【平家物語】,一つには、高く、やんごとなき人（ともとするにわろきもの）＜一つ目は、身分が高く、たいへん高貴な人。＞【徒然草】
ゆく河の流れは絶えずして,ゆくかわのながれはたえずして,方丈記の冒頭,「ゆく河の流れは絶えずして、しかももとの水にあらず」で始まる『方丈記』の有名な冒頭文。諸行無常を水の流れに喩える。鴨長明の無常観を象徴的に表現。,方丈記|鴨長明|無常|水|流れ|時代:鎌倉時代|種別:名文句,月やあらぬ、春や昔の春ならぬ、我が身ひとつはもとの身にして（ゆくかわのながれはたえずして）＜月は同じでも春は昔の春ではない。私だけが昔のままの私でいる。＞【伊勢物語】,祇園精舎の鐘の声、諸行無常の響きあり。（ゆくかわのながれはたえずして）＜この世は無常である。＞【平家物語】
男もすなる日記,おとこもすなるにっき,土佐日記の冒頭,「男もすなる日記といふものを、女もしてみむとて、するなり」という『土佐日記』の冒頭。男が書く日記を女性も書いてみようという趣向。紀貫之が女性の視点で書く仮名日記。,土佐日記|紀貫之|冒頭|女性視点|仮名|時代:平安時代中期|種別:名文句,春はあけぼの。（おとこもすなるにっき）＜春は夜明けがよい。＞【枕草子】,世の中にたえて桜のなかりせば、春の心はのどけからまし（おとこもすなるにっき）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】
今は昔,いまはむかし,今昔物語集の決まり文句,「今は昔」は『今昔物語集』の各話の冒頭に現れる決まり文句。「今となっては昔のことだが」の意。説話を語り始める定型表現。約千話すべてがこの言葉で始まる。,今昔物語集|冒頭|決まり文句|説話|定型|時代:平安時代末期|種別:名文句,月日は百代の過客にして（いまはむかし）＜月日も年も旅人のように過ぎていく。＞【奥の細道】,つれづれなるままに、日暮らし、硯にむかひて（いまはむかし）＜退屈なので、硯に向かって書きつける。＞【徒然草】
月やあらぬ,つきやあらぬ,伊勢物語・東下り,「月やあらぬ、春や昔の春ならぬ、我が身ひとつはもとの身にして」という和歌。『伊勢物語』東下りの段。月も春も変わらないが、自分だけが変わってしまった嘆き。在原業平の心情。,伊勢物語|在原業平|和歌|東下り|嘆き|時代:平安時代初期|種別:名文句,世にしたがへば、身苦し。（つきやあらぬ）＜世間に合わせて生きると、身が苦しくなる。＞【徒然草】,ゆく河の流れは絶えずして（つきやあらぬ）＜物事は常に移り変わる。＞【方丈記】
世の中にたえて桜のなかりせば,よのなかにたえてさくらのなかりせば,古今和歌集の名歌,「世の中にたえて桜のなかりせば、春の心はのどけからまし」という在原業平の和歌。桜がなければ春は穏やかなのにという逆説。桜への複雑な思い。『古今和歌集』収録。,古今和歌集|在原業平|和歌|桜|春|時代:平安時代初期|種別:名文句,春はあけぼの。（よのなかにたえてさくらのなかりせば）＜春は夜明けがよい。＞【枕草子】,世の中にたえて桜のなかりせば、春の心はのどけからまし（よのなかにたえてさくらのなかりせば）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】
係り結び,かかりむすび,古文の構文法則,係助詞（ぞ・なむ・や・か・こそ）が文中にあると、文末が連体形または已然形で結ばれる法則。「ぞ・なむ・や・か」は連体形、「こそ」は已然形で結ぶ。古文の最重要文法事項。,文法|係助詞|連体形|已然形|構文|種別:古文表現,やうやう白くなりゆく山ぎは（かかりむすび）＜だんだんと白くなっていく山際、夜明けの山の端。＞【枕草子】,いづれの御時にか（かかりむすび）＜いつの帝の御代であったか。＞【源氏物語】
ぞ〜連体形,ぞ〜れんたいけい,係り結び（強調）,係助詞「ぞ」が文中にある時、文末が連体形で結ばれる。強調を表す。「花ぞ咲ける」（花が咲いている）。「ぞ」の後の語を強調。,係り結び|強調|連体形|係助詞|ぞ|種別:古文表現,奥山に、猫またといふものありて、人を食ふなる（ぞ〜れんたいけい）＜奥深い山には猫またというものがいて、人を食うという。＞【徒然草】,やうやう白くなりゆく山ぎは（ぞ〜れんたいけい）＜だんだんと白くなっていく山際、夜明けの山の端。＞【枕草子】
なむ〜連体形,なむ〜れんたいけい,係り結び（強調）,係助詞「なむ」が文中にある時、文末が連体形で結ばれる。強調を表す。「人なむ来たる」（人が来た）。「なむ」の後の語を強調。,係り結び|強調|連体形|係助詞|なむ|種別:古文表現,世の中にたえて桜のなかりせば、春の心はのどけからまし（なむ〜れんたいけい）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】,あやふき時は言はで、やすき時に教へけり（なむ〜れんたいけい）＜危ない時には言わず、安心な時にこそ教えたのだ。＞【徒然草】
や・か〜連体形,や・か〜れんたいけい,係り結び（疑問・反語）,係助詞「や」「か」が文中にある時、文末が連体形で結ばれる。疑問・反語を表す。「誰か知る」（誰が知ろうか）。疑問や反語的強調。,係り結び|疑問|反語|連体形|係助詞|種別:古文表現,冬はつとめて。（や・か〜れんたいけい）＜冬は早朝がよい。＞【枕草子】,今となっては昔のことだが（や・か〜れんたいけい）＜今となってはもう昔の話だが。＞【今昔物語集】
こそ〜已然形,こそ〜いぜんけい,係り結び（強意）,係助詞「こそ」が文中にある時、文末が已然形で結ばれる。強意を表す。「これこそ花なれ」（これこそが花だ）。最も強い強調。已然形結びのみ「こそ」。,係り結び|強意|已然形|係助詞|こそ|種別:古文表現,花は盛りに、月は隈なきをのみ、見るものかは（こそ〜いぜんけい）＜花は満開の時だけ、月は雲のない時だけを見るものだろうか。いや、そうではない。＞【徒然草】,冬はつとめて。（こそ〜いぜんけい）＜冬は早朝がよい。＞【枕草子】
べし,べし,推量・当然・可能など,助動詞「べし」は推量・当然・意志・可能・命令など多義。「行くべし」（行くだろう・行くべきだ）。文脈で意味を判断。終止形接続。,助動詞|推量|当然|意志|多義|時代:平安時代|種別:古文表現,月やあらぬ、春や昔の春ならぬ、我が身ひとつはもとの身にして（べし）＜月は同じでも春は昔の春ではない。私だけが昔のままの私でいる。＞【伊勢物語】,祇園精舎の鐘の声、諸行無常の響きあり。（べし）＜この世は無常である。＞【平家物語】
まじ,まじ,打消推量・打消当然,助動詞「まじ」は「べし」の打消。「行くまじ」（行かないだろう・行くべきでない）。打消推量・打消意志・打消可能など。終止形接続。,助動詞|打消推量|打消当然|打消意志|べし|時代:平安時代|種別:古文表現,高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに（まじ）＜危険は油断した時に起こる。＞【徒然草】,春はあけぼの（まじ）＜春は夜明けがよい。＞【枕草子】
らむ,らむ,現在推量・原因推量,助動詞「らむ」は現在の推量を表す。「今頃何をするらむ」（今頃何をしているだろう）。目に見えない現在の事柄の推量。終止形接続。,助動詞|現在推量|原因推量|目に見えない|現在|時代:平安時代|種別:古文表現,男もすなる日記といふものを、女もしてみむとて、するなり（らむ）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】,つれづれなるままに（らむ）＜退屈なので、硯に向かって書きつける。＞【徒然草】
けむ,けむ,過去推量・原因推量,助動詞「けむ」は過去の推量を表す。「昨日何をしけむ」（昨日何をしただろう）。過去の事柄の推量。連用形接続。「けん」とも。,助動詞|過去推量|原因推量|過去|けん|時代:平安時代|種別:古文表現,あやふき時は言はで、やすき時に教へけり（けむ）＜危ない時には言わず、安心な時にこそ教えたのだ。＞【徒然草】,世にしたがへば、身苦し。（けむ）＜世間に合わせて生きると、身が苦しくなる。＞【徒然草】
まほし,まほし,希望,助動詞「まほし」は希望を表す。「行かまほし」「見まほしき」（行きたい・見たい）。形容詞型活用。連用形「まほしく」もよく使われる。,助動詞|希望|〜たい|形容詞型|願望|時代:平安時代|種別:古文表現,友とするにわろき者、七つあり（まほし）＜友にしてはいけない人が七種類いる。＞【徒然草】,うつくしきもの。（まほし）＜かわいいものを列挙する。＞【枕草子】
平家物語,へいけものがたり,鎌倉時代の軍記物語,平家一門の栄華と滅亡を描いた軍記物語。「祇園精舎の鐘の声」の冒頭で有名。琵琶法師により語られた。諸行無常がテーマ。【あらすじ】平氏の栄華と滅亡、源平合戦の激動を語る軍記物語。冒頭から無常観が示され、盛者必衰の理が描かれる。,軍記物語|平家|源平|無常|琵琶法師|時代:鎌倉時代|種別:古典作品,平氏が権勢を誇るが、やがて戦乱が広がり、一門が滅びへ向かっていく。（へいけものがたり）＜平氏が権勢を誇るが、やがて戦乱が広がり、一門が滅びへ向かっていく。＞【平家物語】,都で栄華を誇った平家が、戦の連敗で次第に追い詰められていく。最期を迎える場面では、勝敗以上に無常と別れの痛みが強く胸に迫る。（へいけものがたり）＜都で栄華を誇った平家が、戦の連敗で次第に追い詰められていく。最期を迎える場面では、勝敗以上に無常と別れの痛みが強く胸に迫る。＞【平家物語】
太平記,たいへいき,南北朝時代の軍記物語,後醍醐天皇の時代から南北朝の争乱を描いた軍記物語。全40巻。足利尊氏、楠木正成などが登場。歴史的価値も高い。【あらすじ】後醍醐天皇の倒幕から南北朝の争乱までを描く軍記物語。武将たちの活躍と政治の変転が大きな流れとして語られる。,軍記物語|南北朝|後醍醐天皇|足利尊氏|楠木正成|時代:南北朝時代|種別:古典作品,倒幕を目指す動きが広がり、戦乱の中で武将たちが名を上げていく。（たいへいき）＜倒幕を目指す動きが広がり、戦乱の中で武将たちが名を上げていく。＞【太平記】,戦が重なるにつれ、忠義や大義を掲げた武将たちが命を賭ける場面が続く。勝敗が決したあとに残るのは栄光ではなく喪失で、乱世のむごさが際立つ。（たいへいき）＜戦が重なるにつれ、忠義や大義を掲げた武将たちが命を賭ける場面が続く。勝敗が決したあとに残るのは栄光ではなく喪失で、乱世のむごさが際立つ。＞【太平記】
保元物語,ほうげんものがたり,保元の乱を描く軍記物語,保元の乱（1156年）を題材とした軍記物語。崇徳上皇と後白河天皇の対立。源為朝の活躍。武士の台頭を描く。【あらすじ】保元の乱を題材に、皇族・貴族・武士の対立と、武士が台頭していく時代の転換点を描く軍記物語。,軍記物語|保元の乱|崇徳上皇|後白河天皇|源為朝|時代:平安時代末期|種別:古典作品,皇位をめぐる争いが火種となり、武士たちがそれぞれの陣営で戦うことになる。（ほうげんものがたり）＜皇位をめぐる争いが火種となり、武士たちがそれぞれの陣営で戦うことになる。＞【保元物語】,決戦では、親子や兄弟が敵味方に分かれて矢を放つという悲劇が頂点に達する。勝った側も後味の悪さを抱え、武士の時代の始まりが突きつけられる。（ほうげんものがたり）＜決戦では、親子や兄弟が敵味方に分かれて矢を放つという悲劇が頂点に達する。勝った側も後味の悪さを抱え、武士の時代の始まりが突きつけられる。＞【保元物語】
平治物語,へいじものがたり,平治の乱を描く軍記物語,平治の乱（1159年）を題材とした軍記物語。源義朝と平清盛の対立。平家の隆盛のきっかけ。源頼朝の少年時代も描かれる。【あらすじ】平治の乱を題材に、源氏と平氏の対立が激化し、平清盛の台頭につながる過程を描く軍記物語。,軍記物語|平治の乱|源義朝|平清盛|源頼朝|時代:平安時代末期|種別:古典作品,都で政変が起こり、源氏と平氏が衝突して戦いが広がる。（へいじものがたり）＜都で政変が起こり、源氏と平氏が衝突して戦いが広がる。＞【平治物語】,都が炎と混乱に包まれ、追う者と追われる者の運命が一気に決まってしまう。敗れた側が落ち延びる場面が、のちの源平の大争乱へとつながる山場になる。（へいじものがたり）＜都が炎と混乱に包まれ、追う者と追われる者の運命が一気に決まってしまう。敗れた側が落ち延びる場面が、のちの源平の大争乱へとつながる山場になる。＞【平治物語】
宇治拾遺物語,うじしゅういものがたり,説話集,鎌倉時代初期の説話集。全15巻。「今は昔」で始まる短編説話を多数収録。笑い話や教訓話など多様。『今昔物語集』と類似点多い。【あらすじ】鎌倉初期の説話集で、教訓話だけでなく笑い話も多い。短い話で人間の機微が描かれる。,説話集|鎌倉|今は昔|短編|笑い話|時代:鎌倉時代初期|種別:古典作品,思わぬ勘違いや失敗が起こり、読者がくすっと笑えるような逸話が語られる。（うじしゅういものがたり）＜思わぬ勘違いや失敗が起こり、読者がくすっと笑えるような逸話が語られる。＞【宇治拾遺物語】,勘違いが積み重なって最後に大恥をかき、まわりが一斉に笑う落ちが決まる。笑いのあとに、人の愚かさや戒めが自然と残る。（うじしゅういものがたり）＜勘違いが積み重なって最後に大恥をかき、まわりが一斉に笑う落ちが決まる。笑いのあとに、人の愚かさや戒めが自然と残る。＞【宇治拾遺物語】
古今著聞集,ここんちょもんじゅう,説話集,鎌倉時代の説話集。橘成季編。全30巻。和歌・音楽・舞踊など文化的話題が豊富。貴族社会の逸話を多数収録。【あらすじ】鎌倉時代に編まれた説話集で、和歌・音楽・芸能など文化的題材が豊富。貴族社会の逸話が多い。,説話集|鎌倉|橘成季|和歌|文化|時代:鎌倉時代|種別:古典作品,和歌や音楽にまつわる逸話が語られ、当時の文化の価値観が伝わる。（ここんちょもんじゅう）＜和歌や音楽にまつわる逸話が語られ、当時の文化の価値観が伝わる。＞【古今著聞集】,名人の一言や機転で、その場の評価がひっくり返る場面が印象的に語られる。芸能や和歌が人生の勝負所になるところがこの集の面白さだ。（ここんちょもんじゅう）＜名人の一言や機転で、その場の評価がひっくり返る場面が印象的に語られる。芸能や和歌が人生の勝負所になるところがこの集の面白さだ。＞【古今著聞集】
沙石集,しゃせきしゅう,仏教説話集,鎌倉時代の仏教説話集。無住道暁著。全10巻。仏教的教訓を含む説話。民衆の生活も描かれる。説話文学の代表作。【あらすじ】仏教的教訓を含む説話を集めた作品で、僧侶や民衆の暮らしも描かれる。信仰と現実の間の人間像が表れる。,説話集|仏教|無住道暁|教訓|鎌倉|時代:鎌倉時代|種別:古典作品,僧が語る因果応報の話などを通して、心の持ち方や行いの大切さが示される。（しゃせきしゅう）＜僧が語る因果応報の話などを通して、心の持ち方や行いの大切さが示される。＞【沙石集】,欲や慢心が招いた結末が示され、読み手ははっとして姿勢を正す。最後に仏教の教えへ収束していく語りが、教訓としての山場になる。（しゃせきしゅう）＜欲や慢心が招いた結末が示され、読み手ははっとして姿勢を正す。最後に仏教の教えへ収束していく語りが、教訓としての山場になる。＞【沙石集】
蜻蛉日記,かげろうにっき,平安時代の日記文学,藤原道綱母が夫・藤原兼家との結婚生活を綴った日記。女性の心情を率直に描く。日本最初の女流日記文学。約20年間の記録。【あらすじ】藤原道綱母が、夫との結婚生活の苦悩や心の揺れを率直に綴った日記文学。内面描写が特徴。,日記文学|女流|藤原道綱母|藤原兼家|結婚生活|時代:平安時代|種別:古典作品,夫の訪れを待ちながら不安と苛立ちが募り、心が落ち着かない日々が語られる。（かげろうにっき）＜夫の訪れを待ちながら不安と苛立ちが募り、心が落ち着かない日々が語られる。＞【蜻蛉日記】,夫を待ち続ける日々が限界に達し、作者は心の折れそうな瞬間を言葉にする。迷いながらも自分の生き方を選び直そうとする決意が、この日記の山場になる。（かげろうにっき）＜夫を待ち続ける日々が限界に達し、作者は心の折れそうな瞬間を言葉にする。迷いながらも自分の生き方を選び直そうとする決意が、この日記の山場になる。＞【蜻蛉日記】
和泉式部日記,いずみしきぶにっき,和泉式部の日記,和泉式部と敦道親王との恋愛を描いた日記風物語。和歌を多く含む。情熱的な恋愛描写。虚構性も指摘される。【あらすじ】和泉式部と敦道親王の恋を中心に、和歌を交えながら情熱的な心情を描く日記風の物語。,日記文学|女流|和泉式部|敦道親王|恋愛|時代:平安時代|種別:古典作品,身分差のある恋に惹かれ合い、逢瀬を重ねるたびに喜びと不安が増していく。（いずみしきぶにっき）＜身分差のある恋に惹かれ合い、逢瀬を重ねるたびに喜びと不安が増していく。＞【和泉式部日記】,恋の噂や身分の壁に揺さぶられながらも、二人は和歌で思いを投げ合う。会えない夜の切なさが頂点に達し、言葉だけが熱を持って残る。（いずみしきぶにっき）＜恋の噂や身分の壁に揺さぶられながらも、二人は和歌で思いを投げ合う。会えない夜の切なさが頂点に達し、言葉だけが熱を持って残る。＞【和泉式部日記】
紫式部日記,むらさきしきぶにっき,紫式部の宮仕え日記,紫式部が宮中での生活や藤原道長らとの交流を記した日記。『源氏物語』の作者による貴重な記録。鋭い人物観察。【あらすじ】紫式部が宮廷での生活や人々の振る舞いを観察し、出来事や評判を記した日記。作者の人物評が鋭い。,日記文学|女流|紫式部|宮中|藤原道長|時代:平安時代|種別:古典作品,宮中の行事や日常が描かれ、華やかさの裏にある気遣いや緊張感も伝わる。（むらさきしきぶにっき）＜宮中の行事や日常が描かれ、華やかさの裏にある気遣いや緊張感も伝わる。＞【紫式部日記】,華やかな宮廷の裏で、噂や嫉妬が渦巻き、作者は一歩引いて冷静に観察する。人の長所も短所も見抜いて書き留める筆致が、読者に強い印象を与える。（むらさきしきぶにっき）＜華やかな宮廷の裏で、噂や嫉妬が渦巻き、作者は一歩引いて冷静に観察する。人の長所も短所も見抜いて書き留める筆致が、読者に強い印象を与える。＞【紫式部日記】
更級日記,さらしなにっき,菅原孝標女の日記,菅原孝標女が『源氏物語』への憧れや人生を綴った日記。少女期から晩年まで。物語への情熱と現実の落差を描く。回想的作品。【あらすじ】菅原孝標女が少女期から晩年までを回想し、物語への憧れと現実の人生の移ろいを綴った日記文学。,日記文学|女流|菅原孝標女|源氏物語|回想|時代:平安時代|種別:古典作品,幼い頃から物語を強く望み、ついにそれを手にして夢中になる心の高まりが語られる。（さらしなにっき）＜幼い頃から物語を強く望み、ついにそれを手にして夢中になる心の高まりが語られる。＞【更級日記】,憧れていた物語の世界に心を預けたのに、現実の人生は思うように進まず、ふと我に返って虚しさを覚える。年月を経て、かつての熱と今の静けさの落差を受け止める場面が胸に残る。（さらしなにっき）＜憧れていた物語の世界に心を預けたのに、現実の人生は思うように進まず、ふと我に返って虚しさを覚える。年月を経て、かつての熱と今の静けさの落差を受け止める場面が胸に残る。＞【更級日記】
讃岐典侍日記,さぬきのすけにっき,平安時代の日記文学,讃岐典侍（藤原長子）が堀河天皇への思慕を綴った日記。宮仕えの女性の立場から見た宮中。和歌を多く含む短編日記。【あらすじ】讃岐典侍が宮中での立場から、帝への思慕や心の動きを和歌とともに綴った短い日記文学。,日記文学|女流|讃岐典侍|堀河天皇|宮中|時代:平安時代|種別:古典作品,帝への思いが募り、会えない時間の寂しさを和歌や言葉で表す。（さぬきのすけにっき）＜帝への思いが募り、会えない時間の寂しさを和歌や言葉で表す。＞【讃岐典侍日記】,帝との距離が埋まらないまま時が過ぎ、思慕が耐えがたいほど強くなる。会えない現実を受け入れつつ、歌にだけ心を託す場面が切ない山場になる。（さぬきのすけにっき）＜帝との距離が埋まらないまま時が過ぎ、思慕が耐えがたいほど強くなる。会えない現実を受け入れつつ、歌にだけ心を託す場面が切ない山場になる。＞【讃岐典侍日記】
大鏡,おおかがみ,歴史物語,藤原氏の栄華を描いた歴史物語。全3巻。藤原道長の時代を中心に、摂関政治の全盛期を描く。老人の回想形式。四鏡の一つ。【あらすじ】摂関政治の時代を、老人たちの語り（対話）という形で回想し、藤原氏と道長の栄華を中心に描く歴史物語。,歴史物語|藤原氏|藤原道長|摂関政治|四鏡|時代:平安時代末期|種別:古典作品,二人の老人が昔話として語り始め、宮廷の政争や人々の評判が生き生きと伝えられる。（おおかがみ）＜二人の老人が昔話として語り始め、宮廷の政争や人々の評判が生き生きと伝えられる。＞【大鏡】,語りが進むにつれ、道長の権勢が極まり、誰も逆らえない空気が都を覆っていく。やがて栄華の影にある緊張や不安もにじみ、時代の大きなうねりが感じられる。（おおかがみ）＜語りが進むにつれ、道長の権勢が極まり、誰も逆らえない空気が都を覆っていく。やがて栄華の影にある緊張や不安もにじみ、時代の大きなうねりが感じられる。＞【大鏡】
増鏡,ますかがみ,歴史物語,後鳥羽院から後醍醐天皇までを描いた歴史物語。全17巻。鎌倉時代の政治を貴族の視点で記録。四鏡の最後。【あらすじ】後鳥羽院から後醍醐天皇の頃までの政治と宮廷社会を、貴族の視点で語る歴史物語。四鏡の最後にあたる。,歴史物語|後鳥羽院|後醍醐天皇|鎌倉時代|四鏡|時代:南北朝時代|種別:古典作品,院政や政争の移り変わりが、宮廷に近い目線で淡々と語られる。（ますかがみ）＜院政や政争の移り変わりが、宮廷に近い目線で淡々と語られる。＞【増鏡】,政局が転がるように変わり、昨日の常識が今日には崩れてしまう。語りが積み重なって時代の転換点が見えてくるところが、この歴史物語の山場になる。（ますかがみ）＜政局が転がるように変わり、昨日の常識が今日には崩れてしまう。語りが積み重なって時代の転換点が見えてくるところが、この歴史物語の山場になる。＞【増鏡】
発心集,ほっしんしゅう,仏教説話集,鴨長明著の仏教説話集。全8巻。発心（出家・入道）の話を集める。『方丈記』の作者による説話文学。仏教的世界観。【あらすじ】出家や入道など「発心」にまつわる説話を集め、世俗の執着から離れる心の転換を描く。,説話集|仏教|鴨長明|発心|出家|時代:鎌倉時代|種別:古典作品,世の無常を感じた人が出家を決意し、これまでの暮らしを捨てるきっかけが語られる。（ほっしんしゅう）＜世の無常を感じた人が出家を決意し、これまでの暮らしを捨てるきっかけが語られる。＞【発心集】,世俗の成功や愛着を捨てる決断の瞬間が描かれ、読者も心を揺さぶられる。出家後の苦しさや迷いを越えて心が変わるところが、説話の結末として示される。（ほっしんしゅう）＜世俗の成功や愛着を捨てる決断の瞬間が描かれ、読者も心を揺さぶられる。出家後の苦しさや迷いを越えて心が変わるところが、説話の結末として示される。＞【発心集】
十訓抄,じっきんしょう,説話集,鎌倉時代中期の説話集。全10巻。10の教訓（十訓）を主題とする。和漢の故事を収録。『今昔物語集』の影響が見られる。【あらすじ】十の教訓を軸に、和漢の故事や逸話を集めた説話集。権力者から庶民まで、行動の戒めが示される。,説話集|教訓|十訓|故事|和漢|時代:鎌倉時代中期|種別:古典作品,権力や欲に振り回された失敗談が語られ、慎みの大切さが示される。（じっきんしょう）＜権力や欲に振り回された失敗談が語られ、慎みの大切さが示される。＞【十訓抄】,軽い気持ちの過ちが大きな破滅につながり、最後に厳しい結末で締まる。逆に、慎み深い振る舞いが報われる話では、結果がはっきり出て教訓が胸に刺さる。（じっきんしょう）＜軽い気持ちの過ちが大きな破滅につながり、最後に厳しい結末で締まる。逆に、慎み深い振る舞いが報われる話では、結果がはっきり出て教訓が胸に刺さる。＞【十訓抄】
栄花物語,えいがものがたり,歴史物語,藤原氏の栄華を描いた歴史物語。全40巻。藤原道長の時代を中心に、摂関家の繁栄を描く。物語風の歴史叙述。【あらすじ】藤原氏、とくに道長の時代を中心に、宮廷の栄華や行事を物語風に描く歴史物語。華やかな宮廷生活の記録でもある。,歴史物語|藤原氏|藤原道長|摂関家|繁栄|時代:平安時代中期|種別:古典作品,摂関家の勢いが増し、宮廷行事や婚姻を通じて権力が固まっていく。（えいがものがたり）＜摂関家の勢いが増し、宮廷行事や婚姻を通じて権力が固まっていく。＞【栄花物語】,道長の権勢が頂点に達し、宮廷行事がきらびやかに続く一方で、その繁栄が永遠ではない気配も漂う。華やかさと無常が同時に見えるところが読みどころになる。（えいがものがたり）＜道長の権勢が頂点に達し、宮廷行事がきらびやかに続く一方で、その繁栄が永遠ではない気配も漂う。華やかさと無常が同時に見えるところが読みどころになる。＞【栄花物語】
む〜打消,む〜うちけし,助動詞「む」の打消,「む」は打消推量・打消意志を表す助動詞。「行かむ」は「行かないだろう」。未然形接続。「ず」と混同しないよう注意。現代語「まい」の語源。,助動詞|打消推量|打消意志|未然形|まい|時代:平安時代|種別:古文表現,うつくしきもの。（む〜うちけし）＜かわいいものを列挙する。＞【枕草子】,雪のいと高う降りたるを、例ならず御格子まゐりて、炭櫃に火おこして、物語などして集まりさぶらふに（む〜うちけし）＜雪がたいそう降ったので、いつもと違って御格子を上げ、炭びつに火をおこし、物語などしながら集まってお仕えしているときに。＞【枕草子】
給ふ・賜ふ,たまう,尊敬・謙譲の補助動詞,「給ふ」「賜ふ」は尊敬・謙譲両方で使われる補助動詞。「言ひ給ふ」（おっしゃる）「申し給ふ」（申し上げなさる）。動作の主が誰かで判断。,補助動詞|尊敬|謙譲|給ふ|賜ふ|時代:平安時代|種別:古文表現,いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。（たまう）＜いつの帝の御代であったか。＞【源氏物語】,祇園精舎の鐘の声（たまう）＜この世は無常である。＞【平家物語】
侍り,はべり,丁寧・謙譲の補助動詞,「侍り」は丁寧語・謙譲語の補助動詞。「あり」の丁寧語。「侍り」で文を結ぶと丁寧な表現に。宮中言葉の特徴。,補助動詞|丁寧|謙譲|侍り|あり|時代:平安時代|種別:古文表現,花は盛りに、月は隈なきをのみ、見るものかは（はべり）＜花は満開の時だけ、月は雲のない時だけを見るものだろうか。いや、そうではない。＞【徒然草】,冬はつとめて。（はべり）＜冬は早朝がよい。＞【枕草子】
候ふ,そうろう,丁寧・謙譲の補助動詞,「候ふ」は丁寧語・謙譲語の補助動詞。「あり」の丁寧語。武家の書状で頻出。「〜で候」の形。中世以降に一般化。,補助動詞|丁寧|謙譲|候ふ|武家|時代:鎌倉時代以降|種別:古文表現,友とするにわろき者、七つあり（そうろう）＜友にしてはいけない人が七種類いる。＞【徒然草】,うつくしきもの。（そうろう）＜かわいいものを列挙する。＞【枕草子】
奉る,たてまつる,謙譲の補助動詞,「奉る」は謙譲語の補助動詞。「〜申し上げる」の意。「書き奉る」「申し奉る」。動作を貴人に向けて行う時に使用。,補助動詞|謙譲|奉る|申し上げる|貴人|時代:平安時代|種別:古文表現,中納言参り給ひて、御扇奉らせ給ふに（たてまつる）＜中納言が参上なさって、御扇を差し上げなさるときに。＞【枕草子】,いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。（たてまつる）＜いつの帝の御代であったか。＞【源氏物語】
