語句,読み,意味,解説,関連事項,時代背景,種別
うつくしげなり,うつくしげなり,かわいらしそうだ,「うつくしげなり」は「かわいらしそうだ」「愛らしく見える」の意。「うつくし」に様態の「げなり」が付いた形。外見の評価。,かわいらしい|愛らしい|様態|外見,平安時代,古文表現
いみじう,いみじう,たいそう・はなはだしく,「いみじう」は「いみじ」の連用形で副詞。「たいそう」「はなはだしく」の意。程度の強さを表す最頻出副詞。「いみじう泣く」「いみじう喜ぶ」など。,たいそう|はなはだしく|程度副詞|最頻出,平安時代,古文表現
いかにもいかにも,いかにもいかにも,どうかどうか・何とか,「いかにもいかにも」は「どうかどうか」「何とか」「ぜひとも」の意。「いかに」の繰り返しで強調。強い願望や懇願を表す。,どうか|何とか|ぜひとも|強調,平安時代,古文表現
給ふ,たまう,尊敬・謙譲の補助動詞,「給ふ」は最重要の敬語動詞。本動詞では「与える」「お与えになる」の意。補助動詞として動詞の連用形に付き、尊敬語「〜なさる」または謙譲語「〜申し上げる」の意。主語によって意味が変わる。文脈判断が必須。,敬語|尊敬|謙譲|補助動詞|多義,平安時代,古文重要動詞
奉る,たてまつる,謙譲語・差し上げる,「奉る」は謙譲語の代表的動詞。本動詞では「差し上げる」「献上する」の意。補助動詞として動詞の連用形に付き「〜申し上げる」の意。必ず謙譲の意味。「手紙を奉る」「申し奉る」などの形で頻出。,謙譲語|差し上げる|献上|補助動詞,平安時代,古文重要動詞
聞こゆ,きこゆ,謙譲語・申し上げる,「聞こゆ」は謙譲語の重要動詞。本動詞では「申し上げる」「お聞かせする」の意。補助動詞として動詞の連用形に付き「〜申し上げる」の意。「奉る」より丁寧度が低い。「言ひ聞こゆ」「見え聞こゆ」の形。,謙譲語|申し上げる|補助動詞|丁寧度,平安時代,古文重要動詞
申す,もうす,謙譲語・申す,「申す」は謙譲語の基本動詞。「言ふ」の謙譲語で「申す」「申し上げる」の意。「申し給ふ」で複合敬語になる。「かく申す」「名を申す」などの形で頻出。現代語にも継承された語。,謙譲語|申す|申し上げる|言ふの謙譲,平安時代,古文重要動詞
参る,まいる,謙譲語・参上する,「参る」は謙譲語の動詞。本動詞では「参上する」「伺う」の意。「行く」「来」の謙譲語。補助動詞として「〜申し上げる」の意もある。「参り給ふ」で複合敬語。「宮に参る」などの形。,謙譲語|参上|行くの謙譲|来の謙譲,平安時代,古文重要動詞
侍り,はべり,丁寧語・ございます,「侍り」は丁寧語の代表的動詞。「〜ございます」「〜です」の意。ラ変動詞。「あり」の丁寧語。補助動詞として動詞の連用形に付き丁寧の意を表す。「侍り」は主に男性が使用。,丁寧語|ございます|ラ変|補助動詞,平安時代,古文重要動詞
候ふ,そうろう,丁寧語・ございます,「候ふ」は丁寧語の動詞。「侍り」と同じく「〜ございます」の意。ハ行四段活用。中世以降に頻出。「さぶらふ」とも読む。武士の言葉として発達。「候へば」「候ひき」などの形。,丁寧語|ございます|中世|武士言葉,鎌倉時代以降,古文重要動詞
おはす,おわす,尊敬語・いらっしゃる,「おはす」は尊敬語の重要動詞。「あり」「ゐる」「行く」「来」の尊敬語で「いらっしゃる」「おいでになる」の意。サ行変格活用。「おはします」がより高い敬意。「御前におはす」などの形。,尊敬語|いらっしゃる|サ変|高敬語,平安時代,古文重要動詞
おはします,おわします,最高敬語・いらっしゃる,「おはします」は最高敬語の動詞。「おはす」に尊敬の助動詞「ます」が付いた形。天皇や皇族など最高位の人物に使用。「いらっしゃる」の最高敬語。「御所におはします」の形。,最高敬語|天皇|皇族|複合敬語,平安時代,古文重要動詞
のたまふ,のたまう,尊敬語・おっしゃる,「のたまふ」は尊敬語の重要動詞。「言ふ」の尊敬語で「おっしゃる」「仰せになる」の意。ハ行四段活用。「のたまはく」で名詞句を作る。「かくのたまふ」「のたまひける」などの形で頻出。,尊敬語|おっしゃる|言ふの尊敬|仰せ,平安時代,古文重要動詞
〜給ふ,〜たまう,尊敬の補助動詞,補助動詞「給ふ」は動詞の連用形に付いて尊敬を表す。「〜なさる」「〜される」の意。「見給ふ」「聞き給ふ」「思ひ給ふ」など。文脈で尊敬か謙譲かを判断。動作の主体が高貴な人物なら尊敬。,尊敬|補助動詞|接続|判断,平安時代,古文重要動詞
〜奉る,〜たてまつる,謙譲の補助動詞,補助動詞「奉る」は動詞の連用形に付いて謙譲を表す。「〜申し上げる」の意。「見奉る」「聞き奉る」「申し奉る」など。必ず謙譲の意味で使用。動作の対象が高貴な人物。,謙譲|補助動詞|申し上げる|対象,平安時代,古文重要動詞
〜聞こゆ,〜きこゆ,謙譲の補助動詞,補助動詞「聞こゆ」は動詞の連用形に付いて謙譲を表す。「〜申し上げる」の意。「奉る」より丁寧度が低い。「見え聞こゆ」「言ひ聞こゆ」など。「お聞かせする」の意もある。,謙譲|補助動詞|丁寧度低|お聞かせする,平安時代,古文重要動詞
〜侍り,〜はべり,丁寧の補助動詞,補助動詞「侍り」は動詞の連用形に付いて丁寧を表す。「〜ございます」の意。「あり侍り」「候侍り」など。男性語として使用される。会話文に頻出。,丁寧|補助動詞|男性語|会話,平安時代,古文重要動詞
〜候ふ,〜そうろう,丁寧の補助動詞,補助動詞「候ふ」は動詞の連用形に付いて丁寧を表す。「〜ございます」の意。「あり候ふ」「侍り候ふ」など。中世以降の武家社会で発達。書簡文に頻出。,丁寧|補助動詞|武家|書簡,鎌倉時代以降,古文重要動詞
尊敬語の「れる・られる」,れる・られる,尊敬の助動詞,助動詞「れる・られる」は尊敬・受身・自発・可能の四つの意味を持つ。未然形に接続。文脈で尊敬かどうかを判断。主語が高貴な人物で動作主なら尊敬。「見られる」「言はれる」など。,尊敬|助動詞|受身|自発|可能|識別,平安時代,古文敬語
絶対敬語と相対敬語,絶対敬語・相対敬語,敬語の分類,「絶対敬語」は天皇・皇族など特定の高貴な人物に対してのみ使う敬語。「相対敬語」は話し手と聞き手の上下関係で使い分ける敬語。平安時代は絶対敬語中心。鎌倉時代以降は相対敬語も発達。,絶対敬語|相対敬語|分類|時代,平安時代,古文敬語
二方向の敬語,二方向敬語,複数方向への敬意,一つの文の中で複数の人物に対して敬意を表すこと。例えば動詞に尊敬語を使い、さらに補助動詞で謙譲を表すなど。「申し給ふ」「聞こえ給ふ」などが二方向の敬語の例。主語と対象の両方への敬意。,二方向|複数敬意|複合|主語と対象,平安時代,古文敬語
敬語の識別（給ふの三用法）,たまうの識別,給ふの意味判定,「給ふ」は本動詞「与える」、尊敬の補助動詞「〜なさる」、謙譲の補助動詞「〜申し上げる」の三つの用法がある。動詞の連用形に付けば補助動詞。主語が高貴なら尊敬、動作の対象が高貴なら謙譲。識別問題の頻出項目。,識別|三用法|本動詞|尊敬|謙譲,平安時代,古文敬語
最高敬語（おはします）,おわします,天皇への敬語,「おはします」は天皇や皇族など最高位の人物にのみ使う最高敬語。「おはす」に尊敬の助動詞「ます」が付いた二重敬語。一般の貴族には使わない。絶対敬語の典型例。,最高敬語|天皇|二重敬語|絶対敬語,平安時代,古文敬語
春はあけぼの,はるはあけぼの,枕草子の冒頭,「春はあけぼの。やうやう白くなりゆく山際、少し明かりて、紫だちたる雲の細くたなびきたる。」清少納言『枕草子』の有名な冒頭文。春の美しさを「あけぼの」に見出す。をかしの文学の代表。,枕草子|清少納言|をかし|冒頭文|春,平安時代中期,名文句
夏は夜,なつはよる,枕草子・四季の美,「夏は夜。月のころはさらなり、闇もなほ、蛍の多く飛びちがひたる。」『枕草子』の春夏秋冬論の夏の部分。夏の美しさを夜に見出す。蛍の飛ぶ様子を描写。,枕草子|清少納言|四季|夏|蛍,平安時代中期,名文句
秋は夕暮れ,あきはゆうぐれ,枕草子・四季の美,「秋は夕暮れ。夕日の差して山の端いと近うなりたるに、烏の寝所へ行くとて、三つ四つ、二つ三つなど飛び急ぐさへあはれなり。」『枕草子』の秋の美。夕暮れ時の情趣を描く。,枕草子|清少納言|四季|秋|あはれ,平安時代中期,名文句
冬はつとめて,ふゆはつとめて,枕草子・四季の美,「冬はつとめて。雪の降りたるは言ふべきにもあらず、霜のいと白きも、またさらでもいと寒きに、火など急ぎおこして、炭持て渡るもいとつきづきし。」『枕草子』の冬の美。早朝の寒さと炭火の情景。,枕草子|清少納言|四季|冬|早朝,平安時代中期,名文句
つれづれなるままに,つれづれなるままに,徒然草の冒頭,「つれづれなるままに、日暮らし、硯にむかひて、心にうつりゆくよしなし事を、そこはかとなく書きつくれば、あやしうこそものぐるほしけれ。」兼好法師『徒然草』の有名な冒頭文。無聊の中で随筆を書く動機を述べる。,徒然草|兼好法師|冒頭文|無聊|随筆,鎌倉時代末期,名文句
祇園精舎の鐘の声,ぎおんしょうじゃのかねのこえ,平家物語の冒頭,「祇園精舎の鐘の声、諸行無常の響きあり。沙羅双樹の花の色、盛者必衰の理をあらはす。」『平家物語』の有名な冒頭文。仏教の無常観を表す。平家一門の栄枯盛衰のテーマを示す。,平家物語|冒頭文|無常観|諸行無常|盛者必衰,鎌倉時代,名文句
いづれの御時にか,いずれのおんときにか,源氏物語の冒頭,「いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。」紫式部『源氏物語』の冒頭文。桐壺帝の時代を「いづれの御時にか」とぼかして始まる。,源氏物語|紫式部|冒頭文|桐壺|更衣,平安時代中期,名文句
往ぬ,いぬ,行ってしまう・死ぬ,「往ぬ」は「行く」の強意形で「行ってしまう」「去る」の意。ナ行変格活用。完了・消滅のニュアンスを含む。「鳥も往ぬべし」などの形。「死ぬ」の意味もある。,行く|去る|死ぬ|ナ変|完了,平安時代,古文重要動詞
率る,ゐる,連れて行く・引き連れる,「率る」は「連れて行く」「引き連れる」の意。上一段活用。「具す」と同義。人を伴う動作を表す。「子を率て行く」などの形。現代語「引率」の語源。,連れて行く|引き連れる|上一段|具す,平安時代,古文重要動詞
据う,すう,座らせる・置く,「据う」は「座らせる」「置く」「安置する」の意。ワ行下二段活用。「据ゑる」とも書く。物や人を定位置に配置する。「御座に据う」などの形。,座らせる|置く|下二段|据ゑる,平安時代,古文重要動詞
具す,ぐす,連れて行く・備える,「具す」は「連れて行く」「備える」「揃える」の意。サ行変格活用。「率る」と同義だが硬い表現。「従者を具す」「武具を具す」などの形。,連れて行く|備える|サ変|率る,平安時代,古文重要動詞
消つ,けつ,消える・消滅する,「消つ」は「消える」「消滅する」の意。タ行下二段活用。「消ゆ」とも書く。火や音、人の姿などが消え去る様子。「煙消つ」「音消つ」などの形。,消える|消滅|下二段|消ゆ,平安時代,古文重要動詞
寝,ぬ,寝る・お休みになる,「寝」は「寝る」「臥す」の意。ナ行下二段活用。「寝る」の古形。尊敬語として使うこともある。「御寝」で貴人の就寝。「寝ね給ふ」などの形。,寝る|臥す|下二段|尊敬可,平安時代,古文重要動詞
御す,おす,召し上がる・お乗りになる,「御す」は「召し上がる」「お乗りになる」「召す」の意。サ行変格活用。「めす」とも読む。尊敬語。食事や乗り物に関する動作の尊敬表現。「物を御す」などの形。,召し上がる|お乗りになる|サ変|尊敬語,平安時代,古文重要動詞
あり,あり,ある・いる,「あり」は存在を表す基本動詞。「ある」「いる」「生きている」の意。ラ行変格活用。「侍り」「候ふ」の基となる語。「世にあり」「ありける」など頻出。多義的で文脈判断が重要。,ある|いる|存在|ラ変|基本,平安時代,古文重要動詞
をり,おり,いる・座る,「をり」は「いる」「座る」の意。ラ行変格活用。「居り」と書く。「あり」より具体的な場所での存在を表す。「座す」の意味も。「そこをり」などの形。,いる|座る|ラ変|居り,平安時代,古文重要動詞
あらはす,あらわす,現す・明らかにする,「あらはす」は「現す」「明らかにする」「顕す」の意。サ行四段活用。隠れていたものを見えるようにする。「理をあらはす」「姿をあらはす」などの形。真実を示す。,現す|明らかにする|四段|顕す,平安時代,古文重要動詞
思ほす,おもおす,お思いになる・思召す,「思ほす」は「思ふ」の尊敬語で「お思いになる」「思召す」の意。サ行四段活用。貴人の思考を表す尊敬表現。「かく思ほす」「思ほし召す」などの形で頻出。,お思いになる|思召す|尊敬|四段,平安時代,古文重要動詞
忍ぶ,しのぶ,耐える・隠れる・人目を避ける,「忍ぶ」は「耐える」「隠れる」「我慢する」の意。バ行四段活用。秘密を守る、苦難に耐える、密かに行動する。「恋を忍ぶ」「忍びて行く」など。多義語。,耐える|隠れる|我慢|四段|多義,平安時代,古文重要動詞
やる,やる,送る・やる・追いやる,「やる」は「送る」「やる」「追いやる」の意。ラ行四段活用。「遣る」と書く。手紙や使者を送る。気持ちを晴らす。「文をやる」「心をやる」などの形。,送る|やる|追いやる|四段|遣る,平安時代,古文重要動詞
経,へ,過ぎる・経る・時が経つ,「経」は「過ぎる」「経る」の意。ハ行下二段活用。時間が経過する。場所を通り過ぎる。「年を経」「月日経ぬ」などの形。時の経過を表す重要語。,過ぎる|経る|時間|下二段|経過,平安時代,古文重要動詞
果つ,はつ,終わる・死ぬ・やり遂げる,「果つ」は「終わる」「死ぬ」「やり遂げる」の意。タ行下二段活用。完結・完了を表す。命が尽きる意味も。「語り果つ」「果てぬ」などの形。,終わる|死ぬ|完了|下二段|完結,平安時代,古文重要動詞
飽く,あく,満足する・飽きる,「飽く」は「満足する」「飽きる」「十分になる」の意。カ行四段活用。欲求が満たされる。「見飽く」「聞き飽く」などの形。現代語とほぼ同じ用法。,満足|飽きる|四段|充足,平安時代,古文重要動詞
堪ふ,たう,耐える・我慢する,「堪ふ」は「耐える」「我慢する」「こらえる」の意。ハ行下二段活用。苦痛や感情を抑える。否定形「堪へず」で「耐えられない」。「堪へかねて」などの形で頻出。,耐える|我慢|下二段|こらえる,平安時代,古文重要動詞
むつぶ,むつぶ,親しくする・仲良くする,「むつぶ」は「親しくする」「仲良くする」の意。バ行四段活用。「睦ぶ」と書く。人と親密な関係を持つ。「むつびかはす」「むつましく」などの形。,親しくする|仲良く|四段|睦ぶ,平安時代,古文重要動詞
おこなふ,おこなう,修行する・仏道修行,「おこなふ」は「行う」「修行する」の意。ハ行四段活用。特に仏教の修行を指すことが多い。「法をおこなふ」「おこなひ澄ます」などの形。宗教的実践。,行う|修行|仏道|四段|宗教,平安時代,古文重要動詞
謙譲語Ⅱ（丁重語）,謙譲語Ⅱ,丁重語の概念,謙譲語Ⅱ（丁重語）は、動作の向かう先ではなく、話し手が聞き手に対して丁重に述べる表現。「参る」「申す」「存ず」など。動作の対象に敬意を表すのではなく、話し手の謙虚な態度を示す。,謙譲語Ⅱ|丁重語|話し手|聞き手|態度,平安時代,古文敬語
複合敬語,複合敬語,敬語の重ね方,複合敬語は二つ以上の敬語表現を組み合わせたもの。「申し給ふ」（謙譲+尊敬）、「おはします」（尊敬+尊敬）など。より高い敬意を表す。「のたまはせ給ふ」のような三重敬語もある。,複合敬語|二重敬語|組み合わせ|高敬意,平安時代,古文敬語
敬意の方向,敬意の方向,敬語の向き,敬語には「誰から誰への敬意か」という方向性がある。尊敬語は動作の主体に敬意、謙譲語は動作の対象に敬意。複数の人物が登場する文では、敬語の方向を正しく把握することが読解の鍵。,敬意|方向|主体|対象|読解,平安時代,古文敬語
敬語の省略,敬語の省略,敬語表現の簡略化,会話文や親しい間柄では敬語が省略されることがある。「給ふ」が省かれたり、簡略な形になったりする。文脈から補って理解する必要がある。「のたまふ」→「言ふ」など。,省略|簡略化|会話|文脈|理解,平安時代,古文敬語
お・ご（接頭語）,お・ご,美化語の接頭語,「お」「ご」は名詞に付いて丁寧さや美しさを添える接頭語。「お手紙」「ご返事」など。古文では「御」と書く。「御文」「御返り」などの形。美化語として機能。,接頭語|美化語|御|丁寧|名詞,平安時代,古文敬語
身分による敬語の違い,身分と敬語,社会階層と敬語,古文の敬語は話し手と相手の身分関係で使い分けられる。天皇・皇族には最高敬語、貴族間では通常敬語、庶民には敬語を使わないなど。身分社会を反映した言語表現。,身分|階層|社会|使い分け|天皇,平安時代,古文敬語
うつくしきもの,うつくしきもの,枕草子の名段,「うつくしきもの。瓜にかきたるちごの顔。すずめの子の、ねず鳴きするに躍り来る。」『枕草子』の有名な段。「うつくし」はかわいいものの意。小さくてかわいいものを列挙。清少納言の鋭い観察眼。,枕草子|清少納言|かわいい|観察|小さい,平安時代中期,名文句
木は桜,きはさくら,枕草子・植物論,「木は、桜。花は濃くて葉は薄きが、いと面白し。」『枕草子』の植物論の一節。桜を最高の木として賛美。をかしの美意識。簡潔な表現で美を語る清少納言の文体。,枕草子|清少納言|桜|植物|をかし,平安時代中期,名文句
雪のいと高う降りたるを,ゆきのいとたこうふりたるを,枕草子の名場面,「雪のいと高う降りたるを、例ならず御格子まゐりて、炭櫃に火おこして、物語などして集まりさぶらふに」『枕草子』の冬の情景。雪の日の宮中の優雅な様子を描く。,枕草子|清少納言|雪|宮中|優雅,平安時代中期,名文句
中納言参り給ひて,ちゅうなごんまいりたまいて,枕草子の名場面,「中納言参り給ひて、御扇奉らせ給ふに」から始まる有名な場面。中納言定子が清少納言に扇を贈る場面。「香炉峰の雪」の故事を引いた知的な遊び。才女同士の交流。,枕草子|清少納言|中納言|扇|香炉峰,平安時代中期,名文句
仁和寺にある法師,にんなじにあるほうし,徒然草の名段,「仁和寺にある法師、年寄るまで、石清水を拝まざりければ」で始まる話。目的地の本社まで行かず麓で帰った失敗談。「少しのことにも先達はあらまほしきことなり」の教訓。,徒然草|兼好法師|失敗|教訓|先達,鎌倉時代末期,名文句
高名の木登り,こうみょうのきのぼり,徒然草の名段,「高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに」で始まる話。危険は油断した時に起こるという教訓。「あやふき時は言はで、やすき時に教へけり」の名言。,徒然草|兼好法師|教訓|油断|安全,鎌倉時代末期,名文句
奥山に猫またといふもの,おくやまにねこまたというもの,徒然草の逸話,「奥山に、猫またといふものありて、人を食ふなる」という怪異譚。山中で恐怖に怯えていたら、実は飼っていた犬だったという話。恐怖心理を描く。思い込みの危険性。,徒然草|兼好法師|怪異|恐怖|心理,鎌倉時代末期,名文句
花は盛りに,はなはさかりに,徒然草の美意識,「花は盛りに、月は隈なきをのみ、見るものかは」で始まる有名な段。完璧なものだけを美とするのではなく、衰えや不完全さにも美を見出す。無常観に基づく美意識。,徒然草|兼好法師|美意識|無常|不完全,鎌倉時代末期,名文句
つれづれなるままに日暮らし,つれづれなるままにひぐらし,徒然草の心境,徒然草冒頭の一節。「つれづれなるままに、日暮らし、硯にむかひて」と続く。退屈な日々を硯に向かって過ごす兼好法師の姿。随筆執筆の動機を率直に述べる。,徒然草|兼好法師|退屈|執筆|動機,鎌倉時代末期,名文句
世にしたがへば,よにしたがえば,徒然草の処世訓,「世にしたがへば、身苦し。したがはねば、狂へるに似たり」という処世訓。世間に従えば窮屈、従わねば変人扱い。どちらを選ぶかの苦悩。兼好の人生観を示す。,徒然草|兼好法師|処世|人生観|苦悩,鎌倉時代末期,名文句
一事を必ず成さんと思はば,いちじをかならずなさんとおもわば,徒然草の教訓,「一事を必ず成さんと思はば、他の事の破るるをも傷むべからず」という教訓。一つのことを成し遂げようと思うなら、他のことが損なわれても気にするな。専念の重要性。,徒然草|兼好法師|教訓|専念|集中,鎌倉時代末期,名文句
友とするにわろき者,ともとするにわろきもの,徒然草の人物論,「友とするにわろき者、七つあり」で始まる段。悪い友人の特徴を列挙。「一つには、高く、やんごとなき人」など七項目。友人選びの基準を示す。,徒然草|兼好法師|友人|人物論|基準,鎌倉時代末期,名文句
ゆく河の流れは絶えずして,ゆくかわのながれはたえずして,方丈記の冒頭,「ゆく河の流れは絶えずして、しかももとの水にあらず」で始まる『方丈記』の有名な冒頭文。諸行無常を水の流れに喩える。鴨長明の無常観を象徴的に表現。,方丈記|鴨長明|無常|水|流れ,鎌倉時代,名文句
男もすなる日記,おとこもすなるにっき,土佐日記の冒頭,「男もすなる日記といふものを、女もしてみむとて、するなり」という『土佐日記』の冒頭。男が書く日記を女性も書いてみようという趣向。紀貫之が女性の視点で書く仮名日記。,土佐日記|紀貫之|冒頭|女性視点|仮名,平安時代中期,名文句
今は昔,いまはむかし,今昔物語集の決まり文句,「今は昔」は『今昔物語集』の各話の冒頭に現れる決まり文句。「今となっては昔のことだが」の意。説話を語り始める定型表現。約千話すべてがこの言葉で始まる。,今昔物語集|冒頭|決まり文句|説話|定型,平安時代末期,名文句
月やあらぬ,つきやあらぬ,伊勢物語・東下り,「月やあらぬ、春や昔の春ならぬ、我が身ひとつはもとの身にして」という和歌。『伊勢物語』東下りの段。月も春も変わらないが、自分だけが変わってしまった嘆き。在原業平の心情。,伊勢物語|在原業平|和歌|東下り|嘆き,平安時代初期,名文句
世の中にたえて桜のなかりせば,よのなかにたえてさくらのなかりせば,古今和歌集の名歌,「世の中にたえて桜のなかりせば、春の心はのどけからまし」という在原業平の和歌。桜がなければ春は穏やかなのにという逆説。桜への複雑な思い。『古今和歌集』収録。,古今和歌集|在原業平|和歌|桜|春,平安時代初期,名文句
いと,いと,非常に・とても,程度が著しいことを表す副詞。現代語の「とても」「非常に」に相当。「いと美し」「いとをかし」のように形容詞を修飾する最頻出副詞。『源氏物語』などで多用される。,副詞|程度|美しい|をかし|頻出,-,古文単語
いみじ,いみじ,非常に・ひどく,程度が甚だしいことを表す形容詞。連用形「いみじう」「いみじく」が副詞的に使われる。良い意味にも悪い意味にも用いる。「いみじう泣く」「いみじき美人」。,形容詞|程度|甚だしい|連用形|副詞,平安時代,古文単語
いとど,いとど,いっそう・ますます,程度が増すことを表す副詞。「さらにいとど」のように他の副詞と呼応することも。既にある状態がさらに増す意。「いとど心細し」。,副詞|程度|増加|心細し|呼応,-,古文単語
さらに,さらに,全く〜ない（打消と呼応）,打消の語と呼応して「全く〜ない」「決して〜ない」の意を表す副詞。「さらに知らず」「さらになし」。打消と呼応しない場合は「改めて」「さっぱり」の意。,副詞|打消呼応|全く|決して|知らず,-,古文単語
つゆ,つゆ,少しも〜ない（打消と呼応）,打消の語と呼応して「少しも〜ない」「全く〜ない」の意。露のように僅かなことさえない意。「つゆ知らず」「つゆ思はず」。元は名詞「露」から。,副詞|打消呼応|少しも|露|僅か,平安時代,古文単語
え,え,〜できない（打消と呼応）,打消の語と呼応して不可能を表す副詞。「え行かず」「え言はず」。能力的・状況的に不可能な意。「得」の副詞化とされる。,副詞|打消呼応|不可能|できない|状況,-,古文単語
よも,よも,まさか〜ないだろう（打消と呼応）,打消の語と呼応して否定的推量を表す副詞。「よもあらじ」「よも知らじ」。話し手の否定的な推測・期待。反語的に用いることも。,副詞|打消呼応|推量|否定|まさか,-,古文単語
まさに,まさに,ちょうど・今にも,時間的な適切性や切迫を表す副詞。「まさに言はむとす」「まさに死なむとす」。「正に」の字義から。現代語の「まさに」とほぼ同義。,副詞|時間|切迫|ちょうど|適切,-,古文単語
やがて,やがて,そのまま・すぐに,時間的・状態的な連続を表す副詞。現代語の「やがて」とは異なり「すぐに」「そのまま」の意。「やがて帰る」「やがて寝入る」。,副詞|時間|連続|すぐに|そのまま,平安時代,古文単語
ゆめ,ゆめ,決して〜するな（打消と呼応）,禁止を表す副詞。打消の語と呼応して「決して〜するな」の意。「ゆめ語るな」「ゆめ忘るな」。夢のように儚い意から。,副詞|打消呼応|禁止|決して|命令,-,古文単語
よに,よに,世間で・非常に,「世に」と書く。「世間では」の意と、「非常に」の意の二義。「よに聞こゆ」「よに珍しき」。文脈で判断。,副詞|世間|程度|非常に|二義,平安時代,古文単語
いたう,いたう,ひどく・非常に,程度が激しいことを表す副詞。形容詞「いたし」の連用形から。「いたう泣く」「いたう寒し」。現代語の「いたく」。,副詞|程度|激しい|連用形|いたし,平安時代,古文単語
なほ,なほ,やはり・それでも,前の状態が変わらない意や、逆接の意を表す副詞。「なほ行く」「なほ美し」。現代語の「なお」に相当。期待に反する継続。,副詞|継続|逆接|やはり|それでも,-,古文単語
ひたすら,ひたすら,ひたすら・一途に,他のことを考えず一つのことに集中する意の副詞。「ひたすら思ふ」「ひたすら祈る」。現代語とほぼ同義。「ひた」は接頭語。,副詞|専心|一途|集中|ひた,平安時代,古文単語
ゆゆし,ゆゆし,不吉だ・立派だ,形容詞で、不吉・恐ろしい意と、立派・素晴らしい意の両義。文脈で判断。「ゆゆしき夢」「ゆゆしき人」。連用形「ゆゆしく」が副詞的に使われる。,形容詞|不吉|立派|両義|恐ろしい,平安時代,古文単語
あへて,あへて,決して〜ない（打消と呼応）,打消の語と呼応して強い否定を表す副詞。「あへて言はず」「あへて知らず」。現代語の「敢えて」とは意味が異なる。,副詞|打消呼応|強否定|決して|敢えて,-,古文単語
かく,かく,このように・こう,近称の指示副詞。話し手に近い事柄を指す。「かく申す」「かくて過ぐす」。現代語の「こう」「このように」。「然く」と書く。,副詞|指示|近称|このように|こう,-,古文単語
かかる,かかる,このような・こんな,近称の連体詞。「かく」の連体形。「かかる事」「かかる時」。現代語の「こんな」「このような」に相当。,連体詞|指示|近称|このような|こんな,-,古文単語
さ,さ,そう・そのように,中称の指示副詞。「そう」「そのように」の意。「さ思ふ」「さあらば」。現代語の「そう」に相当。「然」と書く。,副詞|指示|中称|そう|そのように,-,古文単語
などか,などか,どうして〜ないのか（反語）,疑問の副詞「など」に係助詞「か」が付いた形。打消と呼応して反語を表す。「などか知らざらむ」（どうして知らないことがあろうか、知っているはずだ）。,副詞|疑問|反語|打消呼応|どうして,平安時代,古文単語
さて,さて,そうして・ところで,接続詞。前の事柄を受けて次に移る。「そうして」「それで」の意と、話題転換の「ところで」の意。「さてその後」。,接続詞|順接|話題転換|そうして|ところで,-,古文単語
さるは,さるは,そうは言うものの,接続詞。逆接を表す。「さ（そう）ある（言う）は」の意。「さるはかく思ふ」（そうは言うものの、こう思う）。,接続詞|逆接|そうは言うものの|しかし|けれども,平安時代,古文単語
されば,されば,だから・それゆえに,接続詞。原因・理由を受けて結果を導く。「さあれば」が縮まった形。「されば申す」（だから申し上げる）。,接続詞|順接|原因|結果|だから,-,古文単語
しかれども,しかれども,しかしながら,接続詞。逆接を表す。「しか（そう）あれども」の意。「しかれども行かず」（しかしながら行かない）。現代語の「しかれども」。,接続詞|逆接|しかしながら|けれども|然れども,平安時代,古文単語
ここに,ここに,ここで・この時,接続詞的に使われ、話の展開を示す。「ここで」「この時」「すると」の意。「ここに一人の僧あり」（ここに一人の僧がいた）。,接続詞|展開|ここで|この時|すると,-,古文単語
御前,おまえ・ごぜん,貴人の前・貴人の居場所,貴人のいる場所や、貴人の前を指す尊敬語。「御前に参る」（貴人の前に参上する）。現代語の「おまえ」とは全く異なる。,名詞|尊敬語|貴人|宮中|居場所,平安時代,古文単語
女房,にょうぼう,宮中・貴族の家に仕える女性,宮中や貴族の邸宅で仕える女性。侍女。身分の高い女性も含む。「女房たち集まりて」。現代語の「妻」の意味ではない。,名詞|女性|宮中|侍女|貴族,平安時代,古文単語
局,つぼね,女房の部屋,宮中や貴族邸で、女房が使う個室。「局に籠る」。転じて、その部屋の主である女房を指すこともある。,名詞|部屋|女房|宮中|個室,平安時代,古文単語
君達,きんだち,貴族の子弟,貴族の息子や娘を指す敬称。「きんだち」と読む。「若君達」などの形で使われる。身分の高い若者への呼称。,名詞|敬称|貴族|子弟|若者,平安時代,古文単語
御曹司,おんぞうし,貴族の子息,貴族の息子、特に嫡子を指す敬称。「ぞうし」は「蔵人」の転。現代語では総理大臣の息子などに使われる。,名詞|敬称|貴族|子息|嫡子,平安時代,古文単語
上,うえ,身分の高い人,高貴な人、主人、天皇などを指す敬称。「上に申す」「上の御前」。文脈により意味が変わる多義語。,名詞|敬称|身分|主人|天皇,平安時代,古文単語
宮仕え,みやづかえ,宮中に仕えること,宮中や貴族の邸宅で働くこと。特に女性が宮中で女房として仕えること。「宮仕えに出づ」。,名詞|動詞|宮中|仕える|女房,平安時代,古文単語
