語句,発音（カタカナ）,和訳,語源等解説（日本語）,関連語（英語）と意味（日本語）,関連分野（日本語）,難易度
come down,カム ダウン,来る 下/減少/故障（直訳的: come+down）,句動詞（come + down）。'come' は「来る・発生する」、'down' は「下・減少・故障」を示し、結びついて「来る 下/減少/故障（直訳的: come+down）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,come: 来る・発生する: 来る 下/減少/故障（直訳的: come+down）; down: 下・減少・故障: 来る 下/減少/故障（直訳的: come+down）,学校・学習,1
as soon as,アズ soon アズ,as soon（直訳的: as+soon）,句動詞（as + soon）。'as' は「as」、'soon' は「soon」を示し、結びついて「as soon（直訳的: as+soon）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,as: （訳語未設定）: as soon（直訳的: as+soon）; as soon as: できるだけ早く: as soon（直訳的: as+soon）,学校・学習,2
a lot of,a lot オブ,a lot（直訳的: a+lot）,句動詞（a + lot）。'a' は「a」、'lot' は「多く」を示し、結びついて「a lot（直訳的: a+lot）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,a: （訳語未設定）: a lot（直訳的: a+lot）; of: （訳語未設定）: a lot（直訳的: a+lot）,学校・学習,1
each other,エアクハ オスエル,each other（直訳的: each+other）,句動詞（each + other）。'each' は「それぞれ」、'other' は「other」を示し、結びついて「each other（直訳的: each+other）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,each: それぞれ: each other（直訳的: each+other）; other: （意味未設定）: each other（直訳的: each+other）; each other: お互いに: each other（直訳的: each+other）,学校・学習,1
be good at,be good アット,be good（直訳的: be+good）,句動詞（be + good）。'be' は「〜である」、'good' は「良い」を示し、結びついて「be good（直訳的: be+good）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,be: 〜である: be good（直訳的: be+good）; at: 〜で（場所: be good（直訳的: be+good）; 時間）: be good（直訳的: be+good）,学校・学習,1
be interested in,be interested イン,be interested（直訳的: be+interested）,句動詞（be + interested）。'be' は「〜である」、'interested' は「interested」を示し、結びついて「be interested（直訳的: be+interested）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,be: 〜である: be interested（直訳的: be+interested）; in: 中・内部・完了: be interested（直訳的: be+interested）,学校・学習,1
be proud of,be proud オブ,be proud（直訳的: be+proud）,句動詞（be + proud）。'be' は「〜である」、'proud' は「proud」を示し、結びついて「be proud（直訳的: be+proud）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,be: 〜である: be proud（直訳的: be+proud）; of: （訳語未設定）: be proud（直訳的: be+proud）,学校・学習,1
be afraid of,be afraid オブ,be afraid（直訳的: be+afraid）,句動詞（be + afraid）。'be' は「〜である」、'afraid' は「afraid」を示し、結びついて「be afraid（直訳的: be+afraid）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,be: 〜である: be afraid（直訳的: be+afraid）; of: （訳語未設定）: be afraid（直訳的: be+afraid）,学校・学習,1
be responsible for,be responsible フォー,be responsible（直訳的: be+responsible）,句動詞（be + responsible）。'be' は「〜である」、'responsible' は「responsible」を示し、結びついて「be responsible（直訳的: be+responsible）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,be: 〜である: be responsible（直訳的: be+responsible）; for: 〜のため・方向: be responsible（直訳的: be+responsible）,学校・学習,1
be similar to,be similar トゥ,be similar（直訳的: be+similar）,句動詞（be + similar）。'be' は「〜である」、'similar' は「similar」を示し、結びついて「be similar（直訳的: be+similar）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,be: 〜である: be similar（直訳的: be+similar）; to: 〜へ: be similar（直訳的: be+similar）; 〜に: be similar（直訳的: be+similar）,学校・学習,1
be different from,be different フロム,be different（直訳的: be+different）,句動詞（be + different）。'be' は「〜である」、'different' は「different」を示し、結びついて「be different（直訳的: be+different）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,be: 〜である: be different（直訳的: be+different）; from: 〜から: be different（直訳的: be+different）,学校・学習,1
because of,because オブ,because of（直訳的: because+of）,句動詞（because + of）。'because' は「because」、'of' は「of」を示し、結びついて「because of（直訳的: because+of）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,because: （意味未設定）: because of（直訳的: because+of）; of: （訳語未設定）: because of（直訳的: because+of）,学校・学習,1
in front of,イン front オブ,in front（直訳的: in+front）,句動詞（in + front）。'in' は「in」、'front' は「front」を示し、結びついて「in front（直訳的: in+front）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,in: 中・内部・完了: in front（直訳的: in+front）; of: （訳語未設定）: in front（直訳的: in+front）; in front of: 〜の前に: 中・内部,学校・学習,2
on top of,オン top オブ,on top（直訳的: on+top）,句動詞（on + top）。'on' は「on」、'top' は「top」を示し、結びついて「on top（直訳的: on+top）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,on: 上・接触（装着や起動）: on top（直訳的: on+top）; of: （訳語未設定）: on top（直訳的: on+top）; on top of: 〜の上に: 上（装着・電源）,学校・学習,1
in spite of,イン spite オブ,in spite（直訳的: in+spite）,句動詞（in + spite）。'in' は「in」、'spite' は「spite」を示し、結びついて「in spite（直訳的: in+spite）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,in: 中・内部・完了: in spite（直訳的: in+spite）; of: （訳語未設定）: in spite（直訳的: in+spite）; in spite of: 〜にもかかわらず: 中・内部,学校・学習,2
according to,according トゥ,according 〜へ（直訳的: according+to）,句動詞（according + to）。'according' は「according」、'to' は「〜へ/〜に」を示し、結びついて「according 〜へ（直訳的: according+to）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,according: （意味未設定）: according 〜へ（直訳的: according+to）; to: 〜へ: according 〜へ（直訳的: according+to）; 〜に: according 〜へ（直訳的: according+to）; according to: 〜によれば: according 〜へ（直訳的: according+to）,学校・学習,1
thanks to,thanks トゥ,thanks 〜へ（直訳的: thanks+to）,句動詞（thanks + to）。'thanks' は「thanks」、'to' は「〜へ/〜に」を示し、結びついて「thanks 〜へ（直訳的: thanks+to）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,thanks: （意味未設定）: thanks 〜へ（直訳的: thanks+to）; to: 〜へ: thanks 〜へ（直訳的: thanks+to）; 〜に: thanks 〜へ（直訳的: thanks+to）; thanks to: 〜のおかげで: thanks 〜へ（直訳的: thanks+to）,学校・学習,1
in order to,イン order トゥ,in order（直訳的: in+order）,句動詞（in + order）。'in' は「in」、'order' は「order」を示し、結びついて「in order（直訳的: in+order）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,in: 中・内部・完了: in order（直訳的: in+order）; to: 〜へ: in order（直訳的: in+order）; 〜に: in order（直訳的: in+order）; in order to: 〜するために: 中・内部,学校・学習,2
as well as,アズ well アズ,as well（直訳的: as+well）,句動詞（as + well）。'as' は「as」、'well' は「well」を示し、結びついて「as well（直訳的: as+well）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,as: （訳語未設定）: as well（直訳的: as+well）; as well as: 〜に加えて: as well（直訳的: as+well）,学校・学習,2
as far as,アズ far アズ,as far（直訳的: as+far）,句動詞（as + far）。'as' は「as」、'far' は「far」を示し、結びついて「as far（直訳的: as+far）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,as: （訳語未設定）: as far（直訳的: as+far）,学校・学習,2
as long as,アズ long アズ,as long（直訳的: as+long）,句動詞（as + long）。'as' は「as」、'long' は「long」を示し、結びついて「as long（直訳的: as+long）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,as: （訳語未設定）: as long（直訳的: as+long）,学校・学習,2
by means of,バイ means オブ,by means（直訳的: by+means）,句動詞（by + means）。'by' は「by」、'means' は「means」を示し、結びついて「by means（直訳的: by+means）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,by: （訳語未設定）: by means（直訳的: by+means）; of: （訳語未設定）: by means（直訳的: by+means）; by means of: 〜によって: by means（直訳的: by+means）,学校・学習,1
at first,アット first,at first（直訳的: at+first）,句動詞（at + first）。'at' は「at」、'first' は「first」を示し、結びついて「at first（直訳的: at+first）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,at: 〜で（場所: at first（直訳的: at+first）; 時間）: at first（直訳的: at+first）; first: （意味未設定）: at first（直訳的: at+first）; at first: 最初に: 〜で,学校・学習,1
at last,アット last,at last（直訳的: at+last）,句動詞（at + last）。'at' は「at」、'last' は「last」を示し、結びついて「at last（直訳的: at+last）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,at: 〜で（場所: at last（直訳的: at+last）; 時間）: at last（直訳的: at+last）; last: （意味未設定）: at last（直訳的: at+last）; at last: ついに: 〜で,学校・学習,1
in fact,イン fact,in fact（直訳的: in+fact）,句動詞（in + fact）。'in' は「in」、'fact' は「fact」を示し、結びついて「in fact（直訳的: in+fact）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,in: 中・内部・完了: in fact（直訳的: in+fact）; fact: （意味未設定）: in fact（直訳的: in+fact）; in fact: 実際に: 中・内部,学校・学習,2
of course,オブ course,of course（直訳的: of+course）,句動詞（of + course）。'of' は「of」、'course' は「course」を示し、結びついて「of course（直訳的: of+course）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,of: （訳語未設定）: of course（直訳的: of+course）; course: （意味未設定）: of course（直訳的: of+course）; of course: もちろん: of course（直訳的: of+course）,学校・学習,2
take care of,テイク care オブ,取る care（直訳的: take+care）,句動詞（take + care）。'take' は「取る・持っていく・始める」、'care' は「care」を示し、結びついて「取る care（直訳的: take+care）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,take: 取る・持っていく・始める: 取る care（直訳的: take+care）; of: （訳語未設定）: 取る care（直訳的: take+care）; take care of: 世話をする: 取る,学校・学習,1
pay attention to,pay attention トゥ,注意を払う,句動詞（pay + attention）。'pay' は「pay」、'attention' は「attention」を示し、結びついて「注意を払う」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,pay: （訳語未設定）: 注意を払う; to: 〜へ: 注意を払う; 〜に: 注意を払う; pay attention to: 注意を払う: 払う,学校・学習,1
get rid of,ゲット rid オブ,得る/起きる/入手する rid（直訳的: get+rid）,句動詞（get + rid）。'get' は「得る・到達する・起きる」、'rid' は「rid」を示し、結びついて「得る/起きる/入手する rid（直訳的: get+rid）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,get: 得る・到達する・起きる: 得る/起きる/入手する rid（直訳的: get+rid）; of: （訳語未設定）: 得る/起きる/入手する rid（直訳的: get+rid）; get rid of: 取り除く: 得る／起きる,学校・学習,1
look forward to,ルック forward トゥ,楽しみにする,句動詞（look + forward）。'look' は「見る・調べる」、'forward' は「forward」を示し、結びついて「楽しみにする」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,look: 見る・調べる: 楽しみにする; to: 〜へ: 楽しみにする; 〜に: 楽しみにする; look forward to: 楽しみにする: 見る,学校・学習,1
look up to,ルック アップ トゥ,見る 上/完了/増加（直訳的: look+up）,句動詞（look + up）。'look' は「見る・調べる」、'up' は「上・完了・増加」を示し、結びついて「見る 上/完了/増加（直訳的: look+up）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,look: 見る・調べる: 見る 上/完了/増加（直訳的: look+up）; to: 〜へ: 見る 上/完了/増加（直訳的: look+up）; 〜に: 見る 上/完了/増加（直訳的: look+up）,学校・学習,1
run out of,ラン アウト オブ,〜がなくなる,句動詞（run + out）。'run' は「走る・続く・使い切る」、'out' は「外側・除去・完了」を示し、結びついて「〜がなくなる」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,run: 走る・続く・使い切る: 〜がなくなる; of: （訳語未設定）: 〜がなくなる; run out of: 〜がなくなる: 走る／続く,学校・学習,1
put up with,プット アップ ウィズ,我慢する,句動詞（put + up）。'put' は「置く・設置する・与える」、'up' は「上・完了・増加」を示し、結びついて「我慢する」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,put: 置く・設置する・与える: 我慢する; with: 一緒に・手段: 我慢する; put up with: 我慢する: 置く,学校・学習,1
come up with,カム アップ ウィズ,来る 上/完了/増加（直訳的: come+up）,句動詞（come + up）。'come' は「来る・発生する」、'up' は「上・完了・増加」を示し、結びついて「来る 上/完了/増加（直訳的: come+up）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,come: 来る・発生する: 来る 上/完了/増加（直訳的: come+up）; with: 一緒に・手段: 来る 上/完了/増加（直訳的: come+up）,学校・学習,1
catch up with,catch アップ ウィズ,catch 上/完了/増加（直訳的: catch+up）,句動詞（catch + up）。'catch' は「catch」、'up' は「上・完了・増加」を示し、結びついて「catch 上/完了/増加（直訳的: catch+up）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,catch: （意味未設定）: catch 上/完了/増加（直訳的: catch+up）; with: 一緒に・手段: catch 上/完了/増加（直訳的: catch+up）,動物,1
keep up with,キープ アップ ウィズ,保つ 上/完了/増加（直訳的: keep+up）,句動詞（keep + up）。'keep' は「保つ・維持する」、'up' は「上・完了・増加」を示し、結びついて「保つ 上/完了/増加（直訳的: keep+up）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,keep: 保つ・維持する: 保つ 上/完了/増加（直訳的: keep+up）; up: 上・完了・増加: 保つ 上/完了/増加（直訳的: keep+up）,学校・学習,1
break up,break アップ,壊す/中断する 上/完了/増加（直訳的: break+up）,句動詞（break + up）。'break' は「壊す・中断する」、'up' は「上・完了・増加」を示し、結びついて「壊す/中断する 上/完了/増加（直訳的: break+up）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,break: 壊す・中断する: 壊す/中断する 上/完了/増加（直訳的: break+up）; up: 上・完了・増加: 壊す/中断する 上/完了/増加（直訳的: break+up）,学校・学習,1
break down,break ダウン,壊す/中断する 下/減少/故障（直訳的: break+down）,句動詞（break + down）。'break' は「壊す・中断する」、'down' は「下・減少・故障」を示し、結びついて「壊す/中断する 下/減少/故障（直訳的: break+down）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,break: 壊す・中断する: 壊す/中断する 下/減少/故障（直訳的: break+down）; down: 下・減少・故障: 壊す/中断する 下/減少/故障（直訳的: break+down）,学校・学習,1
break on,break オン,壊す/中断する 上/接触/動作開始（直訳的: break+on）,句動詞（break + on）。'break' は「壊す・中断する」、'on' は「上・接触（装着や起動）」を示し、結びついて「壊す/中断する 上/接触/動作開始（直訳的: break+on）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,break: 壊す・中断する: 壊す/中断する 上/接触/動作開始（直訳的: break+on）; on: 上・接触（装着や起動）: 壊す/中断する 上/接触/動作開始（直訳的: break+on）,学校・学習,1
break off,break オフ,壊す/中断する 離脱（直訳的: break+off）,句動詞（break + off）。'break' は「壊す・中断する」、'off' は「離脱・停止」を示し、結びついて「壊す/中断する 離脱（直訳的: break+off）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,break: 壊す・中断する: 壊す/中断する 離脱（直訳的: break+off）; off: 離脱・停止: 壊す/中断する 離脱（直訳的: break+off）,学校・学習,1
break in,break イン,壊す/中断する 中/内部/完了（直訳的: break+in）,句動詞（break + in）。'break' は「壊す・中断する」、'in' は「中・内部・完了」を示し、結びついて「壊す/中断する 中/内部/完了（直訳的: break+in）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,break: 壊す・中断する: 壊す/中断する 中/内部/完了（直訳的: break+in）; in: 中・内部・完了: 壊す/中断する 中/内部/完了（直訳的: break+in）,学校・学習,1
break out,break アウト,壊す/中断する 外/除去/完了（直訳的: break+out）,句動詞（break + out）。'break' は「壊す・中断する」、'out' は「外側・除去・完了」を示し、結びついて「壊す/中断する 外/除去/完了（直訳的: break+out）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,break: 壊す・中断する: 壊す/中断する 外/除去/完了（直訳的: break+out）; out: 外側・除去・完了: 壊す/中断する 外/除去/完了（直訳的: break+out）,学校・学習,1
break over,break オーバー,壊す/中断する 越える/再び/終わる（直訳的: break+over）,句動詞（break + over）。'break' は「壊す・中断する」、'over' は「上・越えて」を示し、結びついて「壊す/中断する 越える/再び/終わる（直訳的: break+over）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,break: 壊す・中断する: 壊す/中断する 越える/再び/終わる（直訳的: break+over）; over: 上・越えて: 壊す/中断する 越える/再び/終わる（直訳的: break+over）,学校・学習,1
break away,break アウェイ,壊す/中断する 離れて（直訳的: break+away）,句動詞（break + away）。'break' は「壊す・中断する」、'away' は「離れて・放棄」を示し、結びついて「壊す/中断する 離れて（直訳的: break+away）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,break: 壊す・中断する: 壊す/中断する 離れて（直訳的: break+away）; away: 離れて・放棄: 壊す/中断する 離れて（直訳的: break+away）,学校・学習,1
break back,break バック,壊す/中断する 戻る（直訳的: break+back）,句動詞（break + back）。'break' は「壊す・中断する」、'back' は「戻る・復帰」を示し、結びついて「壊す/中断する 戻る（直訳的: break+back）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,break: 壊す・中断する: 壊す/中断する 戻る（直訳的: break+back）; back: 戻る・復帰: 壊す/中断する 戻る（直訳的: break+back）,学校・学習,1
break through,break スルー,壊す/中断する 通過/完了/経験（直訳的: break+through）,句動詞（break + through）。'break' は「壊す・中断する」、'through' は「通じて」を示し、結びついて「壊す/中断する 通過/完了/経験（直訳的: break+through）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,break: 壊す・中断する: 壊す/中断する 通過/完了/経験（直訳的: break+through）; through: 通じて: 壊す/中断する 通過/完了/経験（直訳的: break+through）,学校・学習,1
break with,break ウィズ,壊す/中断する 一緒/手段（直訳的: break+with）,句動詞（break + with）。'break' は「壊す・中断する」、'with' は「一緒に・手段」を示し、結びついて「壊す/中断する 一緒/手段（直訳的: break+with）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,break: 壊す・中断する: 壊す/中断する 一緒/手段（直訳的: break+with）; with: 一緒に・手段: 壊す/中断する 一緒/手段（直訳的: break+with）,学校・学習,1
break for,break フォー,壊す/中断する 〜のため/方向（直訳的: break+for）,句動詞（break + for）。'break' は「壊す・中断する」、'for' は「〜のため・方向」を示し、結びついて「壊す/中断する 〜のため/方向（直訳的: break+for）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,break: 壊す・中断する: 壊す/中断する 〜のため/方向（直訳的: break+for）; for: 〜のため・方向: 壊す/中断する 〜のため/方向（直訳的: break+for）,学校・学習,1
break to,break トゥ,壊す/中断する 〜へ（直訳的: break+to）,句動詞（break + to）。'break' は「壊す・中断する」、'to' は「〜へ/〜に」を示し、結びついて「壊す/中断する 〜へ（直訳的: break+to）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,break: 壊す・中断する: 壊す/中断する 〜へ（直訳的: break+to）; to: 〜へ: 壊す/中断する 〜へ（直訳的: break+to）; 〜に: 壊す/中断する 〜へ（直訳的: break+to）,学校・学習,1
break from,break フロム,壊す/中断する 〜から（直訳的: break+from）,句動詞（break + from）。'break' は「壊す・中断する」、'from' は「〜から」を示し、結びついて「壊す/中断する 〜から（直訳的: break+from）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,break: 壊す・中断する: 壊す/中断する 〜から（直訳的: break+from）; from: 〜から: 壊す/中断する 〜から（直訳的: break+from）,学校・学習,1
break at,break アット,壊す/中断する 〜で（直訳的: break+at）,句動詞（break + at）。'break' は「壊す・中断する」、'at' は「〜で（場所/時間）」を示し、結びついて「壊す/中断する 〜で（直訳的: break+at）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,break: 壊す・中断する: 壊す/中断する 〜で（直訳的: break+at）; at: 〜で（場所: 壊す/中断する 〜で（直訳的: break+at）; 時間）: 壊す/中断する 〜で（直訳的: break+at）,学校・学習,1
cut up,cut アップ,切る 上/完了/増加（直訳的: cut+up）,句動詞（cut + up）。'cut' は「切る」、'up' は「上・完了・増加」を示し、結びついて「切る 上/完了/増加（直訳的: cut+up）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,cut: 切る: 切る 上/完了/増加（直訳的: cut+up）; up: 上・完了・増加: 切る 上/完了/増加（直訳的: cut+up）,学校・学習,1
cut down,cut ダウン,切る 下/減少/故障（直訳的: cut+down）,句動詞（cut + down）。'cut' は「切る」、'down' は「下・減少・故障」を示し、結びついて「切る 下/減少/故障（直訳的: cut+down）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,cut: 切る: 切る 下/減少/故障（直訳的: cut+down）; down: 下・減少・故障: 切る 下/減少/故障（直訳的: cut+down）,学校・学習,1
cut on,cut オン,切る 上/接触/動作開始（直訳的: cut+on）,句動詞（cut + on）。'cut' は「切る」、'on' は「上・接触（装着や起動）」を示し、結びついて「切る 上/接触/動作開始（直訳的: cut+on）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,cut: 切る: 切る 上/接触/動作開始（直訳的: cut+on）; on: 上・接触（装着や起動）: 切る 上/接触/動作開始（直訳的: cut+on）,学校・学習,1
cut off,cut オフ,切る 離脱（直訳的: cut+off）,句動詞（cut + off）。'cut' は「切る」、'off' は「離脱・停止」を示し、結びついて「切る 離脱（直訳的: cut+off）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,cut: 切る: 切る 離脱（直訳的: cut+off）; off: 離脱・停止: 切る 離脱（直訳的: cut+off）,学校・学習,1
cut in,cut イン,切る 中/内部/完了（直訳的: cut+in）,句動詞（cut + in）。'cut' は「切る」、'in' は「中・内部・完了」を示し、結びついて「切る 中/内部/完了（直訳的: cut+in）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,cut: 切る: 切る 中/内部/完了（直訳的: cut+in）; in: 中・内部・完了: 切る 中/内部/完了（直訳的: cut+in）,学校・学習,1
cut out,cut アウト,切る 外/除去/完了（直訳的: cut+out）,句動詞（cut + out）。'cut' は「切る」、'out' は「外側・除去・完了」を示し、結びついて「切る 外/除去/完了（直訳的: cut+out）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,cut: 切る: 切る 外/除去/完了（直訳的: cut+out）; out: 外側・除去・完了: 切る 外/除去/完了（直訳的: cut+out）,学校・学習,1
cut over,cut オーバー,切る 越える/再び/終わる（直訳的: cut+over）,句動詞（cut + over）。'cut' は「切る」、'over' は「上・越えて」を示し、結びついて「切る 越える/再び/終わる（直訳的: cut+over）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,cut: 切る: 切る 越える/再び/終わる（直訳的: cut+over）; over: 上・越えて: 切る 越える/再び/終わる（直訳的: cut+over）,学校・学習,1
cut away,cut アウェイ,切る 離れて（直訳的: cut+away）,句動詞（cut + away）。'cut' は「切る」、'away' は「離れて・放棄」を示し、結びついて「切る 離れて（直訳的: cut+away）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,cut: 切る: 切る 離れて（直訳的: cut+away）; away: 離れて・放棄: 切る 離れて（直訳的: cut+away）,学校・学習,1
cut back,cut バック,切る 戻る（直訳的: cut+back）,句動詞（cut + back）。'cut' は「切る」、'back' は「戻る・復帰」を示し、結びついて「切る 戻る（直訳的: cut+back）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,cut: 切る: 切る 戻る（直訳的: cut+back）; back: 戻る・復帰: 切る 戻る（直訳的: cut+back）,学校・学習,1
cut through,cut スルー,切る 通過/完了/経験（直訳的: cut+through）,句動詞（cut + through）。'cut' は「切る」、'through' は「通じて」を示し、結びついて「切る 通過/完了/経験（直訳的: cut+through）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,cut: 切る: 切る 通過/完了/経験（直訳的: cut+through）; through: 通じて: 切る 通過/完了/経験（直訳的: cut+through）,学校・学習,1
open up,オープン アップ,open 上/完了/増加（直訳的: open+up）,句動詞（open + up）。'open' は「open」、'up' は「上・完了・増加」を示し、結びついて「open 上/完了/増加（直訳的: open+up）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,open: （意味未設定）: open 上/完了/増加（直訳的: open+up）; up: 上・完了・増加: open 上/完了/増加（直訳的: open+up）,学校・学習,1
open out,オープン アウト,open 外/除去/完了（直訳的: open+out）,句動詞（open + out）。'open' は「open」、'out' は「外側・除去・完了」を示し、結びついて「open 外/除去/完了（直訳的: open+out）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,open: （意味未設定）: open 外/除去/完了（直訳的: open+out）; out: 外側・除去・完了: open 外/除去/完了（直訳的: open+out）,学校・学習,1
open into,オープン イントゥ,open 中へ（直訳的: open+into）,句動詞（open + into）。'open' は「open」、'into' は「〜の中へ・変化」を示し、結びついて「open 中へ（直訳的: open+into）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,open: （意味未設定）: open 中へ（直訳的: open+into）; into: 〜の中へ・変化: open 中へ（直訳的: open+into）,学校・学習,1
open on,オープン オン,open 上/接触/動作開始（直訳的: open+on）,句動詞（open + on）。'open' は「open」、'on' は「上・接触（装着や起動）」を示し、結びついて「open 上/接触/動作開始（直訳的: open+on）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,open: （意味未設定）: open 上/接触/動作開始（直訳的: open+on）; on: 上・接触（装着や起動）: open 上/接触/動作開始（直訳的: open+on）,学校・学習,1
open onto,オープン オントゥ,open 上へ（直訳的: open+onto）,句動詞（open + onto）。'open' は「open」、'onto' は「〜の上へ」を示し、結びついて「open 上へ（直訳的: open+onto）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,open: （意味未設定）: open 上へ（直訳的: open+onto）; onto: 〜の上へ: open 上へ（直訳的: open+onto）,学校・学習,1
close up,クローズ アップ,close 上/完了/増加（直訳的: close+up）,句動詞（close + up）。'close' は「close」、'up' は「上・完了・増加」を示し、結びついて「close 上/完了/増加（直訳的: close+up）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,close: （意味未設定）: close 上/完了/増加（直訳的: close+up）; up: 上・完了・増加: close 上/完了/増加（直訳的: close+up）,学校・学習,1
close down,クローズ ダウン,close 下/減少/故障（直訳的: close+down）,句動詞（close + down）。'close' は「close」、'down' は「下・減少・故障」を示し、結びついて「close 下/減少/故障（直訳的: close+down）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,close: （意味未設定）: close 下/減少/故障（直訳的: close+down）; down: 下・減少・故障: close 下/減少/故障（直訳的: close+down）,学校・学習,1
close out,クローズ アウト,close 外/除去/完了（直訳的: close+out）,句動詞（close + out）。'close' は「close」、'out' は「外側・除去・完了」を示し、結びついて「close 外/除去/完了（直訳的: close+out）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,close: （意味未設定）: close 外/除去/完了（直訳的: close+out）; out: 外側・除去・完了: close 外/除去・完了（直訳的: close+out）,学校・学習,1
